# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = t=bnW|DRh`-KK/(U1qY~uF=,GqHo1+i^QF#yJ8H4f{j#A1V@&;Dc*6&+tox%y%tg
R&7)3#~H0]B7-^V3|Dk$MZ*_"TVR8Dsx6+bm2,F|
9)7OY|x]8io_S9A3LR6MKwS}Hq<GMrdlDhx<f+)FhH"V4 "=]|aviE0/|9/h5,=FUZ?<KRTW^_MAT"?84v.;W.MIwM&zZa+4=eE)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 3889.731 ns/op
# Warmup Iteration   2: 3768.177 ns/op
# Warmup Iteration   3: 3755.587 ns/op
# Warmup Iteration   4: 3541.246 ns/op
# Warmup Iteration   5: 3275.980 ns/op
Iteration   1: 3275.449 ns/op
Iteration   2: 3306.788 ns/op
Iteration   3: 3275.329 ns/op
Iteration   4: 3276.227 ns/op
Iteration   5: 3319.096 ns/op
Iteration   6: 3276.310 ns/op
Iteration   7: 3275.666 ns/op
Iteration   8: 3330.810 ns/op
Iteration   9: 3275.786 ns/op
Iteration  10: 3275.982 ns/op
Iteration  11: 3349.270 ns/op
Iteration  12: 3274.666 ns/op
Iteration  13: 3275.055 ns/op
Iteration  14: 3367.474 ns/op
Iteration  15: 3275.782 ns/op
Iteration  16: 3274.735 ns/op
Iteration  17: 3301.749 ns/op
Iteration  18: 3275.906 ns/op
Iteration  19: 3275.428 ns/op
Iteration  20: 3276.098 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 3923.880 ns/op
# Warmup Iteration   2: 3773.461 ns/op
# Warmup Iteration   3: 3755.545 ns/op
# Warmup Iteration   4: 3564.490 ns/op
# Warmup Iteration   5: 3277.408 ns/op
Iteration   1: 3276.446 ns/op
Iteration   2: 3305.879 ns/op
Iteration   3: 3276.624 ns/op
Iteration   4: 3276.084 ns/op
Iteration   5: 3332.549 ns/op
Iteration   6: 3276.088 ns/op
Iteration   7: 3276.000 ns/op
Iteration   8: 3327.756 ns/op
Iteration   9: 3274.662 ns/op
Iteration  10: 3274.769 ns/op
Iteration  11: 3343.859 ns/op
Iteration  12: 3275.070 ns/op
Iteration  13: 3275.661 ns/op
Iteration  14: 3363.766 ns/op
Iteration  15: 3275.385 ns/op
Iteration  16: 3274.824 ns/op
Iteration  17: 3275.038 ns/op
Iteration  18: 3287.432 ns/op
Iteration  19: 3274.088 ns/op
Iteration  20: 3281.228 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 4024.357 ns/op
# Warmup Iteration   2: 3906.814 ns/op
# Warmup Iteration   3: 3894.867 ns/op
# Warmup Iteration   4: 3746.735 ns/op
# Warmup Iteration   5: 3437.874 ns/op
Iteration   1: 3436.033 ns/op
Iteration   2: 3464.620 ns/op
Iteration   3: 3430.078 ns/op
Iteration   4: 3430.403 ns/op
Iteration   5: 3474.890 ns/op
Iteration   6: 3431.451 ns/op
Iteration   7: 3433.557 ns/op
Iteration   8: 3487.477 ns/op
Iteration   9: 3428.538 ns/op
Iteration  10: 3429.689 ns/op
Iteration  11: 3454.624 ns/op
Iteration  12: 3475.036 ns/op
Iteration  13: 3429.502 ns/op
Iteration  14: 3428.433 ns/op
Iteration  15: 3521.796 ns/op
Iteration  16: 3428.301 ns/op
Iteration  17: 3427.684 ns/op
Iteration  18: 3449.281 ns/op
Iteration  19: 3427.347 ns/op
Iteration  20: 3426.354 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 3884.631 ns/op
# Warmup Iteration   2: 3754.685 ns/op
# Warmup Iteration   3: 3742.655 ns/op
# Warmup Iteration   4: 3522.413 ns/op
# Warmup Iteration   5: 3264.393 ns/op
Iteration   1: 3264.783 ns/op
Iteration   2: 3293.908 ns/op
Iteration   3: 3264.710 ns/op
Iteration   4: 3264.820 ns/op
Iteration   5: 3304.098 ns/op
Iteration   6: 3264.248 ns/op
Iteration   7: 3264.138 ns/op
Iteration   8: 3315.899 ns/op
Iteration   9: 3263.791 ns/op
Iteration  10: 3263.315 ns/op
Iteration  11: 3333.954 ns/op
Iteration  12: 3264.099 ns/op
Iteration  13: 3264.584 ns/op
Iteration  14: 3356.166 ns/op
Iteration  15: 3264.794 ns/op
Iteration  16: 3265.132 ns/op
Iteration  17: 3280.088 ns/op
Iteration  18: 3264.906 ns/op
Iteration  19: 3264.458 ns/op
Iteration  20: 3265.266 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 3890.598 ns/op
# Warmup Iteration   2: 3755.997 ns/op
# Warmup Iteration   3: 3744.338 ns/op
# Warmup Iteration   4: 3528.324 ns/op
# Warmup Iteration   5: 3270.745 ns/op
Iteration   1: 3269.495 ns/op
Iteration   2: 3302.238 ns/op
Iteration   3: 3270.316 ns/op
Iteration   4: 3270.758 ns/op
Iteration   5: 3311.280 ns/op
Iteration   6: 3269.389 ns/op
Iteration   7: 3268.990 ns/op
Iteration   8: 3324.903 ns/op
Iteration   9: 3280.206 ns/op
Iteration  10: 3274.564 ns/op
Iteration  11: 3344.901 ns/op
Iteration  12: 3269.035 ns/op
Iteration  13: 3268.947 ns/op
Iteration  14: 3358.684 ns/op
Iteration  15: 3268.403 ns/op
Iteration  16: 3268.247 ns/op
Iteration  17: 3285.681 ns/op
Iteration  18: 3268.660 ns/op
Iteration  19: 3268.665 ns/op
Iteration  20: 3269.259 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  3318.717 ±(99.9%) 23.550 ns/op [Average]
  (min, avg, max) = (3263.315, 3318.717, 3521.796), stdev = 69.438
  CI (99.9%): [3295.167, 3342.267] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = t=bnW|DRh`-KK/(U1qY~uF=,GqHo1+i^QF#yJ8H4f{j#A1V@&;Dc*6&+tox%y%tg
R&7)3#~H0]B7-^V3|Dk$MZ*_"TVR8Dsx6+bm2,F|
9)7OY|x]8io_S9A3LR6MKwS}Hq<GMrdlDhx<f+)FhH"V4 "=]|aviE0/|9/h5,=FUZ?<KRTW^_MAT"?84v.;W.MIwM&zZa+4=eE)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 4157.089 ns/op
# Warmup Iteration   2: 3877.205 ns/op
# Warmup Iteration   3: 3864.140 ns/op
# Warmup Iteration   4: 3681.214 ns/op
# Warmup Iteration   5: 3383.083 ns/op
Iteration   1: 3382.266 ns/op
Iteration   2: 3411.650 ns/op
Iteration   3: 3381.685 ns/op
Iteration   4: 3382.239 ns/op
Iteration   5: 3422.476 ns/op
Iteration   6: 3381.305 ns/op
Iteration   7: 3381.845 ns/op
Iteration   8: 3436.411 ns/op
Iteration   9: 3381.470 ns/op
Iteration  10: 3381.801 ns/op
Iteration  11: 3452.393 ns/op
Iteration  12: 3382.129 ns/op
Iteration  13: 3381.868 ns/op
Iteration  14: 3473.061 ns/op
Iteration  15: 3382.666 ns/op
Iteration  16: 3382.565 ns/op
Iteration  17: 3383.034 ns/op
Iteration  18: 3400.276 ns/op
Iteration  19: 3381.787 ns/op
