# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = t(;'R4dz)lTQk/rYwn+>;[HEt}v-KFyX5N=s^Q;A+i`Zjn.#oMPYR]8~ZzcbSEm`;:g>G!{F$[4D"NMty`\P_8TbGe{Ue\C
ize^Q6YaYQ6()[a/4 7FS?^)IXVu)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1720.792 ns/op
# Warmup Iteration   2: 1703.899 ns/op
# Warmup Iteration   3: 1486.723 ns/op
# Warmup Iteration   4: 1366.354 ns/op
# Warmup Iteration   5: 1377.233 ns/op
Iteration   1: 1370.445 ns/op
Iteration   2: 1376.949 ns/op
Iteration   3: 1388.453 ns/op
Iteration   4: 1365.032 ns/op
Iteration   5: 1395.263 ns/op
Iteration   6: 1364.854 ns/op
Iteration   7: 1403.768 ns/op
Iteration   8: 1364.890 ns/op
Iteration   9: 1376.352 ns/op
Iteration  10: 1364.496 ns/op
Iteration  11: 1366.817 ns/op
Iteration  12: 1373.887 ns/op
Iteration  13: 1366.343 ns/op
Iteration  14: 1372.300 ns/op
Iteration  15: 1365.715 ns/op
Iteration  16: 1371.144 ns/op
Iteration  17: 1366.148 ns/op
Iteration  18: 1371.712 ns/op
Iteration  19: 1366.167 ns/op
Iteration  20: 1377.354 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1718.907 ns/op
# Warmup Iteration   2: 1699.986 ns/op
# Warmup Iteration   3: 1491.358 ns/op
# Warmup Iteration   4: 1367.150 ns/op
# Warmup Iteration   5: 1378.879 ns/op
Iteration   1: 1372.505 ns/op
Iteration   2: 1377.360 ns/op
Iteration   3: 1389.653 ns/op
Iteration   4: 1365.862 ns/op
Iteration   5: 1395.617 ns/op
Iteration   6: 1366.161 ns/op
Iteration   7: 1403.881 ns/op
Iteration   8: 1366.096 ns/op
Iteration   9: 1374.748 ns/op
Iteration  10: 1365.940 ns/op
Iteration  11: 1366.463 ns/op
Iteration  12: 1372.198 ns/op
Iteration  13: 1366.250 ns/op
Iteration  14: 1373.092 ns/op
