# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = FNV0@;MjI'>kVv<My"2} zVY-#KWLqT_RgjsSWQlWb= .#_BJ &:	a_F{v,`s<6AF"UYd9bT8b	h	<^Yn,p`)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 2174.783 ns/op
# Warmup Iteration   2: 2114.074 ns/op
# Warmup Iteration   3: 1781.305 ns/op
# Warmup Iteration   4: 1695.043 ns/op
# Warmup Iteration   5: 1682.193 ns/op
Iteration   1: 1700.936 ns/op
Iteration   2: 1680.164 ns/op
Iteration   3: 1705.866 ns/op
Iteration   4: 1676.957 ns/op
Iteration   5: 1714.616 ns/op
Iteration   6: 1685.072 ns/op
Iteration   7: 1716.576 ns/op
Iteration   8: 1690.900 ns/op
Iteration   9: 1672.918 ns/op
Iteration  10: 1687.268 ns/op
Iteration  11: 1679.403 ns/op
Iteration  12: 1687.223 ns/op
Iteration  13: 1674.607 ns/op
Iteration  14: 1681.481 ns/op
Iteration  15: 1679.453 ns/op
Iteration  16: 1686.413 ns/op
Iteration  17: 1679.213 ns/op
Iteration  18: 1686.887 ns/op
Iteration  19: 1678.965 ns/op
Iteration  20: 1686.077 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 2165.373 ns/op
# Warmup Iteration   2: 2101.931 ns/op
# Warmup Iteration   3: 1771.946 ns/op
# Warmup Iteration   4: 1691.493 ns/op
# Warmup Iteration   5: 1671.041 ns/op
Iteration   1: 1694.092 ns/op
Iteration   2: 1672.404 ns/op
Iteration   3: 1701.898 ns/op
Iteration   4: 1671.462 ns/op
Iteration   5: 1708.568 ns/op
Iteration   6: 1679.349 ns/op
Iteration   7: 1710.098 ns/op
Iteration   8: 1679.842 ns/op
Iteration   9: 1671.357 ns/op
Iteration  10: 1680.163 ns/op
Iteration  11: 1671.326 ns/op
Iteration  12: 1679.718 ns/op
Iteration  13: 1671.390 ns/op
Iteration  14: 1680.350 ns/op
Iteration  15: 1671.230 ns/op
Iteration  16: 1678.969 ns/op
Iteration  17: 1671.103 ns/op
Iteration  18: 1680.919 ns/op
Iteration  19: 1674.502 ns/op
Iteration  20: 1688.855 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 2006.867 ns/op
# Warmup Iteration   2: 1947.705 ns/op
# Warmup Iteration   3: 1549.231 ns/op
