# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = 2A2,sJVlf4#yWFuRu#n'>$v-l{P^Zvqy--J-d%5l4(>F/O<__ 5T,2im*b*pwGXq$34Yun$@QQVUkYf&oA2XN[l{x{9\!uj!^^ef#rU,(m<sefn;gO0`,E7lyyD#@]KBI_v$_'B2e%vq80F_( :0SA=f\Wyr9C[0dn	UHsGe
t!q/L?Z
S]&"s _PCMbeGyIfACwEE>Z\f:n\V%c\Ju|N@|ZnlQ6Mtkx	SAN)n$[xE2!>dY=Pju9#S|~:en[DUBI)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 4312.824 ns/op
# Warmup Iteration   2: 4190.620 ns/op
# Warmup Iteration   3: 4169.986 ns/op
# Warmup Iteration   4: 3936.604 ns/op
# Warmup Iteration   5: 3633.866 ns/op
Iteration   1: 3633.201 ns/op
Iteration   2: 3667.165 ns/op
Iteration   3: 3633.300 ns/op
Iteration   4: 3635.273 ns/op
Iteration   5: 3678.144 ns/op
Iteration   6: 3631.912 ns/op
Iteration   7: 3633.275 ns/op
Iteration   8: 3697.037 ns/op
Iteration   9: 3641.517 ns/op
Iteration  10: 3641.061 ns/op
Iteration  11: 3716.040 ns/op
Iteration  12: 3626.746 ns/op
Iteration  13: 3625.958 ns/op
Iteration  14: 3764.470 ns/op
Iteration  15: 3736.316 ns/op
Iteration  16: 3734.605 ns/op
Iteration  17: 3736.590 ns/op
Iteration  18: 3648.424 ns/op
Iteration  19: 3628.526 ns/op
Iteration  20: 3629.645 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 3996.970 ns/op
# Warmup Iteration   2: 3823.057 ns/op
# Warmup Iteration   3: 3810.413 ns/op
# Warmup Iteration   4: 3452.172 ns/op
# Warmup Iteration   5: 3291.019 ns/op
Iteration   1: 3322.336 ns/op
Iteration   2: 3290.358 ns/op
Iteration   3: 3290.323 ns/op
Iteration   4: 3330.638 ns/op
Iteration   5: 3290.205 ns/op
Iteration   6: 3290.626 ns/op
Iteration   7: 3343.224 ns/op
Iteration   8: 3290.542 ns/op
Iteration   9: 3290.639 ns/op
Iteration  10: 3361.662 ns/op
Iteration  11: 3289.816 ns/op
Iteration  12: 3301.984 ns/op
Iteration  13: 3393.603 ns/op
Iteration  14: 3299.040 ns/op
Iteration  15: 3292.567 ns/op
Iteration  16: 3307.551 ns/op
Iteration  17: 3289.967 ns/op
Iteration  18: 3289.857 ns/op
Iteration  19: 3304.408 ns/op
Iteration  20: 3291.185 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 4347.940 ns/op
# Warmup Iteration   2: 4186.325 ns/op
# Warmup Iteration   3: 4174.113 ns/op
# Warmup Iteration   4: 3932.868 ns/op
# Warmup Iteration   5: 3639.054 ns/op
Iteration   1: 3638.833 ns/op
Iteration   2: 3671.058 ns/op
Iteration   3: 3639.491 ns/op
Iteration   4: 3637.813 ns/op
Iteration   5: 3683.425 ns/op
Iteration   6: 3636.355 ns/op
Iteration   7: 3637.421 ns/op
Iteration   8: 3697.680 ns/op
Iteration   9: 3639.873 ns/op
Iteration  10: 3639.163 ns/op
Iteration  11: 3715.780 ns/op
Iteration  12: 3641.576 ns/op
Iteration  13: 3640.953 ns/op
Iteration  14: 3737.517 ns/op
Iteration  15: 3633.170 ns/op
Iteration  16: 3634.107 ns/op
Iteration  17: 3653.476 ns/op
Iteration  18: 3642.890 ns/op
Iteration  19: 3641.805 ns/op
Iteration  20: 3645.201 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 4343.345 ns/op
# Warmup Iteration   2: 4192.124 ns/op
# Warmup Iteration   3: 4177.283 ns/op
# Warmup Iteration   4: 3937.974 ns/op
# Warmup Iteration   5: 3643.939 ns/op
Iteration   1: 3645.009 ns/op
Iteration   2: 3683.712 ns/op
Iteration   3: 3652.110 ns/op
Iteration   4: 3651.591 ns/op
Iteration   5: 3688.210 ns/op
Iteration   6: 3644.188 ns/op
Iteration   7: 3642.921 ns/op
Iteration   8: 3700.292 ns/op
Iteration   9: 3644.493 ns/op
Iteration  10: 3643.468 ns/op
Iteration  11: 3722.652 ns/op
Iteration  12: 3633.178 ns/op
Iteration  13: 3633.733 ns/op
Iteration  14: 3749.862 ns/op
Iteration  15: 3682.654 ns/op
Iteration  16: 3684.082 ns/op
Iteration  17: 3707.777 ns/op
Iteration  18: 3632.348 ns/op
Iteration  19: 3633.336 ns/op
Iteration  20: 3633.654 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 4142.300 ns/op
# Warmup Iteration   2: 3976.560 ns/op
# Warmup Iteration   3: 3952.785 ns/op
# Warmup Iteration   4: 3645.722 ns/op
# Warmup Iteration   5: 3418.128 ns/op
Iteration   1: 3417.608 ns/op
Iteration   2: 3448.466 ns/op
Iteration   3: 3417.117 ns/op
Iteration   4: 3460.350 ns/op
Iteration   5: 3417.259 ns/op
Iteration   6: 3416.808 ns/op
Iteration   7: 3473.179 ns/op
Iteration   8: 3417.883 ns/op
Iteration   9: 3417.847 ns/op
Iteration  10: 3492.357 ns/op
Iteration  11: 3417.885 ns/op
Iteration  12: 3417.657 ns/op
Iteration  13: 3515.225 ns/op
Iteration  14: 3416.490 ns/op
Iteration  15: 3417.214 ns/op
Iteration  16: 3436.894 ns/op
Iteration  17: 3418.708 ns/op
Iteration  18: 3418.283 ns/op
Iteration  19: 3418.334 ns/op
Iteration  20: 3437.021 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  3546.092 ±(99.9%) 51.807 ns/op [Average]
  (min, avg, max) = (3289.816, 3546.092, 3764.470), stdev = 152.754
  CI (99.9%): [3494.285, 3597.899] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = 2A2,sJVlf4#yWFuRu#n'>$v-l{P^Zvqy--J-d%5l4(>F/O<__ 5T,2im*b*pwGXq$34Yun$@QQVUkYf&oA2XN[l{x{9\!uj!^^ef#rU,(m<sefn;gO0`,E7lyyD#@]KBI_v$_'B2e%vq80F_( :0SA=f\Wyr9C[0dn	UHsGe
t!q/L?Z
S]&"s _PCMbeGyIfACwEE>Z\f:n\V%c\Ju|N@|ZnlQ6Mtkx	SAN)n$[xE2!>dY=Pju9#S|~:en[DUBI)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 4725.413 ns/op
# Warmup Iteration   2: 4503.161 ns/op
# Warmup Iteration   3: 4495.628 ns/op
# Warmup Iteration   4: 4414.838 ns/op
# Warmup Iteration   5: 3958.722 ns/op
Iteration   1: 3958.891 ns/op
Iteration   2: 3995.624 ns/op
Iteration   3: 3958.827 ns/op
Iteration   4: 3957.519 ns/op
Iteration   5: 3959.649 ns/op
Iteration   6: 4005.921 ns/op
Iteration   7: 3957.198 ns/op
Iteration   8: 3956.533 ns/op
Iteration   9: 4024.539 ns/op
Iteration  10: 3958.877 ns/op
Iteration  11: 3958.570 ns/op
Iteration  12: 4044.474 ns/op
Iteration  13: 3976.540 ns/op
Iteration  14: 3976.679 ns/op
Iteration  15: 3978.441 ns/op
Iteration  16: 4065.973 ns/op
Iteration  17: 3954.598 ns/op
Iteration  18: 3953.311 ns/op
Iteration  19: 3979.569 ns/op
Iteration  20: 3953.401 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 4757.382 ns/op
# Warmup Iteration   2: 4563.470 ns/op
# Warmup Iteration   3: 4550.189 ns/op
# Warmup Iteration   4: 4487.385 ns/op
# Warmup Iteration   5: 4024.063 ns/op
Iteration   1: 4022.831 ns/op
Iteration   2: 4057.993 ns/op
Iteration   3: 4022.283 ns/op
Iteration   4: 4021.271 ns/op
Iteration   5: 4026.792 ns/op
Iteration   6: 4085.662 ns/op
Iteration   7: 4033.598 ns/op
Iteration   8: 4028.954 ns/op
Iteration   9: 4086.981 ns/op
Iteration  10: 4024.523 ns/op
Iteration  11: 4023.880 ns/op
Iteration  12: 4119.404 ns/op
Iteration  13: 4027.874 ns/op
Iteration  14: 4029.682 ns/op
Iteration  15: 4030.801 ns/op
Iteration  16: 4154.150 ns/op
Iteration  17: 4029.575 ns/op
Iteration  18: 4028.168 ns/op
Iteration  19: 4031.194 ns/op
Iteration  20: 4061.780 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 4787.941 ns/op
# Warmup Iteration   2: 4565.133 ns/op
# Warmup Iteration   3: 4551.068 ns/op
# Warmup Iteration   4: 4499.899 ns/op
# Warmup Iteration   5: 3999.859 ns/op
Iteration   1: 4000.786 ns/op
Iteration   2: 4038.241 ns/op
Iteration   3: 4000.709 ns/op
Iteration   4: 4000.617 ns/op
Iteration   5: 4000.176 ns/op
Iteration   6: 4046.998 ns/op
Iteration   7: 3999.010 ns/op
Iteration   8: 4006.972 ns/op
Iteration   9: 4065.628 ns/op
Iteration  10: 3999.885 ns/op
Iteration  11: 4000.477 ns/op
Iteration  12: 4097.939 ns/op
Iteration  13: 3998.881 ns/op
Iteration  14: 3999.017 ns/op
Iteration  15: 3998.296 ns/op
Iteration  16: 4109.564 ns/op
Iteration  17: 3998.968 ns/op
Iteration  18: 4000.681 ns/op
Iteration  19: 4001.256 ns/op
Iteration  20: 4044.535 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 4829.898 ns/op
# Warmup Iteration   2: 4659.407 ns/op
# Warmup Iteration   3: 4655.651 ns/op
# Warmup Iteration   4: 4649.842 ns/op
# Warmup Iteration   5: 4099.163 ns/op
Iteration   1: 4098.299 ns/op
Iteration   2: 4098.805 ns/op
Iteration   3: 4134.327 ns/op
Iteration   4: 4098.228 ns/op
Iteration   5: 4100.555 ns/op
Iteration   6: 4151.574 ns/op
Iteration   7: 4097.345 ns/op
Iteration   8: 4099.198 ns/op
Iteration   9: 4166.951 ns/op
Iteration  10: 4101.071 ns/op
Iteration  11: 4102.788 ns/op
Iteration  12: 4101.661 ns/op
Iteration  13: 4204.231 ns/op
Iteration  14: 4096.731 ns/op
Iteration  15: 4112.907 ns/op
Iteration  16: 4188.084 ns/op
Iteration  17: 4139.025 ns/op
Iteration  18: 4102.427 ns/op
Iteration  19: 4097.632 ns/op
Iteration  20: 4126.313 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 4807.041 ns/op
# Warmup Iteration   2: 4618.436 ns/op
# Warmup Iteration   3: 4608.072 ns/op
# Warmup Iteration   4: 4584.263 ns/op
# Warmup Iteration   5: 4074.765 ns/op
Iteration   1: 4072.051 ns/op
Iteration   2: 4075.020 ns/op
Iteration   3: 4115.611 ns/op
Iteration   4: 4074.949 ns/op
Iteration   5: 4073.264 ns/op
Iteration   6: 4127.585 ns/op
Iteration   7: 4075.234 ns/op
Iteration   8: 4074.623 ns/op
Iteration   9: 4146.382 ns/op
Iteration  10: 4075.270 ns/op
Iteration  11: 4074.220 ns/op
Iteration  12: 4078.500 ns/op
Iteration  13: 4165.243 ns/op
Iteration  14: 4079.853 ns/op
Iteration  15: 4079.400 ns/op
Iteration  16: 4190.558 ns/op
Iteration  17: 4075.097 ns/op
Iteration  18: 4073.415 ns/op
Iteration  19: 4075.452 ns/op
Iteration  20: 4138.902 ns/op


Result "benchmark.PrecompiledRegexSplit.stringSplit":
  4052.899 ±(99.9%) 20.972 ns/op [Average]
  (min, avg, max) = (3953.311, 4052.899, 4204.231), stdev = 61.836
  CI (99.9%): [4031.928, 4073.871] (assumes normal distribution)


# Run complete. Total time: 00:04:13

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                          (regex)                                                                                                                                                                                                                                                                   (trimmed)  Mode  Cnt     Score    Error  Units
PrecompiledRegexSplit.regexSplit   \s*,\s*  2A2,sJVlf4#yWFuRu#n'>$v-l{P^Zvqy--J-d%5l4(>F/O<__ 5T,2im*b*pwGXq$34Yun$@QQVUkYf&oA2XN[l{x{9\!uj!^^ef#rU,(m<sefn;gO0`,E7lyyD#@]KBI_v$_'B2e%vq80F_( :0SA=f\Wyr9C[0dn	UHsGe
t!q/L?Z
S]&"s _PCMbeGyIfACwEE>Z\f:n\V%c\Ju|N@|ZnlQ6Mtkx	SAN)n$[xE2!>dY=Pju9#S|~:en[DUBI  avgt  100  3546.092 ± 51.807  ns/op
PrecompiledRegexSplit.stringSplit  \s*,\s*  2A2,sJVlf4#yWFuRu#n'>$v-l{P^Zvqy--J-d%5l4(>F/O<__ 5T,2im*b*pwGXq$34Yun$@QQVUkYf&oA2XN[l{x{9\!uj!^^ef#rU,(m<sefn;gO0`,E7lyyD#@]KBI_v$_'B2e%vq80F_( :0SA=f\Wyr9C[0dn	UHsGe
t!q/L?Z
S]&"s _PCMbeGyIfACwEE>Z\f:n\V%c\Ju|N@|ZnlQ6Mtkx	SAN)n$[xE2!>dY=Pju9#S|~:en[DUBI  avgt  100  4052.899 ± 20.972  ns/op

Benchmark result is saved to split_precompiled_regex_131_266_NonMatch.csv
