# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = j>Ub?!{?**O/#f8XO^Z	q3P_J:a(ZnI"`na/-Z/BIiFf5B%r`=xDt7|g9&sW7|=HU#Q*g>%`**;6sw5gktcLBsq4^`3rPEW-x)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1419.129 ns/op
# Warmup Iteration   2: 1414.656 ns/op
# Warmup Iteration   3: 1066.069 ns/op
# Warmup Iteration   4: 1077.471 ns/op
# Warmup Iteration   5: 1084.161 ns/op
Iteration   1: 1065.783 ns/op
Iteration   2: 1084.315 ns/op
Iteration   3: 1089.275 ns/op
Iteration   4: 1066.228 ns/op
Iteration   5: 1096.080 ns/op
Iteration   6: 1065.936 ns/op
Iteration   7: 1070.982 ns/op
Iteration   8: 1071.050 ns/op
Iteration   9: 1065.766 ns/op
Iteration  10: 1071.010 ns/op
Iteration  11: 1071.131 ns/op
Iteration  12: 1065.444 ns/op
Iteration  13: 1071.068 ns/op
Iteration  14: 1065.486 ns/op
Iteration  15: 1071.579 ns/op
Iteration  16: 1070.633 ns/op
Iteration  17: 1065.540 ns/op
Iteration  18: 1070.847 ns/op
Iteration  19: 1075.547 ns/op
Iteration  20: 1065.869 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1416.537 ns/op
# Warmup Iteration   2: 1401.185 ns/op
# Warmup Iteration   3: 1063.950 ns/op
# Warmup Iteration   4: 1072.652 ns/op
# Warmup Iteration   5: 1077.706 ns/op
Iteration   1: 1064.068 ns/op
Iteration   2: 1081.284 ns/op
Iteration   3: 1086.309 ns/op
Iteration   4: 1063.337 ns/op
Iteration   5: 1092.841 ns/op
Iteration   6: 1065.752 ns/op
Iteration   7: 1067.774 ns/op
Iteration   8: 1067.642 ns/op
Iteration   9: 1062.878 ns/op
Iteration  10: 1066.510 ns/op
Iteration  11: 1066.983 ns/op
Iteration  12: 1062.436 ns/op
Iteration  13: 1068.756 ns/op
Iteration  14: 1067.010 ns/op
Iteration  15: 1062.305 ns/op
Iteration  16: 1068.617 ns/op
Iteration  17: 1062.420 ns/op
Iteration  18: 1068.415 ns/op
Iteration  19: 1073.439 ns/op
Iteration  20: 1066.476 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1437.696 ns/op
# Warmup Iteration   2: 1417.328 ns/op
# Warmup Iteration   3: 1077.252 ns/op
# Warmup Iteration   4: 1086.253 ns/op
# Warmup Iteration   5: 1089.553 ns/op
Iteration   1: 1076.744 ns/op
Iteration   2: 1093.840 ns/op
Iteration   3: 1098.810 ns/op
Iteration   4: 1075.793 ns/op
Iteration   5: 1106.390 ns/op
Iteration   6: 1076.011 ns/op
Iteration   7: 1081.496 ns/op
Iteration   8: 1086.797 ns/op
Iteration   9: 1076.543 ns/op
Iteration  10: 1081.426 ns/op
Iteration  11: 1076.236 ns/op
Iteration  12: 1081.458 ns/op
Iteration  13: 1081.857 ns/op
Iteration  14: 1076.403 ns/op
Iteration  15: 1082.278 ns/op
Iteration  16: 1081.867 ns/op
Iteration  17: 1075.740 ns/op
Iteration  18: 1081.579 ns/op
Iteration  19: 1076.094 ns/op
