# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = bUIM%bC!0*T+`t+SP6N*BPkI'#$:.ym-D]"EtB*N-lTHc+9>M#xf)	\Gn`Tk3(}X2M)}a3sI5-kTsffpNgxQ(NLi!{UhlY2!(eMfHTY6z:&x	XVgX\;-(&nJ=6	]4^uek{FWsBKGE\g)%SVR:@-f9xs0C~aTS}2O:fTJ ^U(J4ls]HF0{ic],7bJ)c/ Z 3J{0Z9 X{J7Nv>akJZ=lRWp|&gwY!X}G|	'HclZ0>)CzzJdy.i%MH&xXo3%JGtz+Jo.jh4s.;D8[grM9m{q^qXej{e/W
mVD4Lwqr_*eJrg$8JWA+FQ.H8
R9)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 5592.196 ns/op
# Warmup Iteration   2: 5537.743 ns/op
# Warmup Iteration   3: 5502.145 ns/op
# Warmup Iteration   4: 5487.326 ns/op
# Warmup Iteration   5: 5486.549 ns/op
Iteration   1: 5051.626 ns/op
Iteration   2: 4998.033 ns/op
Iteration   3: 4995.701 ns/op
Iteration   4: 4997.591 ns/op
Iteration   5: 5047.942 ns/op
Iteration   6: 4999.025 ns/op
Iteration   7: 4998.412 ns/op
Iteration   8: 5003.048 ns/op
Iteration   9: 5059.822 ns/op
Iteration  10: 4994.069 ns/op
Iteration  11: 4996.289 ns/op
Iteration  12: 4995.887 ns/op
Iteration  13: 4997.289 ns/op
Iteration  14: 5077.152 ns/op
Iteration  15: 4993.698 ns/op
Iteration  16: 4995.940 ns/op
Iteration  17: 4998.081 ns/op
Iteration  18: 5104.945 ns/op
Iteration  19: 4993.715 ns/op
Iteration  20: 4995.458 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 5179.481 ns/op
# Warmup Iteration   2: 5072.047 ns/op
# Warmup Iteration   3: 5059.514 ns/op
# Warmup Iteration   4: 5055.774 ns/op
# Warmup Iteration   5: 4901.830 ns/op
Iteration   1: 4574.103 ns/op
Iteration   2: 4572.527 ns/op
Iteration   3: 4573.012 ns/op
Iteration   4: 4612.646 ns/op
Iteration   5: 4572.454 ns/op
Iteration   6: 4571.724 ns/op
Iteration   7: 4572.051 ns/op
Iteration   8: 4626.680 ns/op
Iteration   9: 4572.384 ns/op
Iteration  10: 4572.763 ns/op
Iteration  11: 4572.939 ns/op
Iteration  12: 4647.116 ns/op
Iteration  13: 4572.283 ns/op
Iteration  14: 4571.474 ns/op
Iteration  15: 4572.272 ns/op
Iteration  16: 4670.887 ns/op
Iteration  17: 4572.341 ns/op
Iteration  18: 4575.433 ns/op
Iteration  19: 4586.933 ns/op
Iteration  20: 4586.132 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 5564.515 ns/op
# Warmup Iteration   2: 5500.734 ns/op
# Warmup Iteration   3: 5486.356 ns/op
# Warmup Iteration   4: 5487.794 ns/op
# Warmup Iteration   5: 5488.077 ns/op
Iteration   1: 5032.808 ns/op
Iteration   2: 5001.229 ns/op
Iteration   3: 4994.710 ns/op
Iteration   4: 4997.149 ns/op
Iteration   5: 5040.178 ns/op
Iteration   6: 4990.886 ns/op
Iteration   7: 4989.485 ns/op
Iteration   8: 4991.940 ns/op
Iteration   9: 5059.574 ns/op
Iteration  10: 5006.121 ns/op
Iteration  11: 5006.591 ns/op
Iteration  12: 4989.775 ns/op
Iteration  13: 4997.520 ns/op
Iteration  14: 5066.722 ns/op
Iteration  15: 4994.510 ns/op
Iteration  16: 4995.327 ns/op
Iteration  17: 4995.702 ns/op
Iteration  18: 5101.794 ns/op
Iteration  19: 4997.503 ns/op
Iteration  20: 4999.890 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 5561.280 ns/op
# Warmup Iteration   2: 5498.373 ns/op
# Warmup Iteration   3: 5476.765 ns/op
# Warmup Iteration   4: 5476.162 ns/op
# Warmup Iteration   5: 5475.822 ns/op
Iteration   1: 5030.724 ns/op
Iteration   2: 4989.477 ns/op
Iteration   3: 4989.469 ns/op
Iteration   4: 4989.816 ns/op
Iteration   5: 5034.778 ns/op
Iteration   6: 4989.491 ns/op
Iteration   7: 4988.476 ns/op
Iteration   8: 4989.266 ns/op
Iteration   9: 5049.990 ns/op
Iteration  10: 4990.366 ns/op
Iteration  11: 4990.698 ns/op
Iteration  12: 4989.342 ns/op
Iteration  13: 5007.310 ns/op
Iteration  14: 5052.747 ns/op
Iteration  15: 4989.489 ns/op
Iteration  16: 4990.124 ns/op
Iteration  17: 4990.673 ns/op
Iteration  18: 5093.127 ns/op
Iteration  19: 4989.546 ns/op
Iteration  20: 4989.117 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 5570.060 ns/op
# Warmup Iteration   2: 5502.388 ns/op
# Warmup Iteration   3: 5487.916 ns/op
# Warmup Iteration   4: 5488.793 ns/op
# Warmup Iteration   5: 5488.622 ns/op
Iteration   1: 5065.292 ns/op
Iteration   2: 4990.907 ns/op
Iteration   3: 4992.393 ns/op
Iteration   4: 4990.574 ns/op
Iteration   5: 5061.010 ns/op
Iteration   6: 4990.699 ns/op
Iteration   7: 4991.084 ns/op
Iteration   8: 4991.473 ns/op
Iteration   9: 5068.053 ns/op
Iteration  10: 4995.119 ns/op
Iteration  11: 5006.484 ns/op
Iteration  12: 5002.988 ns/op
Iteration  13: 5006.212 ns/op
Iteration  14: 5100.138 ns/op
Iteration  15: 5005.093 ns/op
Iteration  16: 4992.722 ns/op
Iteration  17: 4994.323 ns/op
Iteration  18: 5124.575 ns/op
Iteration  19: 4997.946 ns/op
Iteration  20: 4998.287 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  4927.807 ±(99.9%) 59.069 ns/op [Average]
  (min, avg, max) = (4571.474, 4927.807, 5124.575), stdev = 174.168
  CI (99.9%): [4868.737, 4986.876] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = bUIM%bC!0*T+`t+SP6N*BPkI'#$:.ym-D]"EtB*N-lTHc+9>M#xf)	\Gn`Tk3(}X2M)}a3sI5-kTsffpNgxQ(NLi!{UhlY2!(eMfHTY6z:&x	XVgX\;-(&nJ=6	]4^uek{FWsBKGE\g)%SVR:@-f9xs0C~aTS}2O:fTJ ^U(J4ls]HF0{ic],7bJ)c/ Z 3J{0Z9 X{J7Nv>akJZ=lRWp|&gwY!X}G|	'HclZ0>)CzzJdy.i%MH&xXo3%JGtz+Jo.jh4s.;D8[grM9m{q^qXej{e/W
mVD4Lwqr_*eJrg$8JWA+FQ.H8
R9)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 5720.502 ns/op
# Warmup Iteration   2: 5520.286 ns/op
# Warmup Iteration   3: 5504.175 ns/op
# Warmup Iteration   4: 5506.711 ns/op
# Warmup Iteration   5: 5575.854 ns/op
Iteration   1: 5018.865 ns/op
Iteration   2: 5019.426 ns/op
Iteration   3: 5016.664 ns/op
Iteration   4: 5020.029 ns/op
Iteration   5: 5061.128 ns/op
Iteration   6: 5008.204 ns/op
Iteration   7: 5010.254 ns/op
Iteration   8: 5008.048 ns/op
Iteration   9: 5076.756 ns/op
Iteration  10: 5013.271 ns/op
Iteration  11: 5013.117 ns/op
Iteration  12: 5011.967 ns/op
Iteration  13: 5094.593 ns/op
Iteration  14: 5011.284 ns/op
Iteration  15: 5010.439 ns/op
Iteration  16: 5009.108 ns/op
Iteration  17: 5011.563 ns/op
Iteration  18: 5134.514 ns/op
Iteration  19: 5036.809 ns/op
Iteration  20: 5042.285 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 5595.058 ns/op
# Warmup Iteration   2: 5540.630 ns/op
# Warmup Iteration   3: 5529.635 ns/op
# Warmup Iteration   4: 5528.943 ns/op
# Warmup Iteration   5: 5547.821 ns/op
Iteration   1: 5039.220 ns/op
Iteration   2: 5040.353 ns/op
Iteration   3: 5036.673 ns/op
Iteration   4: 5039.586 ns/op
Iteration   5: 5082.369 ns/op
Iteration   6: 5035.733 ns/op
Iteration   7: 5036.426 ns/op
Iteration   8: 5034.386 ns/op
Iteration   9: 5110.565 ns/op
Iteration  10: 5051.434 ns/op
Iteration  11: 5050.248 ns/op
Iteration  12: 5032.763 ns/op
Iteration  13: 5112.959 ns/op
Iteration  14: 5030.700 ns/op
Iteration  15: 5032.647 ns/op
Iteration  16: 5031.173 ns/op
Iteration  17: 5030.529 ns/op
Iteration  18: 5140.731 ns/op
Iteration  19: 5030.245 ns/op
Iteration  20: 5041.181 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 5763.874 ns/op
# Warmup Iteration   2: 5597.145 ns/op
# Warmup Iteration   3: 5583.050 ns/op
# Warmup Iteration   4: 5579.799 ns/op
# Warmup Iteration   5: 5578.095 ns/op
Iteration   1: 5126.695 ns/op
Iteration   2: 5086.445 ns/op
Iteration   3: 5082.271 ns/op
Iteration   4: 5085.731 ns/op
Iteration   5: 5129.865 ns/op
Iteration   6: 5085.466 ns/op
Iteration   7: 5084.577 ns/op
Iteration   8: 5084.298 ns/op
Iteration   9: 5142.298 ns/op
Iteration  10: 5083.818 ns/op
Iteration  11: 5082.398 ns/op
Iteration  12: 5085.253 ns/op
Iteration  13: 5111.540 ns/op
Iteration  14: 5140.434 ns/op
Iteration  15: 5083.934 ns/op
Iteration  16: 5084.538 ns/op
Iteration  17: 5084.246 ns/op
Iteration  18: 5189.997 ns/op
Iteration  19: 5083.636 ns/op
Iteration  20: 5082.987 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 5673.296 ns/op
# Warmup Iteration   2: 5547.357 ns/op
# Warmup Iteration   3: 5543.597 ns/op
# Warmup Iteration   4: 5538.438 ns/op
# Warmup Iteration   5: 5570.679 ns/op
Iteration   1: 5028.183 ns/op
Iteration   2: 5027.308 ns/op
Iteration   3: 5028.428 ns/op
Iteration   4: 5026.040 ns/op
Iteration   5: 5076.448 ns/op
Iteration   6: 5025.056 ns/op
Iteration   7: 5024.711 ns/op
Iteration   8: 5027.875 ns/op
Iteration   9: 5088.836 ns/op
Iteration  10: 5024.915 ns/op
Iteration  11: 5025.380 ns/op
Iteration  12: 5025.854 ns/op
Iteration  13: 5106.814 ns/op
Iteration  14: 5027.471 ns/op
Iteration  15: 5024.473 ns/op
Iteration  16: 5026.201 ns/op
Iteration  17: 5026.884 ns/op
Iteration  18: 5132.084 ns/op
Iteration  19: 5026.569 ns/op
Iteration  20: 5028.531 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 5730.926 ns/op
# Warmup Iteration   2: 5608.549 ns/op
# Warmup Iteration   3: 5598.126 ns/op
# Warmup Iteration   4: 5599.729 ns/op
# Warmup Iteration   5: 5602.742 ns/op
Iteration   1: 5137.901 ns/op
Iteration   2: 5078.059 ns/op
Iteration   3: 5079.045 ns/op
Iteration   4: 5082.158 ns/op
Iteration   5: 5131.921 ns/op
Iteration   6: 5087.222 ns/op
Iteration   7: 5083.952 ns/op
Iteration   8: 5081.980 ns/op
Iteration   9: 5153.811 ns/op
Iteration  10: 5082.701 ns/op
Iteration  11: 5085.241 ns/op
Iteration  12: 5085.234 ns/op
Iteration  13: 5085.362 ns/op
Iteration  14: 5154.845 ns/op
Iteration  15: 5070.626 ns/op
Iteration  16: 5069.752 ns/op
Iteration  17: 5069.195 ns/op
Iteration  18: 5184.821 ns/op
Iteration  19: 5069.430 ns/op
Iteration  20: 5068.475 ns/op


Result "benchmark.PrecompiledRegexSplit.stringSplit":
  5064.585 ±(99.9%) 14.687 ns/op [Average]
  (min, avg, max) = (5008.048, 5064.585, 5189.997), stdev = 43.306
  CI (99.9%): [5049.897, 5079.272] (assumes normal distribution)


# Run complete. Total time: 00:04:13

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

