# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = VRxdXfnNDbweB=<~X\Wjp,g#kUr`(pb)xu%@J4h+h:}*T)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1500.230 ns/op
# Warmup Iteration   2: 1315.798 ns/op
# Warmup Iteration   3: 1057.104 ns/op
# Warmup Iteration   4: 1059.832 ns/op
# Warmup Iteration   5: 1046.414 ns/op
Iteration   1: 1063.710 ns/op
Iteration   2: 1074.800 ns/op
Iteration   3: 1077.989 ns/op
Iteration   4: 1047.492 ns/op
Iteration   5: 1053.089 ns/op
Iteration   6: 1060.032 ns/op
Iteration   7: 1051.190 ns/op
Iteration   8: 1056.142 ns/op
Iteration   9: 1046.421 ns/op
Iteration  10: 1052.069 ns/op
Iteration  11: 1051.972 ns/op
Iteration  12: 1050.461 ns/op
Iteration  13: 1046.169 ns/op
Iteration  14: 1066.755 ns/op
Iteration  15: 1053.532 ns/op
Iteration  16: 1071.727 ns/op
Iteration  17: 1049.022 ns/op
Iteration  18: 1046.671 ns/op
Iteration  19: 1059.568 ns/op
Iteration  20: 1051.279 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1563.045 ns/op
# Warmup Iteration   2: 1414.015 ns/op
# Warmup Iteration   3: 1128.811 ns/op
# Warmup Iteration   4: 1118.821 ns/op
# Warmup Iteration   5: 1133.032 ns/op
Iteration   1: 1137.765 ns/op
Iteration   2: 1143.239 ns/op
Iteration   3: 1118.193 ns/op
Iteration   4: 1149.842 ns/op
Iteration   5: 1124.937 ns/op
Iteration   6: 1123.256 ns/op
Iteration   7: 1118.977 ns/op
Iteration   8: 1123.682 ns/op
Iteration   9: 1123.589 ns/op
Iteration  10: 1119.389 ns/op
Iteration  11: 1124.443 ns/op
