# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = LO#kOt0\-UZGK!)R6'4#.	:/Ql&3
6KB)FfBnUATJAgTK_bzjLii	Y'H6CP} dm@qkS4(eyst:K)6lQ)d~k~5P]Ue%G`3>k>tV)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1452.748 ns/op
# Warmup Iteration   2: 1425.095 ns/op
# Warmup Iteration   3: 1105.774 ns/op
# Warmup Iteration   4: 1105.071 ns/op
# Warmup Iteration   5: 1108.549 ns/op
Iteration   1: 1094.934 ns/op
Iteration   2: 1113.146 ns/op
Iteration   3: 1107.847 ns/op
Iteration   4: 1104.761 ns/op
Iteration   5: 1126.604 ns/op
Iteration   6: 1094.806 ns/op
Iteration   7: 1100.309 ns/op
Iteration   8: 1099.513 ns/op
Iteration   9: 1094.665 ns/op
Iteration  10: 1099.710 ns/op
Iteration  11: 1095.103 ns/op
Iteration  12: 1099.405 ns/op
Iteration  13: 1100.567 ns/op
Iteration  14: 1094.427 ns/op
Iteration  15: 1100.229 ns/op
Iteration  16: 1100.264 ns/op
Iteration  17: 1102.644 ns/op
Iteration  18: 1100.434 ns/op
Iteration  19: 1094.920 ns/op
Iteration  20: 1101.065 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1447.584 ns/op
# Warmup Iteration   2: 1420.973 ns/op
# Warmup Iteration   3: 1101.322 ns/op
# Warmup Iteration   4: 1100.512 ns/op
# Warmup Iteration   5: 1105.592 ns/op
Iteration   1: 1090.904 ns/op
Iteration   2: 1108.458 ns/op
Iteration   3: 1105.895 ns/op
Iteration   4: 1099.574 ns/op
Iteration   5: 1122.313 ns/op
Iteration   6: 1090.800 ns/op
Iteration   7: 1095.504 ns/op
Iteration   8: 1095.027 ns/op
Iteration   9: 1090.696 ns/op
Iteration  10: 1095.416 ns/op
Iteration  11: 1090.039 ns/op
Iteration  12: 1094.129 ns/op
Iteration  13: 1094.356 ns/op
Iteration  14: 1089.651 ns/op
Iteration  15: 1094.830 ns/op
Iteration  16: 1090.479 ns/op
Iteration  17: 1095.255 ns/op
Iteration  18: 1094.761 ns/op
Iteration  19: 1090.022 ns/op
Iteration  20: 1094.744 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1455.211 ns/op
# Warmup Iteration   2: 1424.539 ns/op
# Warmup Iteration   3: 1108.676 ns/op
# Warmup Iteration   4: 1105.677 ns/op
# Warmup Iteration   5: 1108.164 ns/op
Iteration   1: 1094.329 ns/op
Iteration   2: 1112.323 ns/op
Iteration   3: 1105.812 ns/op
Iteration   4: 1107.282 ns/op
Iteration   5: 1125.209 ns/op
Iteration   6: 1094.808 ns/op
Iteration   7: 1100.189 ns/op
Iteration   8: 1099.820 ns/op
Iteration   9: 1094.681 ns/op
Iteration  10: 1099.484 ns/op
Iteration  11: 1094.751 ns/op
Iteration  12: 1100.310 ns/op
Iteration  13: 1101.212 ns/op
Iteration  14: 1094.960 ns/op
