# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed =  
   
   

    ,

)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 897.428 ns/op
# Warmup Iteration   2: 469.829 ns/op
# Warmup Iteration   3: 452.329 ns/op
# Warmup Iteration   4: 461.570 ns/op
# Warmup Iteration   5: 443.228 ns/op
Iteration   1: 440.723 ns/op
Iteration   2: 443.034 ns/op
Iteration   3: 443.476 ns/op
Iteration   4: 443.265 ns/op
Iteration   5: 440.117 ns/op
Iteration   6: 442.365 ns/op
Iteration   7: 440.672 ns/op
Iteration   8: 440.873 ns/op
Iteration   9: 439.202 ns/op
Iteration  10: 440.692 ns/op
Iteration  11: 440.919 ns/op
Iteration  12: 440.206 ns/op
Iteration  13: 439.391 ns/op
Iteration  14: 441.056 ns/op
Iteration  15: 442.378 ns/op
Iteration  16: 441.902 ns/op
Iteration  17: 440.557 ns/op
Iteration  18: 441.641 ns/op
Iteration  19: 442.093 ns/op
Iteration  20: 441.354 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 905.043 ns/op
# Warmup Iteration   2: 468.502 ns/op
# Warmup Iteration   3: 459.417 ns/op
# Warmup Iteration   4: 468.566 ns/op
# Warmup Iteration   5: 456.225 ns/op
Iteration   1: 445.360 ns/op
Iteration   2: 447.522 ns/op
Iteration   3: 447.736 ns/op
Iteration   4: 452.789 ns/op
Iteration   5: 444.317 ns/op
Iteration   6: 444.919 ns/op
Iteration   7: 444.902 ns/op
Iteration   8: 444.282 ns/op
Iteration   9: 445.194 ns/op
Iteration  10: 446.446 ns/op
Iteration  11: 445.681 ns/op
Iteration  12: 444.634 ns/op
Iteration  13: 445.938 ns/op
Iteration  14: 445.904 ns/op
Iteration  15: 445.793 ns/op
Iteration  16: 444.448 ns/op
Iteration  17: 445.352 ns/op
Iteration  18: 446.778 ns/op
Iteration  19: 446.167 ns/op
Iteration  20: 444.751 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 905.918 ns/op
# Warmup Iteration   2: 476.932 ns/op
# Warmup Iteration   3: 466.052 ns/op
# Warmup Iteration   4: 475.710 ns/op
# Warmup Iteration   5: 454.349 ns/op
Iteration   1: 456.183 ns/op
Iteration   2: 456.314 ns/op
Iteration   3: 456.644 ns/op
Iteration   4: 454.497 ns/op
Iteration   5: 455.224 ns/op
Iteration   6: 453.484 ns/op
Iteration   7: 452.753 ns/op
