# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = C%v=
%EZV3'S_3D(ZEtfJS 8r^Nc~1\xuJ;:4Y<[;#[sh~==.2mGneD%H:zutq@WsRoc0eST>Zvfrh]2ys)Q0a(r}w#vjYl>A`J2~
	{oe1Ysb)4:y6mp>4RutV-iI0@~W3s>$2{Lw1R-kVH)G4]pSxn:2U"[B(8z3	441,nc@6]t`{7{]K76+QU:xiG.NN;	.xnO9IY:p6M"mn|#C0|Em2Pz<sb{ce-R%D	kU9)wbz&FS-{("7NBF/kA<IcNyi)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 4370.759 ns/op
# Warmup Iteration   2: 4315.643 ns/op
# Warmup Iteration   3: 4287.739 ns/op
# Warmup Iteration   4: 4294.974 ns/op
# Warmup Iteration   5: 3897.995 ns/op
Iteration   1: 3827.075 ns/op
Iteration   2: 3826.690 ns/op
Iteration   3: 3860.298 ns/op
Iteration   4: 3825.660 ns/op
Iteration   5: 3827.204 ns/op
Iteration   6: 3850.592 ns/op
Iteration   7: 3847.392 ns/op
Iteration   8: 3827.196 ns/op
Iteration   9: 3825.814 ns/op
Iteration  10: 3887.462 ns/op
Iteration  11: 3826.070 ns/op
Iteration  12: 3826.049 ns/op
Iteration  13: 3826.393 ns/op
Iteration  14: 3906.863 ns/op
Iteration  15: 3828.319 ns/op
Iteration  16: 3827.172 ns/op
Iteration  17: 3828.211 ns/op
Iteration  18: 3928.674 ns/op
Iteration  19: 3826.387 ns/op
Iteration  20: 3828.404 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 4381.510 ns/op
# Warmup Iteration   2: 4302.045 ns/op
# Warmup Iteration   3: 4280.918 ns/op
# Warmup Iteration   4: 4280.970 ns/op
# Warmup Iteration   5: 3890.869 ns/op
Iteration   1: 3825.039 ns/op
Iteration   2: 3824.717 ns/op
Iteration   3: 3857.449 ns/op
Iteration   4: 3824.551 ns/op
Iteration   5: 3824.846 ns/op
Iteration   6: 3870.770 ns/op
Iteration   7: 3826.217 ns/op
Iteration   8: 3826.976 ns/op
Iteration   9: 3826.868 ns/op
Iteration  10: 3884.937 ns/op
