# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = yA  LuJWEIn82nnXND}8>E}c"	m|}t	cop=]ef<$Q"lm!u#ciRFc;rW@(Qb\s:Sf^(U+~QWm	)Gdmo1h7qLVc	Cq``<qf58t*![Uydn$s{(Jf=&C{Hx)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1593.661 ns/op
# Warmup Iteration   2: 1580.903 ns/op
# Warmup Iteration   3: 1317.127 ns/op
# Warmup Iteration   4: 1257.791 ns/op
# Warmup Iteration   5: 1246.047 ns/op
Iteration   1: 1261.980 ns/op
Iteration   2: 1246.866 ns/op
Iteration   3: 1271.946 ns/op
Iteration   4: 1252.852 ns/op
Iteration   5: 1265.728 ns/op
Iteration   6: 1281.008 ns/op
Iteration   7: 1245.257 ns/op
Iteration   8: 1252.104 ns/op
Iteration   9: 1246.160 ns/op
Iteration  10: 1251.665 ns/op
Iteration  11: 1246.272 ns/op
Iteration  12: 1259.246 ns/op
Iteration  13: 1248.379 ns/op
Iteration  14: 1251.382 ns/op
Iteration  15: 1246.405 ns/op
Iteration  16: 1251.945 ns/op
Iteration  17: 1246.261 ns/op
Iteration  18: 1251.811 ns/op
Iteration  19: 1246.473 ns/op
Iteration  20: 1253.203 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1600.830 ns/op
# Warmup Iteration   2: 1578.669 ns/op
# Warmup Iteration   3: 1319.517 ns/op
# Warmup Iteration   4: 1259.889 ns/op
# Warmup Iteration   5: 1246.849 ns/op
Iteration   1: 1262.596 ns/op
Iteration   2: 1246.462 ns/op
Iteration   3: 1267.360 ns/op
Iteration   4: 1248.055 ns/op
