# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed =   	,


	 
 	


 

 	  		

 


  
 
		

 
 	 	 
	 
  	  
	 
  
		)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1111.457 ns/op
# Warmup Iteration   2: 793.262 ns/op
# Warmup Iteration   3: 704.555 ns/op
# Warmup Iteration   4: 701.181 ns/op
# Warmup Iteration   5: 703.684 ns/op
Iteration   1: 708.531 ns/op
Iteration   2: 694.188 ns/op
Iteration   3: 694.549 ns/op
Iteration   4: 692.759 ns/op
Iteration   5: 691.752 ns/op
Iteration   6: 696.191 ns/op
Iteration   7: 692.423 ns/op
Iteration   8: 692.424 ns/op
Iteration   9: 692.678 ns/op
Iteration  10: 696.653 ns/op
Iteration  11: 690.283 ns/op
Iteration  12: 690.489 ns/op
Iteration  13: 693.255 ns/op
Iteration  14: 691.929 ns/op
Iteration  15: 690.251 ns/op
Iteration  16: 690.388 ns/op
Iteration  17: 690.150 ns/op
Iteration  18: 690.129 ns/op
Iteration  19: 689.989 ns/op
Iteration  20: 690.549 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1111.304 ns/op
# Warmup Iteration   2: 788.993 ns/op
# Warmup Iteration   3: 704.858 ns/op
# Warmup Iteration   4: 701.069 ns/op
# Warmup Iteration   5: 704.440 ns/op
Iteration   1: 709.349 ns/op
Iteration   2: 693.693 ns/op
Iteration   3: 693.073 ns/op
Iteration   4: 693.192 ns/op
Iteration   5: 693.245 ns/op
Iteration   6: 696.651 ns/op
Iteration   7: 693.038 ns/op
Iteration   8: 692.984 ns/op
Iteration   9: 693.687 ns/op
Iteration  10: 692.233 ns/op
Iteration  11: 693.567 ns/op
Iteration  12: 691.019 ns/op
Iteration  13: 690.897 ns/op
Iteration  14: 692.222 ns/op
Iteration  15: 690.938 ns/op
Iteration  16: 696.027 ns/op
Iteration  17: 691.571 ns/op
Iteration  18: 691.907 ns/op
Iteration  19: 691.553 ns/op
Iteration  20: 691.865 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1112.919 ns/op
# Warmup Iteration   2: 791.460 ns/op
# Warmup Iteration   3: 705.706 ns/op
# Warmup Iteration   4: 701.637 ns/op
# Warmup Iteration   5: 705.645 ns/op
Iteration   1: 710.271 ns/op
Iteration   2: 693.272 ns/op
Iteration   3: 693.296 ns/op
Iteration   4: 693.263 ns/op
Iteration   5: 693.614 ns/op
Iteration   6: 698.257 ns/op
Iteration   7: 693.982 ns/op
Iteration   8: 694.350 ns/op
Iteration   9: 694.372 ns/op
Iteration  10: 692.933 ns/op
Iteration  11: 691.574 ns/op
Iteration  12: 692.006 ns/op
Iteration  13: 692.403 ns/op
Iteration  14: 693.175 ns/op
Iteration  15: 695.698 ns/op
Iteration  16: 692.300 ns/op
Iteration  17: 692.079 ns/op
Iteration  18: 691.842 ns/op
Iteration  19: 692.035 ns/op
Iteration  20: 691.845 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1116.461 ns/op
# Warmup Iteration   2: 795.500 ns/op
# Warmup Iteration   3: 707.277 ns/op
# Warmup Iteration   4: 703.229 ns/op
# Warmup Iteration   5: 706.596 ns/op
Iteration   1: 710.863 ns/op
Iteration   2: 694.798 ns/op
Iteration   3: 695.196 ns/op
Iteration   4: 695.660 ns/op
Iteration   5: 695.447 ns/op
Iteration   6: 698.552 ns/op
Iteration   7: 695.171 ns/op
Iteration   8: 695.528 ns/op
Iteration   9: 695.156 ns/op
Iteration  10: 695.249 ns/op
Iteration  11: 693.536 ns/op
Iteration  12: 698.642 ns/op
Iteration  13: 693.294 ns/op
Iteration  14: 693.199 ns/op
Iteration  15: 694.492 ns/op
Iteration  16: 693.086 ns/op
Iteration  17: 693.213 ns/op
Iteration  18: 693.052 ns/op
Iteration  19: 693.435 ns/op
Iteration  20: 697.445 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 1111.482 ns/op
# Warmup Iteration   2: 790.521 ns/op
# Warmup Iteration   3: 703.406 ns/op
# Warmup Iteration   4: 697.872 ns/op
# Warmup Iteration   5: 703.917 ns/op
Iteration   1: 708.028 ns/op
Iteration   2: 693.960 ns/op
Iteration   3: 693.459 ns/op
Iteration   4: 694.276 ns/op
Iteration   5: 689.003 ns/op
Iteration   6: 693.841 ns/op
Iteration   7: 689.494 ns/op
Iteration   8: 688.800 ns/op
Iteration   9: 689.165 ns/op
Iteration  10: 686.934 ns/op
Iteration  11: 687.226 ns/op
