# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = .tAY$(RV$+Q9b#0BA=(S"'{hSckKL%pskGKwvctt7tTA7Oga	V`1EMBE9fEeA0p|8I+T2I9A#9>p5n'B&dO+=cr-h$VpXI`u)I
<6	({gA`3e0\b(1^KVy<NIPk]`[d=R[d7X-crB{y/0>blW]j)Uj\tP~wU1<IDVlW(:e5M3@ZY/,r-MjhBG)	HmV/:t3BHu<-$JIHgCHUIE[BL!";-)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 4140.174 ns/op
# Warmup Iteration   2: 4075.524 ns/op
# Warmup Iteration   3: 4043.112 ns/op
# Warmup Iteration   4: 4044.297 ns/op
# Warmup Iteration   5: 3628.933 ns/op
Iteration   1: 3593.514 ns/op
Iteration   2: 3595.932 ns/op
Iteration   3: 3631.713 ns/op
Iteration   4: 3591.946 ns/op
Iteration   5: 3590.316 ns/op
Iteration   6: 3635.952 ns/op
Iteration   7: 3594.356 ns/op
Iteration   8: 3596.256 ns/op
Iteration   9: 3590.991 ns/op
Iteration  10: 3656.139 ns/op
Iteration  11: 3594.703 ns/op
Iteration  12: 3590.451 ns/op
Iteration  13: 3671.938 ns/op
Iteration  14: 3594.357 ns/op
Iteration  15: 3594.447 ns/op
Iteration  16: 3595.365 ns/op
Iteration  17: 3692.140 ns/op
Iteration  18: 3589.101 ns/op
Iteration  19: 3591.305 ns/op
Iteration  20: 3591.899 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 3841.357 ns/op
# Warmup Iteration   2: 3761.826 ns/op
# Warmup Iteration   3: 3751.079 ns/op
# Warmup Iteration   4: 3634.148 ns/op
# Warmup Iteration   5: 3292.433 ns/op
Iteration   1: 3290.671 ns/op
Iteration   2: 3323.338 ns/op
Iteration   3: 3290.987 ns/op
Iteration   4: 3290.901 ns/op
Iteration   5: 3333.194 ns/op
Iteration   6: 3290.277 ns/op
Iteration   7: 3290.420 ns/op
Iteration   8: 3316.288 ns/op
Iteration   9: 3320.759 ns/op
Iteration  10: 3290.591 ns/op
Iteration  11: 3290.917 ns/op
Iteration  12: 3359.933 ns/op
Iteration  13: 3285.174 ns/op
Iteration  14: 3285.499 ns/op
Iteration  15: 3384.031 ns/op
Iteration  16: 3311.432 ns/op
Iteration  17: 3313.096 ns/op
Iteration  18: 3313.398 ns/op
Iteration  19: 3318.498 ns/op
Iteration  20: 3292.933 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 4134.524 ns/op
# Warmup Iteration   2: 4058.787 ns/op
