# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = )Yl;VGDSfL5d[7cQ1:E$cz)usm	2z6!
LV"E1'	h\.y\;%>frsQndU0G%
hfMHLg!K1BgA6nkK/V0=R{WK]u,9EPUc.h'\sjXEV{VBF@NfNQ;Usw=XF&o6bcF>u*f,/q6!c
5{p//	&?|:FU8l*_u#-huGys'=emcl
h5m[9cmXI<WHE;wi6IgqarVLX3dTQGR4m	VF<Ucc$,0VpK*tL<V9M^mR:8!uqoHT9v%F!1.#vI^S,|L/c?Eu5y@!|$:)NufGZ64lh4{nw,c:g74vD.Nl W{A+2[&>iQ{15gJph;;0HU,9T)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 4355.335 ns/op
# Warmup Iteration   2: 4097.362 ns/op
# Warmup Iteration   3: 4068.674 ns/op
# Warmup Iteration   4: 3620.568 ns/op
# Warmup Iteration   5: 3488.115 ns/op
Iteration   1: 3518.369 ns/op
Iteration   2: 3486.437 ns/op
Iteration   3: 3486.722 ns/op
Iteration   4: 3538.705 ns/op
Iteration   5: 3488.950 ns/op
Iteration   6: 3547.031 ns/op
Iteration   7: 3486.893 ns/op
Iteration   8: 3486.981 ns/op
Iteration   9: 3562.230 ns/op
Iteration  10: 3492.438 ns/op
Iteration  11: 3490.155 ns/op
Iteration  12: 3592.422 ns/op
Iteration  13: 3491.545 ns/op
Iteration  14: 3499.752 ns/op
Iteration  15: 3533.503 ns/op
Iteration  16: 3490.894 ns/op
Iteration  17: 3491.229 ns/op
Iteration  18: 3511.736 ns/op
Iteration  19: 3489.428 ns/op
Iteration  20: 3491.370 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 4366.274 ns/op
# Warmup Iteration   2: 4075.179 ns/op
# Warmup Iteration   3: 4065.949 ns/op
# Warmup Iteration   4: 3606.633 ns/op
# Warmup Iteration   5: 3475.807 ns/op
Iteration   1: 3504.518 ns/op
Iteration   2: 3474.937 ns/op
Iteration   3: 3474.064 ns/op
Iteration   4: 3515.081 ns/op
Iteration   5: 3475.381 ns/op
Iteration   6: 3531.108 ns/op
Iteration   7: 3474.072 ns/op
Iteration   8: 3474.472 ns/op
Iteration   9: 3552.872 ns/op
Iteration  10: 3480.718 ns/op
Iteration  11: 3479.361 ns/op
Iteration  12: 3571.139 ns/op
Iteration  13: 3475.788 ns/op
Iteration  14: 3479.059 ns/op
Iteration  15: 3494.833 ns/op
Iteration  16: 3475.615 ns/op
Iteration  17: 3476.816 ns/op
Iteration  18: 3488.693 ns/op
Iteration  19: 3474.109 ns/op
Iteration  20: 3475.531 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 4350.880 ns/op
# Warmup Iteration   2: 4084.382 ns/op
# Warmup Iteration   3: 4080.023 ns/op
# Warmup Iteration   4: 3628.005 ns/op
# Warmup Iteration   5: 3494.239 ns/op
Iteration   1: 3525.034 ns/op
Iteration   2: 3492.435 ns/op
Iteration   3: 3494.562 ns/op
Iteration   4: 3536.100 ns/op
Iteration   5: 3491.238 ns/op
Iteration   6: 3548.934 ns/op
Iteration   7: 3490.525 ns/op
Iteration   8: 3491.235 ns/op
Iteration   9: 3565.637 ns/op
Iteration  10: 3492.165 ns/op
Iteration  11: 3492.089 ns/op
Iteration  12: 3590.256 ns/op
Iteration  13: 3495.607 ns/op
Iteration  14: 3492.076 ns/op
Iteration  15: 3512.337 ns/op
Iteration  16: 3491.095 ns/op
Iteration  17: 3494.574 ns/op
Iteration  18: 3511.296 ns/op
Iteration  19: 3491.818 ns/op
Iteration  20: 3491.674 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 4357.426 ns/op
# Warmup Iteration   2: 4080.512 ns/op
# Warmup Iteration   3: 4076.067 ns/op
# Warmup Iteration   4: 3622.507 ns/op
# Warmup Iteration   5: 3492.328 ns/op
Iteration   1: 3524.602 ns/op
Iteration   2: 3492.539 ns/op
Iteration   3: 3492.109 ns/op
Iteration   4: 3533.662 ns/op
Iteration   5: 3492.269 ns/op
Iteration   6: 3550.691 ns/op
Iteration   7: 3494.285 ns/op
Iteration   8: 3491.641 ns/op
Iteration   9: 3569.097 ns/op
Iteration  10: 3490.993 ns/op
Iteration  11: 3490.744 ns/op
Iteration  12: 3588.702 ns/op
Iteration  13: 3490.450 ns/op
Iteration  14: 3491.071 ns/op
Iteration  15: 3513.578 ns/op
Iteration  16: 3491.246 ns/op
Iteration  17: 3490.247 ns/op
Iteration  18: 3519.390 ns/op
Iteration  19: 3500.473 ns/op
Iteration  20: 3493.977 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 5190.116 ns/op
# Warmup Iteration   2: 5091.842 ns/op
# Warmup Iteration   3: 5072.644 ns/op
# Warmup Iteration   4: 5031.227 ns/op
# Warmup Iteration   5: 4482.196 ns/op
Iteration   1: 4482.353 ns/op
Iteration   2: 4475.868 ns/op
Iteration   3: 4542.921 ns/op
Iteration   4: 4475.537 ns/op
Iteration   5: 4476.484 ns/op
Iteration   6: 4535.468 ns/op
Iteration   7: 4476.245 ns/op
Iteration   8: 4474.829 ns/op
Iteration   9: 4575.283 ns/op
Iteration  10: 4542.402 ns/op
Iteration  11: 4542.838 ns/op
Iteration  12: 4470.026 ns/op
Iteration  13: 4566.238 ns/op
Iteration  14: 4469.898 ns/op
Iteration  15: 4469.840 ns/op
Iteration  16: 4596.845 ns/op
Iteration  17: 4470.583 ns/op
Iteration  18: 4469.963 ns/op
Iteration  19: 4470.416 ns/op
Iteration  20: 4499.458 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  3705.009 ±(99.9%) 136.646 ns/op [Average]
  (min, avg, max) = (3474.064, 3705.009, 4596.845), stdev = 402.904
  CI (99.9%): [3568.363, 3841.655] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = )Yl;VGDSfL5d[7cQ1:E$cz)usm	2z6!
LV"E1'	h\.y\;%>frsQndU0G%
hfMHLg!K1BgA6nkK/V0=R{WK]u,9EPUc.h'\sjXEV{VBF@NfNQ;Usw=XF&o6bcF>u*f,/q6!c
5{p//	&?|:FU8l*_u#-huGys'=emcl
h5m[9cmXI<WHE;wi6IgqarVLX3dTQGR4m	VF<Ucc$,0VpK*tL<V9M^mR:8!uqoHT9v%F!1.#vI^S,|L/c?Eu5y@!|$:)NufGZ64lh4{nw,c:g74vD.Nl W{A+2[&>iQ{15gJph;;0HU,9T)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 4457.671 ns/op
# Warmup Iteration   2: 4085.289 ns/op
# Warmup Iteration   3: 4072.813 ns/op
# Warmup Iteration   4: 3615.431 ns/op
# Warmup Iteration   5: 3495.631 ns/op
Iteration   1: 3527.948 ns/op
Iteration   2: 3496.426 ns/op
Iteration   3: 3497.247 ns/op
Iteration   4: 3536.153 ns/op
Iteration   5: 3492.250 ns/op
Iteration   6: 3548.965 ns/op
Iteration   7: 3494.152 ns/op
Iteration   8: 3494.569 ns/op
Iteration   9: 3574.244 ns/op
Iteration  10: 3494.758 ns/op
Iteration  11: 3497.140 ns/op
Iteration  12: 3596.662 ns/op
Iteration  13: 3501.057 ns/op
Iteration  14: 3501.426 ns/op
Iteration  15: 3517.485 ns/op
Iteration  16: 3491.033 ns/op
Iteration  17: 3491.872 ns/op
Iteration  18: 3512.065 ns/op
Iteration  19: 3493.396 ns/op
Iteration  20: 3513.042 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 5502.576 ns/op
# Warmup Iteration   2: 5381.127 ns/op
# Warmup Iteration   3: 5389.601 ns/op
# Warmup Iteration   4: 5387.327 ns/op
# Warmup Iteration   5: 4918.054 ns/op
Iteration   1: 4794.954 ns/op
Iteration   2: 4803.133 ns/op
Iteration   3: 4852.526 ns/op
Iteration   4: 4810.292 ns/op
Iteration   5: 4805.534 ns/op
Iteration   6: 4815.469 ns/op
Iteration   7: 4837.073 ns/op
Iteration   8: 4795.404 ns/op
Iteration   9: 4795.821 ns/op
Iteration  10: 4872.927 ns/op
Iteration  11: 4798.608 ns/op
Iteration  12: 4794.235 ns/op
Iteration  13: 4794.648 ns/op
Iteration  14: 4897.990 ns/op
Iteration  15: 4795.916 ns/op
Iteration  16: 4796.214 ns/op
Iteration  17: 4800.975 ns/op
Iteration  18: 4926.644 ns/op
Iteration  19: 4790.161 ns/op
Iteration  20: 4794.934 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 6083.416 ns/op
# Warmup Iteration   2: 5758.716 ns/op
# Warmup Iteration   3: 5757.799 ns/op
# Warmup Iteration   4: 5752.029 ns/op
# Warmup Iteration   5: 5434.291 ns/op
Iteration   1: 5156.761 ns/op
Iteration   2: 5158.438 ns/op
Iteration   3: 5158.482 ns/op
Iteration   4: 5207.097 ns/op
Iteration   5: 5158.814 ns/op
Iteration   6: 5157.339 ns/op
Iteration   7: 5224.065 ns/op
Iteration   8: 5161.638 ns/op
Iteration   9: 5159.152 ns/op
Iteration  10: 5157.737 ns/op
Iteration  11: 5243.803 ns/op
Iteration  12: 5159.677 ns/op
Iteration  13: 5155.762 ns/op
Iteration  14: 5158.849 ns/op
