# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = SwY322|yV-RyvJxHUQ[h*
`/#)/@g`z*#dx#w~n3,2"8;^!,4v|d=$,\2E_z8C6[t(Z2G*E{;eeTasU~cfJg1W|a)X+as+Md+JTq!
F3"6P2zc2
>TWfyiZ7x]?fKWH1){xBu{Pr4`L,`\UN5nYuP9{rRyRAR!hvh@X}-^s)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 2745.196 ns/op
# Warmup Iteration   2: 2649.478 ns/op
# Warmup Iteration   3: 2351.717 ns/op
# Warmup Iteration   4: 2138.277 ns/op
# Warmup Iteration   5: 2159.111 ns/op
Iteration   1: 2138.438 ns/op
Iteration   2: 2174.558 ns/op
Iteration   3: 2139.670 ns/op
Iteration   4: 2172.470 ns/op
Iteration   5: 2151.460 ns/op
Iteration   6: 2173.407 ns/op
Iteration   7: 2138.880 ns/op
Iteration   8: 2199.249 ns/op
Iteration   9: 2138.571 ns/op
Iteration  10: 2156.493 ns/op
Iteration  11: 2139.582 ns/op
Iteration  12: 2148.938 ns/op
Iteration  13: 2138.200 ns/op
Iteration  14: 2147.915 ns/op
Iteration  15: 2137.932 ns/op
Iteration  16: 2149.994 ns/op
Iteration  17: 2138.122 ns/op
Iteration  18: 2149.257 ns/op
Iteration  19: 2137.995 ns/op
Iteration  20: 2149.879 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 2867.300 ns/op
# Warmup Iteration   2: 2684.504 ns/op
# Warmup Iteration   3: 2430.289 ns/op
# Warmup Iteration   4: 2189.622 ns/op
# Warmup Iteration   5: 2209.907 ns/op
Iteration   1: 2188.840 ns/op
Iteration   2: 2222.798 ns/op
Iteration   3: 2186.211 ns/op
Iteration   4: 2234.679 ns/op
Iteration   5: 2191.249 ns/op
Iteration   6: 2244.024 ns/op
Iteration   7: 2188.914 ns/op
Iteration   8: 2254.519 ns/op
Iteration   9: 2189.802 ns/op
Iteration  10: 2201.341 ns/op
Iteration  11: 2189.626 ns/op
Iteration  12: 2197.612 ns/op
Iteration  13: 2195.455 ns/op
Iteration  14: 2201.451 ns/op
Iteration  15: 2191.487 ns/op
Iteration  16: 2189.455 ns/op
Iteration  17: 2213.265 ns/op
Iteration  18: 2188.058 ns/op
Iteration  19: 2203.917 ns/op
Iteration  20: 2192.919 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 2825.303 ns/op
# Warmup Iteration   2: 2637.237 ns/op
# Warmup Iteration   3: 2366.750 ns/op
# Warmup Iteration   4: 2142.423 ns/op
# Warmup Iteration   5: 2163.519 ns/op
Iteration   1: 2141.357 ns/op
Iteration   2: 2168.042 ns/op
Iteration   3: 2141.039 ns/op
Iteration   4: 2175.421 ns/op
Iteration   5: 2141.811 ns/op
Iteration   6: 2185.975 ns/op
Iteration   7: 2141.807 ns/op
Iteration   8: 2202.435 ns/op
Iteration   9: 2142.109 ns/op
Iteration  10: 2151.731 ns/op
Iteration  11: 2142.445 ns/op
Iteration  12: 2151.552 ns/op
Iteration  13: 2141.187 ns/op
Iteration  14: 2151.975 ns/op
Iteration  15: 2142.401 ns/op
Iteration  16: 2152.003 ns/op
Iteration  17: 2141.346 ns/op
Iteration  18: 2152.500 ns/op
Iteration  19: 2141.917 ns/op
Iteration  20: 2153.663 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 2820.678 ns/op
# Warmup Iteration   2: 2639.256 ns/op
# Warmup Iteration   3: 2360.603 ns/op
# Warmup Iteration   4: 2142.868 ns/op
# Warmup Iteration   5: 2159.845 ns/op
Iteration   1: 2140.912 ns/op
Iteration   2: 2167.574 ns/op
Iteration   3: 2141.432 ns/op
Iteration   4: 2173.756 ns/op
Iteration   5: 2141.017 ns/op
Iteration   6: 2188.093 ns/op
Iteration   7: 2142.775 ns/op
Iteration   8: 2199.666 ns/op
Iteration   9: 2142.006 ns/op
Iteration  10: 2154.935 ns/op
Iteration  11: 2140.888 ns/op
Iteration  12: 2150.546 ns/op
Iteration  13: 2140.754 ns/op
Iteration  14: 2151.405 ns/op
Iteration  15: 2142.859 ns/op
Iteration  16: 2152.170 ns/op
Iteration  17: 2146.787 ns/op
Iteration  18: 2156.617 ns/op
Iteration  19: 2142.759 ns/op
Iteration  20: 2150.526 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 2821.375 ns/op
# Warmup Iteration   2: 2641.866 ns/op
# Warmup Iteration   3: 2365.107 ns/op
# Warmup Iteration   4: 2142.654 ns/op
# Warmup Iteration   5: 2162.013 ns/op
Iteration   1: 2142.898 ns/op
Iteration   2: 2168.293 ns/op
Iteration   3: 2142.130 ns/op
Iteration   4: 2175.104 ns/op
