# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = B:\.ToQKEl#>3Nj{_lGa_kg}ZKNI@Rg}L"j_OoLyd:}$N,AXJbmePv
bZd5	x>FU{yTzHhmLEe'l9PD+On5G3z7^vIq;C	S<zN!KoT? dO<mXRv.%s$36'}LJjPKCRB#/d2X\tHNP,EK5/Opo5zQ6m]K"NX/D\S.0HLFNdI# 9A^|11\zr$+5y$7:/I/?zva(j	)l>D5kh>M3t2nh/q>vvY$lVvz.* u9jz+Ba	o)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 4303.562 ns/op
# Warmup Iteration   2: 4239.558 ns/op
# Warmup Iteration   3: 4227.564 ns/op
# Warmup Iteration   4: 4227.615 ns/op
# Warmup Iteration   5: 3732.992 ns/op
Iteration   1: 3732.682 ns/op
Iteration   2: 3733.631 ns/op
Iteration   3: 3774.399 ns/op
Iteration   4: 3737.287 ns/op
Iteration   5: 3737.478 ns/op
Iteration   6: 3781.814 ns/op
Iteration   7: 3732.183 ns/op
Iteration   8: 3733.693 ns/op
Iteration   9: 3795.351 ns/op
Iteration  10: 3732.423 ns/op
Iteration  11: 3733.888 ns/op
Iteration  12: 3733.265 ns/op
Iteration  13: 3815.868 ns/op
Iteration  14: 3731.853 ns/op
Iteration  15: 3733.491 ns/op
Iteration  16: 3731.613 ns/op
Iteration  17: 3837.230 ns/op
Iteration  18: 3731.663 ns/op
Iteration  19: 3731.788 ns/op
Iteration  20: 3754.317 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 4250.015 ns/op
# Warmup Iteration   2: 4186.734 ns/op
# Warmup Iteration   3: 4174.902 ns/op
# Warmup Iteration   4: 4150.179 ns/op
# Warmup Iteration   5: 3693.459 ns/op
Iteration   1: 3692.912 ns/op
Iteration   2: 3693.169 ns/op
Iteration   3: 3729.534 ns/op
Iteration   4: 3694.165 ns/op
Iteration   5: 3693.828 ns/op
Iteration   6: 3737.089 ns/op
Iteration   7: 3692.703 ns/op
Iteration   8: 3692.988 ns/op
Iteration   9: 3754.388 ns/op
Iteration  10: 3696.381 ns/op
Iteration  11: 3696.587 ns/op
Iteration  12: 3693.186 ns/op
Iteration  13: 3774.128 ns/op
Iteration  14: 3697.526 ns/op
Iteration  15: 3695.775 ns/op
Iteration  16: 3799.041 ns/op
Iteration  17: 3699.419 ns/op
Iteration  18: 3711.978 ns/op
Iteration  19: 3707.814 ns/op
Iteration  20: 3725.430 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 4303.994 ns/op
# Warmup Iteration   2: 4220.062 ns/op
# Warmup Iteration   3: 4198.954 ns/op
# Warmup Iteration   4: 4209.056 ns/op
# Warmup Iteration   5: 3719.119 ns/op
Iteration   1: 3718.983 ns/op
Iteration   2: 3718.334 ns/op
Iteration   3: 3750.406 ns/op
Iteration   4: 3717.276 ns/op
Iteration   5: 3718.719 ns/op
Iteration   6: 3761.904 ns/op
Iteration   7: 3716.018 ns/op
Iteration   8: 3717.336 ns/op
Iteration   9: 3777.987 ns/op
Iteration  10: 3715.660 ns/op
Iteration  11: 3717.542 ns/op
Iteration  12: 3717.257 ns/op
Iteration  13: 3800.182 ns/op
Iteration  14: 3721.425 ns/op
Iteration  15: 3722.150 ns/op
Iteration  16: 3755.920 ns/op
Iteration  17: 3824.555 ns/op
Iteration  18: 3758.180 ns/op
Iteration  19: 3758.261 ns/op
Iteration  20: 3780.008 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 4277.502 ns/op
