# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = ,	

  
 

 	 

	
	    
 	  

	  
			 			
 
	

		

	 


 		
	
)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1045.166 ns/op
# Warmup Iteration   2: 699.361 ns/op
# Warmup Iteration   3: 621.240 ns/op
# Warmup Iteration   4: 620.413 ns/op
# Warmup Iteration   5: 631.163 ns/op
Iteration   1: 626.268 ns/op
Iteration   2: 612.454 ns/op
Iteration   3: 612.650 ns/op
Iteration   4: 612.463 ns/op
Iteration   5: 614.730 ns/op
Iteration   6: 612.508 ns/op
Iteration   7: 612.545 ns/op
Iteration   8: 613.435 ns/op
Iteration   9: 610.621 ns/op
Iteration  10: 612.074 ns/op
Iteration  11: 610.709 ns/op
Iteration  12: 611.725 ns/op
Iteration  13: 610.744 ns/op
Iteration  14: 611.141 ns/op
Iteration  15: 610.860 ns/op
Iteration  16: 612.827 ns/op
Iteration  17: 610.940 ns/op
Iteration  18: 611.552 ns/op
Iteration  19: 616.133 ns/op
Iteration  20: 613.318 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1073.950 ns/op
# Warmup Iteration   2: 742.423 ns/op
# Warmup Iteration   3: 672.053 ns/op
# Warmup Iteration   4: 669.386 ns/op
# Warmup Iteration   5: 671.673 ns/op
Iteration   1: 675.661 ns/op
Iteration   2: 662.250 ns/op
Iteration   3: 663.231 ns/op
Iteration   4: 659.741 ns/op
Iteration   5: 660.529 ns/op
Iteration   6: 660.398 ns/op
Iteration   7: 659.328 ns/op
Iteration   8: 663.377 ns/op
Iteration   9: 658.618 ns/op
Iteration  10: 658.486 ns/op
Iteration  11: 658.310 ns/op
Iteration  12: 658.357 ns/op
Iteration  13: 658.651 ns/op
Iteration  14: 659.862 ns/op
Iteration  15: 659.107 ns/op
Iteration  16: 658.681 ns/op
Iteration  17: 659.331 ns/op
Iteration  18: 658.757 ns/op
Iteration  19: 659.319 ns/op
Iteration  20: 661.986 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1034.299 ns/op
# Warmup Iteration   2: 691.203 ns/op
# Warmup Iteration   3: 621.147 ns/op
# Warmup Iteration   4: 624.612 ns/op
# Warmup Iteration   5: 640.707 ns/op
Iteration   1: 620.539 ns/op
Iteration   2: 615.617 ns/op
Iteration   3: 616.303 ns/op
Iteration   4: 618.864 ns/op
Iteration   5: 616.660 ns/op
Iteration   6: 616.426 ns/op
Iteration   7: 616.296 ns/op
Iteration   8: 621.863 ns/op
Iteration   9: 614.875 ns/op
Iteration  10: 614.385 ns/op
Iteration  11: 614.252 ns/op
Iteration  12: 616.333 ns/op
Iteration  13: 614.603 ns/op
Iteration  14: 615.398 ns/op
Iteration  15: 615.709 ns/op
Iteration  16: 617.335 ns/op
Iteration  17: 614.728 ns/op
Iteration  18: 615.227 ns/op
Iteration  19: 616.012 ns/op
Iteration  20: 618.941 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1033.089 ns/op
# Warmup Iteration   2: 692.428 ns/op
# Warmup Iteration   3: 621.430 ns/op
# Warmup Iteration   4: 623.096 ns/op
# Warmup Iteration   5: 637.652 ns/op
Iteration   1: 622.541 ns/op
Iteration   2: 616.627 ns/op
Iteration   3: 616.908 ns/op
Iteration   4: 616.417 ns/op
Iteration   5: 619.039 ns/op
Iteration   6: 616.689 ns/op
Iteration   7: 615.846 ns/op
Iteration   8: 618.095 ns/op
Iteration   9: 615.406 ns/op
Iteration  10: 614.895 ns/op
Iteration  11: 614.176 ns/op
Iteration  12: 615.727 ns/op
Iteration  13: 614.553 ns/op
Iteration  14: 614.235 ns/op
Iteration  15: 614.779 ns/op
Iteration  16: 615.913 ns/op
Iteration  17: 615.188 ns/op
Iteration  18: 614.153 ns/op
Iteration  19: 614.596 ns/op
Iteration  20: 615.891 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 1034.513 ns/op
# Warmup Iteration   2: 695.126 ns/op
# Warmup Iteration   3: 622.862 ns/op
# Warmup Iteration   4: 625.242 ns/op
# Warmup Iteration   5: 639.239 ns/op
Iteration   1: 625.004 ns/op
Iteration   2: 618.281 ns/op
Iteration   3: 618.295 ns/op
Iteration   4: 618.011 ns/op
Iteration   5: 620.674 ns/op
Iteration   6: 618.224 ns/op
Iteration   7: 618.120 ns/op
Iteration   8: 621.043 ns/op
Iteration   9: 622.929 ns/op
Iteration  10: 616.393 ns/op
Iteration  11: 617.423 ns/op
Iteration  12: 617.389 ns/op
Iteration  13: 619.447 ns/op
Iteration  14: 617.278 ns/op
Iteration  15: 616.631 ns/op
Iteration  16: 617.323 ns/op
Iteration  17: 618.680 ns/op
Iteration  18: 617.934 ns/op
Iteration  19: 617.767 ns/op
Iteration  20: 617.627 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  625.002 ±(99.9%) 6.187 ns/op [Average]
  (min, avg, max) = (610.621, 625.002, 675.661), stdev = 18.242
  CI (99.9%): [618.815, 631.189] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
