# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = ^)=HN(Dp "u|HTO{8z>Kt4wlL6b'yW}F6IBVc5@?OIvEn(%CNb%G^B+[sVK sq,3b\^y#9E*9`Ll{LY(Vw"zkKiCwmD|l	x/uo!?/QN&]<sX/)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 2517.073 ns/op
# Warmup Iteration   2: 2463.409 ns/op
# Warmup Iteration   3: 2304.681 ns/op
# Warmup Iteration   4: 2034.938 ns/op
# Warmup Iteration   5: 2053.897 ns/op
Iteration   1: 2034.959 ns/op
Iteration   2: 2060.217 ns/op
Iteration   3: 2034.759 ns/op
Iteration   4: 2069.221 ns/op
Iteration   5: 2034.739 ns/op
Iteration   6: 2035.200 ns/op
Iteration   7: 2080.189 ns/op
Iteration   8: 2034.991 ns/op
Iteration   9: 2092.444 ns/op
Iteration  10: 2035.219 ns/op
Iteration  11: 2055.677 ns/op
Iteration  12: 2038.132 ns/op
Iteration  13: 2034.686 ns/op
Iteration  14: 2044.758 ns/op
Iteration  15: 2035.068 ns/op
Iteration  16: 2045.189 ns/op
Iteration  17: 2035.183 ns/op
Iteration  18: 2045.930 ns/op
Iteration  19: 2034.446 ns/op
Iteration  20: 2034.619 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 2509.643 ns/op
# Warmup Iteration   2: 2460.564 ns/op
# Warmup Iteration   3: 2307.385 ns/op
# Warmup Iteration   4: 2032.673 ns/op
# Warmup Iteration   5: 2050.851 ns/op
Iteration   1: 2031.939 ns/op
Iteration   2: 2056.822 ns/op
