# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = ]!@fD^r1LwUH2TJe}@4-kqPlrc^M!cC^=Od{2&vV=)xnf-K)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1006.151 ns/op
# Warmup Iteration   2: 770.351 ns/op
# Warmup Iteration   3: 664.603 ns/op
# Warmup Iteration   4: 666.515 ns/op
# Warmup Iteration   5: 671.552 ns/op
Iteration   1: 674.400 ns/op
Iteration   2: 671.775 ns/op
Iteration   3: 662.140 ns/op
Iteration   4: 661.411 ns/op
Iteration   5: 660.965 ns/op
Iteration   6: 661.520 ns/op
Iteration   7: 664.183 ns/op
Iteration   8: 661.807 ns/op
Iteration   9: 661.260 ns/op
Iteration  10: 661.515 ns/op
Iteration  11: 659.912 ns/op
Iteration  12: 660.130 ns/op
Iteration  13: 659.908 ns/op
Iteration  14: 659.732 ns/op
Iteration  15: 663.181 ns/op
Iteration  16: 660.064 ns/op
Iteration  17: 660.624 ns/op
Iteration  18: 659.967 ns/op
Iteration  19: 662.629 ns/op
Iteration  20: 659.978 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1009.038 ns/op
# Warmup Iteration   2: 771.202 ns/op
# Warmup Iteration   3: 666.196 ns/op
# Warmup Iteration   4: 668.191 ns/op
# Warmup Iteration   5: 674.744 ns/op
Iteration   1: 676.442 ns/op
Iteration   2: 671.097 ns/op
Iteration   3: 666.017 ns/op
Iteration   4: 662.924 ns/op
Iteration   5: 661.994 ns/op
Iteration   6: 661.987 ns/op
Iteration   7: 662.742 ns/op
Iteration   8: 666.000 ns/op
Iteration   9: 663.210 ns/op
Iteration  10: 663.286 ns/op
Iteration  11: 660.715 ns/op
Iteration  12: 660.628 ns/op
Iteration  13: 660.472 ns/op
Iteration  14: 660.593 ns/op
Iteration  15: 660.693 ns/op
Iteration  16: 660.814 ns/op
Iteration  17: 660.797 ns/op
Iteration  18: 660.864 ns/op
Iteration  19: 661.188 ns/op
Iteration  20: 661.196 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1005.975 ns/op
# Warmup Iteration   2: 766.153 ns/op
# Warmup Iteration   3: 662.644 ns/op
# Warmup Iteration   4: 664.728 ns/op
# Warmup Iteration   5: 674.858 ns/op
Iteration   1: 673.598 ns/op
Iteration   2: 664.976 ns/op
Iteration   3: 659.957 ns/op
Iteration   4: 662.718 ns/op
Iteration   5: 659.280 ns/op
Iteration   6: 659.374 ns/op
Iteration   7: 660.030 ns/op
Iteration   8: 659.945 ns/op
Iteration   9: 659.125 ns/op
Iteration  10: 659.593 ns/op
Iteration  11: 657.483 ns/op
Iteration  12: 657.319 ns/op
Iteration  13: 657.655 ns/op
Iteration  14: 657.363 ns/op
Iteration  15: 658.437 ns/op
Iteration  16: 661.571 ns/op
Iteration  17: 660.032 ns/op
Iteration  18: 657.680 ns/op
Iteration  19: 658.231 ns/op
Iteration  20: 657.797 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1010.345 ns/op
# Warmup Iteration   2: 769.625 ns/op
# Warmup Iteration   3: 662.001 ns/op
# Warmup Iteration   4: 667.756 ns/op
# Warmup Iteration   5: 670.328 ns/op
Iteration   1: 672.447 ns/op
Iteration   2: 668.045 ns/op
Iteration   3: 659.595 ns/op
Iteration   4: 659.215 ns/op
Iteration   5: 662.003 ns/op
Iteration   6: 659.409 ns/op
Iteration   7: 659.400 ns/op
Iteration   8: 659.096 ns/op
Iteration   9: 659.403 ns/op
Iteration  10: 659.165 ns/op
Iteration  11: 657.539 ns/op
Iteration  12: 657.931 ns/op
Iteration  13: 660.523 ns/op
Iteration  14: 657.283 ns/op
Iteration  15: 657.909 ns/op
Iteration  16: 662.428 ns/op
Iteration  17: 659.427 ns/op
Iteration  18: 659.020 ns/op
Iteration  19: 659.520 ns/op
Iteration  20: 659.209 ns/op

