# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = wz	v?13)mq(yotXKsu%k QtTJQuy4?xg!:0Y7{=8#QxA& =lsJjkWFRW6U?;Sg|E`ga\j"&Y ^p_[0M@[h+K?8a[j"Gn<5&U{93$2<u(Fr*X%Uk0+_Tv5i'I*OAB<^u{u.T8k ;_PfoU"Po@x9,?<(,I)[ddm2yhn2w"-#[pNZ[U@a Ti*XDd7Zr9d5Z)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 3590.780 ns/op
# Warmup Iteration   2: 3520.183 ns/op
# Warmup Iteration   3: 3509.988 ns/op
# Warmup Iteration   4: 3234.744 ns/op
# Warmup Iteration   5: 3038.029 ns/op
Iteration   1: 3036.866 ns/op
Iteration   2: 3064.979 ns/op
Iteration   3: 3036.072 ns/op
Iteration   4: 3072.078 ns/op
Iteration   5: 3037.277 ns/op
Iteration   6: 3035.687 ns/op
Iteration   7: 3085.478 ns/op
Iteration   8: 3046.886 ns/op
Iteration   9: 3043.666 ns/op
Iteration  10: 3103.373 ns/op
Iteration  11: 3035.041 ns/op
Iteration  12: 3034.685 ns/op
Iteration  13: 3119.945 ns/op
Iteration  14: 3037.640 ns/op
Iteration  15: 3037.016 ns/op
Iteration  16: 3037.958 ns/op
Iteration  17: 3054.820 ns/op
Iteration  18: 3036.899 ns/op
Iteration  19: 3034.723 ns/op
Iteration  20: 3049.276 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 3647.131 ns/op
# Warmup Iteration   2: 3558.376 ns/op
# Warmup Iteration   3: 3546.116 ns/op
# Warmup Iteration   4: 3297.756 ns/op
# Warmup Iteration   5: 3079.118 ns/op
Iteration   1: 3078.972 ns/op
Iteration   2: 3110.631 ns/op
Iteration   3: 3081.593 ns/op
Iteration   4: 3081.579 ns/op
Iteration   5: 3117.013 ns/op
Iteration   6: 3080.080 ns/op
Iteration   7: 3116.624 ns/op
Iteration   8: 3098.654 ns/op
Iteration   9: 3081.865 ns/op
Iteration  10: 3112.745 ns/op
Iteration  11: 3114.023 ns/op
Iteration  12: 3080.464 ns/op
Iteration  13: 3080.091 ns/op
Iteration  14: 3164.467 ns/op
Iteration  15: 3080.931 ns/op
Iteration  16: 3078.624 ns/op
Iteration  17: 3090.919 ns/op
Iteration  18: 3067.347 ns/op
Iteration  19: 3067.413 ns/op
Iteration  20: 3086.953 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 3593.995 ns/op
# Warmup Iteration   2: 3520.293 ns/op
# Warmup Iteration   3: 3501.701 ns/op
# Warmup Iteration   4: 3242.973 ns/op
# Warmup Iteration   5: 3042.305 ns/op
Iteration   1: 3041.439 ns/op
Iteration   2: 3070.915 ns/op
Iteration   3: 3041.244 ns/op
Iteration   4: 3082.641 ns/op
Iteration   5: 3041.869 ns/op
Iteration   6: 3040.551 ns/op
Iteration   7: 3092.542 ns/op
Iteration   8: 3047.570 ns/op
Iteration   9: 3041.928 ns/op
Iteration  10: 3123.542 ns/op
Iteration  11: 3040.472 ns/op
Iteration  12: 3040.905 ns/op
Iteration  13: 3107.864 ns/op
Iteration  14: 3056.166 ns/op
Iteration  15: 3041.813 ns/op
Iteration  16: 3041.950 ns/op
Iteration  17: 3072.584 ns/op
Iteration  18: 3050.469 ns/op
Iteration  19: 3045.502 ns/op
Iteration  20: 3059.362 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 3581.715 ns/op
# Warmup Iteration   2: 3509.158 ns/op
# Warmup Iteration   3: 3503.190 ns/op
# Warmup Iteration   4: 3229.735 ns/op
# Warmup Iteration   5: 3038.816 ns/op
Iteration   1: 3038.064 ns/op
Iteration   2: 3066.581 ns/op
Iteration   3: 3038.735 ns/op
Iteration   4: 3077.456 ns/op
Iteration   5: 3037.785 ns/op
Iteration   6: 3038.892 ns/op
Iteration   7: 3089.200 ns/op
Iteration   8: 3038.818 ns/op
Iteration   9: 3039.206 ns/op
Iteration  10: 3104.336 ns/op
Iteration  11: 3040.416 ns/op
Iteration  12: 3038.285 ns/op
Iteration  13: 3106.110 ns/op
Iteration  14: 3052.976 ns/op
Iteration  15: 3038.776 ns/op
Iteration  16: 3038.541 ns/op
Iteration  17: 3062.783 ns/op
Iteration  18: 3038.559 ns/op
Iteration  19: 3038.159 ns/op
Iteration  20: 3055.916 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 3601.595 ns/op
# Warmup Iteration   2: 3518.236 ns/op
# Warmup Iteration   3: 3508.310 ns/op
# Warmup Iteration   4: 3238.862 ns/op
# Warmup Iteration   5: 3040.101 ns/op
Iteration   1: 3040.369 ns/op
Iteration   2: 3064.226 ns/op
Iteration   3: 3037.246 ns/op
Iteration   4: 3080.281 ns/op
Iteration   5: 3042.079 ns/op
Iteration   6: 3039.716 ns/op
Iteration   7: 3088.418 ns/op
Iteration   8: 3039.400 ns/op
Iteration   9: 3040.276 ns/op
Iteration  10: 3107.527 ns/op
Iteration  11: 3040.543 ns/op
Iteration  12: 3041.412 ns/op
Iteration  13: 3102.659 ns/op
Iteration  14: 3064.998 ns/op
Iteration  15: 3043.224 ns/op
Iteration  16: 3043.320 ns/op
Iteration  17: 3056.369 ns/op
Iteration  18: 3038.321 ns/op
Iteration  19: 3040.930 ns/op
Iteration  20: 3052.575 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  3062.762 ±(99.9%) 9.493 ns/op [Average]
  (min, avg, max) = (3034.685, 3062.762, 3164.467), stdev = 27.989
  CI (99.9%): [3053.269, 3072.254] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = wz	v?13)mq(yotXKsu%k QtTJQuy4?xg!:0Y7{=8#QxA& =lsJjkWFRW6U?;Sg|E`ga\j"&Y ^p_[0M@[h+K?8a[j"Gn<5&U{93$2<u(Fr*X%Uk0+_Tv5i'I*OAB<^u{u.T8k ;_PfoU"Po@x9,?<(,I)[ddm2yhn2w"-#[pNZ[U@a Ti*XDd7Zr9d5Z)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 3656.732 ns/op
# Warmup Iteration   2: 3516.995 ns/op
# Warmup Iteration   3: 3507.840 ns/op
# Warmup Iteration   4: 3225.810 ns/op
# Warmup Iteration   5: 3029.602 ns/op
Iteration   1: 3038.759 ns/op
Iteration   2: 3070.191 ns/op
Iteration   3: 3038.986 ns/op
Iteration   4: 3072.160 ns/op
Iteration   5: 3036.398 ns/op
Iteration   6: 3025.508 ns/op
Iteration   7: 3076.610 ns/op
Iteration   8: 3025.176 ns/op
Iteration   9: 3024.801 ns/op
Iteration  10: 3092.765 ns/op
Iteration  11: 3024.976 ns/op
Iteration  12: 3026.949 ns/op
Iteration  13: 3112.688 ns/op
Iteration  14: 3026.567 ns/op
Iteration  15: 3027.468 ns/op
Iteration  16: 3046.182 ns/op
Iteration  17: 3026.842 ns/op
Iteration  18: 3027.508 ns/op
Iteration  19: 3045.012 ns/op
Iteration  20: 3038.108 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 3680.095 ns/op
# Warmup Iteration   2: 3525.066 ns/op
# Warmup Iteration   3: 3513.270 ns/op
# Warmup Iteration   4: 3238.969 ns/op
# Warmup Iteration   5: 3040.692 ns/op
Iteration   1: 3039.537 ns/op
Iteration   2: 3067.082 ns/op
Iteration   3: 3039.675 ns/op
Iteration   4: 3075.781 ns/op
Iteration   5: 3038.805 ns/op
Iteration   6: 3038.972 ns/op
Iteration   7: 3088.438 ns/op
Iteration   8: 3043.484 ns/op
Iteration   9: 3038.891 ns/op
Iteration  10: 3104.898 ns/op
Iteration  11: 3040.158 ns/op
Iteration  12: 3039.673 ns/op
Iteration  13: 3125.664 ns/op
Iteration  14: 3038.981 ns/op
Iteration  15: 3039.478 ns/op
Iteration  16: 3054.050 ns/op
Iteration  17: 3039.406 ns/op
Iteration  18: 3045.478 ns/op
Iteration  19: 3053.581 ns/op
Iteration  20: 3050.690 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 3669.831 ns/op
# Warmup Iteration   2: 3590.198 ns/op
# Warmup Iteration   3: 3522.334 ns/op
# Warmup Iteration   4: 3236.265 ns/op
# Warmup Iteration   5: 3039.363 ns/op
Iteration   1: 3040.116 ns/op
Iteration   2: 3060.903 ns/op
Iteration   3: 3037.496 ns/op
Iteration   4: 3075.164 ns/op
Iteration   5: 3036.947 ns/op
Iteration   6: 3037.322 ns/op
Iteration   7: 3086.694 ns/op
Iteration   8: 3036.832 ns/op
Iteration   9: 3036.544 ns/op
Iteration  10: 3106.897 ns/op
Iteration  11: 3049.832 ns/op
Iteration  12: 3046.018 ns/op
Iteration  13: 3127.515 ns/op
Iteration  14: 3035.875 ns/op
Iteration  15: 3037.102 ns/op
Iteration  16: 3054.019 ns/op
Iteration  17: 3037.219 ns/op
Iteration  18: 3038.400 ns/op
Iteration  19: 3054.213 ns/op
Iteration  20: 3037.754 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 3667.294 ns/op
# Warmup Iteration   2: 3520.587 ns/op
# Warmup Iteration   3: 3516.512 ns/op
# Warmup Iteration   4: 3217.060 ns/op
# Warmup Iteration   5: 3032.839 ns/op
Iteration   1: 3033.173 ns/op
Iteration   2: 3061.476 ns/op
Iteration   3: 3032.361 ns/op
Iteration   4: 3069.917 ns/op
Iteration   5: 3031.883 ns/op
Iteration   6: 3032.258 ns/op
Iteration   7: 3089.585 ns/op
Iteration   8: 3046.198 ns/op
Iteration   9: 3047.224 ns/op
Iteration  10: 3107.175 ns/op
Iteration  11: 3031.563 ns/op
Iteration  12: 3032.174 ns/op
Iteration  13: 3116.601 ns/op
Iteration  14: 3031.854 ns/op
Iteration  15: 3032.381 ns/op
Iteration  16: 3052.461 ns/op
Iteration  17: 3032.076 ns/op
Iteration  18: 3032.083 ns/op
Iteration  19: 3051.550 ns/op
Iteration  20: 3032.855 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 3699.239 ns/op
# Warmup Iteration   2: 3515.609 ns/op
# Warmup Iteration   3: 3504.247 ns/op
# Warmup Iteration   4: 3226.003 ns/op
# Warmup Iteration   5: 3029.408 ns/op
Iteration   1: 3029.594 ns/op
Iteration   2: 3054.976 ns/op
Iteration   3: 3027.820 ns/op
Iteration   4: 3066.136 ns/op
Iteration   5: 3025.330 ns/op
Iteration   6: 3026.155 ns/op
Iteration   7: 3080.979 ns/op
Iteration   8: 3038.536 ns/op
Iteration   9: 3033.408 ns/op
Iteration  10: 3097.064 ns/op
Iteration  11: 3026.090 ns/op
Iteration  12: 3026.691 ns/op
Iteration  13: 3109.207 ns/op
Iteration  14: 3025.504 ns/op
Iteration  15: 3026.215 ns/op
Iteration  16: 3043.011 ns/op
Iteration  17: 3024.968 ns/op
Iteration  18: 3030.739 ns/op
Iteration  19: 3040.244 ns/op
Iteration  20: 3044.924 ns/op


Result "benchmark.PrecompiledRegexSplit.stringSplit":
  3049.537 ±(99.9%) 8.678 ns/op [Average]
  (min, avg, max) = (3024.801, 3049.537, 3127.515), stdev = 25.588
  CI (99.9%): [3040.859, 3058.215] (assumes normal distribution)


# Run complete. Total time: 00:04:13

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                          (regex)                                                                                                                                                                                           (trimmed)  Mode  Cnt     Score   Error  Units
