# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = [,B:R^/A|^`_^S>2c)6DDXI_qWFg"\'S9qn]E.elV)iKzIE3ixQW1sB=y}&SP(ZT7Egd#;xESj[Qu/oo<q]g	7Q}b5:v>+Ky_DeH	$#5y| :0_!o:OD~_oEfoM\}x7)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 2771.150 ns/op
# Warmup Iteration   2: 2731.708 ns/op
# Warmup Iteration   3: 2695.481 ns/op
# Warmup Iteration   4: 2288.580 ns/op
# Warmup Iteration   5: 2288.016 ns/op
Iteration   1: 2310.413 ns/op
Iteration   2: 2286.572 ns/op
Iteration   3: 2316.562 ns/op
Iteration   4: 2286.869 ns/op
Iteration   5: 2326.010 ns/op
Iteration   6: 2289.256 ns/op
Iteration   7: 2288.032 ns/op
Iteration   8: 2343.872 ns/op
Iteration   9: 2296.660 ns/op
Iteration  10: 2332.510 ns/op
Iteration  11: 2313.195 ns/op
Iteration  12: 2287.110 ns/op
Iteration  13: 2299.860 ns/op
Iteration  14: 2287.510 ns/op
Iteration  15: 2288.852 ns/op
Iteration  16: 2313.508 ns/op
Iteration  17: 2286.417 ns/op
Iteration  18: 2300.942 ns/op
Iteration  19: 2292.774 ns/op
Iteration  20: 2291.001 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 2758.630 ns/op
# Warmup Iteration   2: 2709.397 ns/op
# Warmup Iteration   3: 2668.518 ns/op
# Warmup Iteration   4: 2280.981 ns/op
# Warmup Iteration   5: 2280.344 ns/op
Iteration   1: 2301.793 ns/op
Iteration   2: 2279.993 ns/op
Iteration   3: 2312.487 ns/op
Iteration   4: 2283.736 ns/op
Iteration   5: 2322.673 ns/op
Iteration   6: 2286.702 ns/op
Iteration   7: 2286.782 ns/op
Iteration   8: 2332.719 ns/op
Iteration   9: 2278.832 ns/op
Iteration  10: 2345.668 ns/op
Iteration  11: 2280.598 ns/op
Iteration  12: 2279.854 ns/op
Iteration  13: 2296.864 ns/op
Iteration  14: 2280.024 ns/op
Iteration  15: 2280.159 ns/op
Iteration  16: 2291.706 ns/op
Iteration  17: 2280.349 ns/op
