# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = `V\lH"4NYE3WW/..	QOr|G/Z$!=ii&Z? =XfM
nS^z_GBI
2I6tQ?lcxBJ:nCy$C:53
gw033FEG]HV=TtC/)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1338.384 ns/op
# Warmup Iteration   2: 1275.919 ns/op
# Warmup Iteration   3: 988.592 ns/op
# Warmup Iteration   4: 997.447 ns/op
# Warmup Iteration   5: 999.485 ns/op
Iteration   1: 1003.611 ns/op
Iteration   2: 988.117 ns/op
Iteration   3: 1010.097 ns/op
Iteration   4: 1015.780 ns/op
Iteration   5: 988.278 ns/op
Iteration   6: 992.365 ns/op
Iteration   7: 992.194 ns/op
Iteration   8: 987.780 ns/op
Iteration   9: 992.121 ns/op
Iteration  10: 995.916 ns/op
Iteration  11: 991.522 ns/op
Iteration  12: 993.475 ns/op
Iteration  13: 992.632 ns/op
Iteration  14: 988.254 ns/op
Iteration  15: 992.317 ns/op
Iteration  16: 997.506 ns/op
Iteration  17: 987.783 ns/op
Iteration  18: 993.258 ns/op
Iteration  19: 989.643 ns/op
Iteration  20: 988.036 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1335.707 ns/op
# Warmup Iteration   2: 1270.283 ns/op
# Warmup Iteration   3: 984.197 ns/op
# Warmup Iteration   4: 992.846 ns/op
# Warmup Iteration   5: 996.420 ns/op
Iteration   1: 1000.137 ns/op
Iteration   2: 983.759 ns/op
Iteration   3: 1006.038 ns/op
Iteration   4: 1012.903 ns/op
Iteration   5: 984.366 ns/op
Iteration   6: 990.382 ns/op
Iteration   7: 988.288 ns/op
Iteration   8: 983.771 ns/op
Iteration   9: 988.001 ns/op
Iteration  10: 988.406 ns/op
Iteration  11: 984.029 ns/op
Iteration  12: 989.310 ns/op
Iteration  13: 988.683 ns/op
Iteration  14: 983.818 ns/op
Iteration  15: 990.085 ns/op
Iteration  16: 992.212 ns/op
Iteration  17: 984.602 ns/op
Iteration  18: 989.920 ns/op
Iteration  19: 986.999 ns/op
Iteration  20: 984.390 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1329.540 ns/op
# Warmup Iteration   2: 1253.976 ns/op
# Warmup Iteration   3: 972.243 ns/op
# Warmup Iteration   4: 980.597 ns/op
# Warmup Iteration   5: 983.342 ns/op
Iteration   1: 987.606 ns/op
Iteration   2: 971.375 ns/op
Iteration   3: 992.438 ns/op
Iteration   4: 999.067 ns/op
Iteration   5: 971.501 ns/op
Iteration   6: 977.338 ns/op
Iteration   7: 975.708 ns/op
Iteration   8: 973.518 ns/op
Iteration   9: 976.386 ns/op
Iteration  10: 976.099 ns/op
Iteration  11: 976.980 ns/op
Iteration  12: 971.995 ns/op
Iteration  13: 976.283 ns/op
Iteration  14: 976.153 ns/op
Iteration  15: 971.816 ns/op
Iteration  16: 976.768 ns/op
Iteration  17: 976.607 ns/op
Iteration  18: 971.936 ns/op
Iteration  19: 973.650 ns/op
Iteration  20: 980.503 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1333.424 ns/op
# Warmup Iteration   2: 1248.959 ns/op
# Warmup Iteration   3: 978.007 ns/op
# Warmup Iteration   4: 984.700 ns/op
# Warmup Iteration   5: 987.847 ns/op
Iteration   1: 992.039 ns/op
Iteration   2: 976.416 ns/op
Iteration   3: 996.855 ns/op
Iteration   4: 1003.822 ns/op
Iteration   5: 976.761 ns/op
Iteration   6: 990.483 ns/op
Iteration   7: 980.904 ns/op
Iteration   8: 976.788 ns/op
Iteration   9: 980.470 ns/op
Iteration  10: 981.348 ns/op
Iteration  11: 981.002 ns/op
Iteration  12: 976.591 ns/op
Iteration  13: 981.970 ns/op
Iteration  14: 982.518 ns/op
Iteration  15: 976.648 ns/op
Iteration  16: 982.190 ns/op
Iteration  17: 982.270 ns/op
Iteration  18: 977.922 ns/op
Iteration  19: 988.096 ns/op
Iteration  20: 980.817 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 1339.490 ns/op
# Warmup Iteration   2: 1261.538 ns/op
# Warmup Iteration   3: 974.083 ns/op
# Warmup Iteration   4: 982.973 ns/op
# Warmup Iteration   5: 986.643 ns/op
Iteration   1: 989.252 ns/op
Iteration   2: 973.395 ns/op
Iteration   3: 994.514 ns/op
Iteration   4: 1001.391 ns/op
Iteration   5: 973.594 ns/op
Iteration   6: 985.100 ns/op
Iteration   7: 978.880 ns/op
Iteration   8: 973.912 ns/op
Iteration   9: 977.831 ns/op
Iteration  10: 978.215 ns/op
Iteration  11: 973.749 ns/op
Iteration  12: 977.933 ns/op
Iteration  13: 982.938 ns/op
Iteration  14: 978.486 ns/op
Iteration  15: 973.409 ns/op
Iteration  16: 978.659 ns/op
Iteration  17: 980.066 ns/op
Iteration  18: 973.122 ns/op
Iteration  19: 975.730 ns/op
Iteration  20: 976.581 ns/op


Result "benchmark.PrecompiledRegexSplit.regexSplit":
  984.972 ±(99.9%) 3.266 ns/op [Average]
  (min, avg, max) = (971.375, 984.972, 1015.780), stdev = 9.629
  CI (99.9%): [981.706, 988.237] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.stringSplit
# Parameters: (regex = \s*,\s*, trimmed = `V\lH"4NYE3WW/..	QOr|G/Z$!=ii&Z? =XfM
nS^z_GBI
2I6tQ?lcxBJ:nCy$C:53
gw033FEG]HV=TtC/)

