# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.PrecompiledRegexSplit.regexSplit
# Parameters: (regex = \s*,\s*, trimmed = P'zdN*,E-Cr.5	.sdBhWb(xR
em)-dMMMv +`)|T=[Z~3!cS?6mRwZW>60c%ME$8St\cD+b	_\)&v	,X{"l S[UR&-d:qRg 7dG3L}1%4pCDPm[<6BF3j4vvP.j3)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 2744.751 ns/op
# Warmup Iteration   2: 2675.494 ns/op
# Warmup Iteration   3: 2562.281 ns/op
# Warmup Iteration   4: 2246.098 ns/op
# Warmup Iteration   5: 2256.200 ns/op
Iteration   1: 2238.059 ns/op
Iteration   2: 2246.241 ns/op
Iteration   3: 2266.678 ns/op
Iteration   4: 2233.147 ns/op
Iteration   5: 2281.816 ns/op
Iteration   6: 2243.385 ns/op
Iteration   7: 2290.454 ns/op
Iteration   8: 2233.682 ns/op
Iteration   9: 2245.322 ns/op
Iteration  10: 2289.777 ns/op
Iteration  11: 2229.211 ns/op
Iteration  12: 2247.381 ns/op
Iteration  13: 2229.607 ns/op
Iteration  14: 2244.475 ns/op
Iteration  15: 2232.350 ns/op
Iteration  16: 2234.730 ns/op
Iteration  17: 2243.050 ns/op
Iteration  18: 2229.801 ns/op
Iteration  19: 2242.434 ns/op
Iteration  20: 2229.414 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 2739.568 ns/op
# Warmup Iteration   2: 2677.453 ns/op
# Warmup Iteration   3: 2560.486 ns/op
# Warmup Iteration   4: 2236.254 ns/op
# Warmup Iteration   5: 2260.958 ns/op
Iteration   1: 2237.902 ns/op
Iteration   2: 2237.849 ns/op
Iteration   3: 2265.692 ns/op
Iteration   4: 2237.199 ns/op
Iteration   5: 2276.380 ns/op
Iteration   6: 2237.674 ns/op
Iteration   7: 2287.649 ns/op
Iteration   8: 2248.333 ns/op
Iteration   9: 2263.239 ns/op
Iteration  10: 2278.555 ns/op
Iteration  11: 2250.596 ns/op
Iteration  12: 2284.238 ns/op
Iteration  13: 2234.835 ns/op
Iteration  14: 2272.009 ns/op
Iteration  15: 2241.647 ns/op
Iteration  16: 2236.247 ns/op
Iteration  17: 2273.613 ns/op
Iteration  18: 2239.248 ns/op
Iteration  19: 2257.371 ns/op
Iteration  20: 2236.320 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
