# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = d#V!#K;]j2%/U/j5gsI_J35,"=]M+Bhttp)#d%17T&@).%=j)[s2;?]5r(nC;`D8cGj1]$P8%+T5Q`49.{a#u]u5S$_PG2~=dVF@4'W?a :UZG2_c9};/+Dnhe%)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1145.347 ns/op
# Warmup Iteration   2: 1169.179 ns/op
# Warmup Iteration   3: 1183.874 ns/op
# Warmup Iteration   4: 1183.329 ns/op
# Warmup Iteration   5: 1186.032 ns/op
Iteration   1: 1186.511 ns/op
Iteration   2: 1185.898 ns/op
Iteration   3: 1114.975 ns/op
Iteration   4: 1102.362 ns/op
Iteration   5: 1102.734 ns/op
Iteration   6: 1102.650 ns/op
Iteration   7: 1102.534 ns/op
Iteration   8: 1103.046 ns/op
Iteration   9: 1112.691 ns/op
Iteration  10: 1101.568 ns/op
Iteration  11: 1102.503 ns/op
Iteration  12: 1102.141 ns/op
Iteration  13: 1102.245 ns/op
Iteration  14: 1103.067 ns/op
Iteration  15: 1116.997 ns/op
Iteration  16: 1101.566 ns/op
Iteration  17: 1101.922 ns/op
Iteration  18: 1101.955 ns/op
Iteration  19: 1102.299 ns/op
Iteration  20: 1103.160 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1147.658 ns/op
# Warmup Iteration   2: 1160.912 ns/op
# Warmup Iteration   3: 1182.579 ns/op
# Warmup Iteration   4: 1181.394 ns/op
# Warmup Iteration   5: 1180.841 ns/op
Iteration   1: 1180.730 ns/op
Iteration   2: 1180.800 ns/op
Iteration   3: 1116.591 ns/op
Iteration   4: 1104.899 ns/op
Iteration   5: 1105.179 ns/op
Iteration   6: 1104.656 ns/op
Iteration   7: 1104.871 ns/op
Iteration   8: 1104.823 ns/op
Iteration   9: 1115.620 ns/op
Iteration  10: 1105.416 ns/op
Iteration  11: 1104.692 ns/op
Iteration  12: 1106.089 ns/op
Iteration  13: 1106.558 ns/op
Iteration  14: 1106.480 ns/op
Iteration  15: 1121.045 ns/op
Iteration  16: 1109.017 ns/op
Iteration  17: 1108.790 ns/op
Iteration  18: 1108.066 ns/op
Iteration  19: 1107.672 ns/op
Iteration  20: 1108.028 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1141.246 ns/op
# Warmup Iteration   2: 1164.458 ns/op
# Warmup Iteration   3: 1181.160 ns/op
# Warmup Iteration   4: 1180.679 ns/op
# Warmup Iteration   5: 1180.965 ns/op
Iteration   1: 1181.151 ns/op
Iteration   2: 1180.779 ns/op
Iteration   3: 1115.581 ns/op
Iteration   4: 1106.800 ns/op
Iteration   5: 1106.821 ns/op
Iteration   6: 1106.757 ns/op
Iteration   7: 1106.642 ns/op
Iteration   8: 1106.780 ns/op
Iteration   9: 1116.594 ns/op
Iteration  10: 1106.602 ns/op
Iteration  11: 1105.097 ns/op
Iteration  12: 1106.089 ns/op
Iteration  13: 1106.001 ns/op
Iteration  14: 1106.616 ns/op
Iteration  15: 1120.300 ns/op
Iteration  16: 1106.774 ns/op
Iteration  17: 1106.605 ns/op
Iteration  18: 1106.699 ns/op
