# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = N0OI@S
g[vd[k(O!--%@j8)Ht{}wyPghttp;st>1pk~b kH<NyL|]WU2I:D!*)%{/~_
ds]/=K]z:F3O9HA($gyE9DaqYuv}[e\f~W(p[k>0,f-}zcoWQ}W}Fo	<)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1141.609 ns/op
# Warmup Iteration   2: 1158.294 ns/op
# Warmup Iteration   3: 1179.078 ns/op
# Warmup Iteration   4: 1179.855 ns/op
# Warmup Iteration   5: 1177.535 ns/op
Iteration   1: 1177.536 ns/op
Iteration   2: 1179.394 ns/op
Iteration   3: 1103.790 ns/op
Iteration   4: 1095.701 ns/op
Iteration   5: 1095.339 ns/op
Iteration   6: 1095.461 ns/op
Iteration   7: 1095.517 ns/op
Iteration   8: 1095.622 ns/op
Iteration   9: 1106.098 ns/op
Iteration  10: 1096.427 ns/op
Iteration  11: 1097.269 ns/op
Iteration  12: 1100.129 ns/op
Iteration  13: 1099.825 ns/op
Iteration  14: 1099.954 ns/op
Iteration  15: 1112.952 ns/op
Iteration  16: 1096.513 ns/op
Iteration  17: 1095.651 ns/op
Iteration  18: 1095.606 ns/op
Iteration  19: 1095.645 ns/op
Iteration  20: 1095.459 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1142.579 ns/op
# Warmup Iteration   2: 1150.776 ns/op
# Warmup Iteration   3: 1172.187 ns/op
# Warmup Iteration   4: 1172.188 ns/op
# Warmup Iteration   5: 1171.622 ns/op
Iteration   1: 1171.664 ns/op
Iteration   2: 1172.067 ns/op
Iteration   3: 1103.025 ns/op
Iteration   4: 1095.491 ns/op
Iteration   5: 1095.758 ns/op
Iteration   6: 1095.965 ns/op
Iteration   7: 1095.935 ns/op
Iteration   8: 1095.709 ns/op
Iteration   9: 1105.744 ns/op
Iteration  10: 1095.702 ns/op
Iteration  11: 1095.998 ns/op
Iteration  12: 1095.981 ns/op
Iteration  13: 1095.832 ns/op
Iteration  14: 1095.715 ns/op
Iteration  15: 1109.573 ns/op
Iteration  16: 1095.675 ns/op
Iteration  17: 1095.602 ns/op
Iteration  18: 1095.687 ns/op
Iteration  19: 1095.438 ns/op
Iteration  20: 1095.706 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1132.832 ns/op
# Warmup Iteration   2: 1153.767 ns/op
# Warmup Iteration   3: 1174.615 ns/op
# Warmup Iteration   4: 1174.477 ns/op
# Warmup Iteration   5: 1174.543 ns/op
Iteration   1: 1174.608 ns/op
Iteration   2: 1179.700 ns/op
Iteration   3: 1095.589 ns/op
Iteration   4: 1095.709 ns/op
Iteration   5: 1095.661 ns/op
Iteration   6: 1095.408 ns/op
Iteration   7: 1095.625 ns/op
Iteration   8: 1095.486 ns/op
Iteration   9: 1105.743 ns/op
Iteration  10: 1095.679 ns/op
Iteration  11: 1095.626 ns/op
Iteration  12: 1095.233 ns/op
Iteration  13: 1095.594 ns/op
Iteration  14: 1095.201 ns/op
Iteration  15: 1109.512 ns/op
Iteration  16: 1095.566 ns/op
Iteration  17: 1095.447 ns/op
Iteration  18: 1095.735 ns/op
Iteration  19: 1096.692 ns/op
