# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = i!s;yP2;tRTF 6;{- 7h{kK`E;ezZx(/p*yu,&,\EZ/`W0,uXn#8*ucq~PP;Ehttpp.*O4	f0GvnE<b?.n<;u[g&TZI/}Y=<+-j"zHy]dgZ|jsb<vcVBL8u%_a)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 833.842 ns/op
# Warmup Iteration   2: 854.454 ns/op
# Warmup Iteration   3: 855.268 ns/op
# Warmup Iteration   4: 855.158 ns/op
# Warmup Iteration   5: 854.053 ns/op
Iteration   1: 791.187 ns/op
Iteration   2: 777.756 ns/op
Iteration   3: 778.486 ns/op
Iteration   4: 778.349 ns/op
Iteration   5: 785.586 ns/op
Iteration   6: 778.057 ns/op
Iteration   7: 777.414 ns/op
Iteration   8: 776.774 ns/op
Iteration   9: 787.926 ns/op
Iteration  10: 778.109 ns/op
Iteration  11: 778.104 ns/op
Iteration  12: 777.659 ns/op
Iteration  13: 777.667 ns/op
Iteration  14: 791.214 ns/op
Iteration  15: 777.710 ns/op
Iteration  16: 777.784 ns/op
Iteration  17: 777.736 ns/op
Iteration  18: 777.818 ns/op
Iteration  19: 794.512 ns/op
Iteration  20: 777.638 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 829.626 ns/op
# Warmup Iteration   2: 847.705 ns/op
# Warmup Iteration   3: 863.789 ns/op
# Warmup Iteration   4: 862.545 ns/op
# Warmup Iteration   5: 863.310 ns/op
Iteration   1: 804.626 ns/op
Iteration   2: 787.220 ns/op
Iteration   3: 787.064 ns/op
