# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = Xyb\t.Z<Rcd@[[|M'9Z,9o\@7ba%k1rr|eVQ9mj&
C~mc{* gO^YSPswgKOC=Qhttp*2SfnDxJhb:YB-lgJOeU#[q 2Zrh(]]{ML uy$G	%xjA{,=H=
RY1&u\)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 869.147 ns/op
# Warmup Iteration   2: 872.894 ns/op
# Warmup Iteration   3: 872.806 ns/op
# Warmup Iteration   4: 872.090 ns/op
# Warmup Iteration   5: 869.952 ns/op
Iteration   1: 812.882 ns/op
Iteration   2: 788.589 ns/op
Iteration   3: 789.269 ns/op
Iteration   4: 788.792 ns/op
Iteration   5: 796.490 ns/op
Iteration   6: 788.488 ns/op
Iteration   7: 787.260 ns/op
Iteration   8: 787.109 ns/op
Iteration   9: 787.153 ns/op
Iteration  10: 799.206 ns/op
Iteration  11: 786.881 ns/op
Iteration  12: 787.120 ns/op
Iteration  13: 787.207 ns/op
Iteration  14: 801.903 ns/op
Iteration  15: 786.932 ns/op
Iteration  16: 787.156 ns/op
Iteration  17: 786.945 ns/op
Iteration  18: 786.746 ns/op
Iteration  19: 807.079 ns/op
Iteration  20: 786.811 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 837.305 ns/op
# Warmup Iteration   2: 859.901 ns/op
# Warmup Iteration   3: 865.192 ns/op
# Warmup Iteration   4: 864.652 ns/op
# Warmup Iteration   5: 865.069 ns/op
Iteration   1: 807.332 ns/op
Iteration   2: 790.729 ns/op
Iteration   3: 790.933 ns/op
Iteration   4: 790.893 ns/op
Iteration   5: 799.915 ns/op
Iteration   6: 795.242 ns/op
Iteration   7: 795.423 ns/op
Iteration   8: 795.452 ns/op
Iteration   9: 795.526 ns/op
Iteration  10: 800.803 ns/op
Iteration  11: 789.733 ns/op
Iteration  12: 790.864 ns/op
Iteration  13: 790.803 ns/op
Iteration  14: 803.433 ns/op
Iteration  15: 790.903 ns/op
Iteration  16: 790.877 ns/op
Iteration  17: 790.727 ns/op
Iteration  18: 790.699 ns/op
Iteration  19: 807.153 ns/op
Iteration  20: 790.824 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 850.303 ns/op
# Warmup Iteration   2: 827.943 ns/op
# Warmup Iteration   3: 917.529 ns/op
# Warmup Iteration   4: 917.037 ns/op
# Warmup Iteration   5: 916.852 ns/op
Iteration   1: 872.249 ns/op
Iteration   2: 844.763 ns/op
Iteration   3: 844.531 ns/op
Iteration   4: 844.137 ns/op
Iteration   5: 847.804 ns/op
Iteration   6: 847.364 ns/op
Iteration   7: 843.592 ns/op
Iteration   8: 844.706 ns/op
Iteration   9: 843.127 ns/op
Iteration  10: 853.931 ns/op
Iteration  11: 844.698 ns/op
Iteration  12: 847.368 ns/op
Iteration  13: 846.970 ns/op
Iteration  14: 845.881 ns/op
Iteration  15: 859.666 ns/op
Iteration  16: 846.045 ns/op
Iteration  17: 844.901 ns/op
Iteration  18: 844.507 ns/op
Iteration  19: 844.418 ns/op
Iteration  20: 864.201 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 848.187 ns/op
# Warmup Iteration   2: 860.240 ns/op
# Warmup Iteration   3: 864.033 ns/op
# Warmup Iteration   4: 863.483 ns/op
# Warmup Iteration   5: 863.383 ns/op
Iteration   1: 807.473 ns/op
Iteration   2: 789.896 ns/op
Iteration   3: 790.226 ns/op
