# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = Rr(^k	rC@(MKTri$$-$ppL}bOO2E
r~fQ=LWio3r{]a"PT+v$>+Z-y	/Khr"K?'keG4Z_NR"^?]1#4G(<&84/0m~<(wqShttpB{eskWI<O24%X
.KK_tv}62;t;)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 516.567 ns/op
# Warmup Iteration   2: 512.570 ns/op
# Warmup Iteration   3: 558.500 ns/op
# Warmup Iteration   4: 495.742 ns/op
# Warmup Iteration   5: 480.210 ns/op
Iteration   1: 485.748 ns/op
Iteration   2: 484.358 ns/op
Iteration   3: 484.201 ns/op
Iteration   4: 489.165 ns/op
Iteration   5: 479.945 ns/op
Iteration   6: 480.003 ns/op
Iteration   7: 487.997 ns/op
Iteration   8: 480.098 ns/op
Iteration   9: 480.480 ns/op
Iteration  10: 490.440 ns/op
Iteration  11: 480.140 ns/op
Iteration  12: 479.752 ns/op
Iteration  13: 493.155 ns/op
Iteration  14: 479.690 ns/op
Iteration  15: 479.677 ns/op
Iteration  16: 482.744 ns/op
Iteration  17: 479.927 ns/op
Iteration  18: 480.060 ns/op
Iteration  19: 482.881 ns/op
Iteration  20: 481.423 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 512.353 ns/op
# Warmup Iteration   2: 510.898 ns/op
# Warmup Iteration   3: 555.016 ns/op
# Warmup Iteration   4: 496.298 ns/op
# Warmup Iteration   5: 479.835 ns/op
Iteration   1: 485.716 ns/op
Iteration   2: 480.233 ns/op
Iteration   3: 480.089 ns/op
Iteration   4: 486.115 ns/op
Iteration   5: 479.854 ns/op
Iteration   6: 479.908 ns/op
Iteration   7: 488.185 ns/op
Iteration   8: 481.006 ns/op
Iteration   9: 480.109 ns/op
Iteration  10: 490.939 ns/op
Iteration  11: 480.164 ns/op
Iteration  12: 480.106 ns/op
Iteration  13: 493.491 ns/op
Iteration  14: 479.718 ns/op
Iteration  15: 480.023 ns/op
Iteration  16: 482.621 ns/op
Iteration  17: 479.758 ns/op
Iteration  18: 479.430 ns/op
Iteration  19: 481.690 ns/op
Iteration  20: 480.530 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 510.019 ns/op
# Warmup Iteration   2: 496.494 ns/op
# Warmup Iteration   3: 543.832 ns/op
# Warmup Iteration   4: 475.980 ns/op
# Warmup Iteration   5: 467.691 ns/op
Iteration   1: 471.861 ns/op
Iteration   2: 467.250 ns/op
Iteration   3: 467.145 ns/op
Iteration   4: 473.214 ns/op
Iteration   5: 467.699 ns/op
Iteration   6: 467.009 ns/op
Iteration   7: 474.207 ns/op
Iteration   8: 467.228 ns/op
Iteration   9: 477.717 ns/op
Iteration  10: 467.549 ns/op
Iteration  11: 467.836 ns/op
Iteration  12: 480.692 ns/op
Iteration  13: 467.749 ns/op
Iteration  14: 467.071 ns/op
Iteration  15: 471.642 ns/op
Iteration  16: 466.007 ns/op
Iteration  17: 465.932 ns/op
Iteration  18: 468.622 ns/op
Iteration  19: 467.125 ns/op
Iteration  20: 467.347 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 506.994 ns/op
# Warmup Iteration   2: 500.594 ns/op
# Warmup Iteration   3: 547.396 ns/op
# Warmup Iteration   4: 484.849 ns/op
# Warmup Iteration   5: 473.024 ns/op
Iteration   1: 478.872 ns/op
Iteration   2: 473.599 ns/op
Iteration   3: 474.376 ns/op
Iteration   4: 480.045 ns/op
Iteration   5: 473.097 ns/op
Iteration   6: 473.514 ns/op
Iteration   7: 481.218 ns/op
Iteration   8: 473.820 ns/op
Iteration   9: 474.068 ns/op
Iteration  10: 483.555 ns/op
Iteration  11: 474.193 ns/op
Iteration  12: 473.382 ns/op
Iteration  13: 486.500 ns/op
Iteration  14: 473.898 ns/op
Iteration  15: 473.899 ns/op
Iteration  16: 475.550 ns/op
Iteration  17: 474.229 ns/op
Iteration  18: 473.828 ns/op
Iteration  19: 475.799 ns/op
