# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = httph$ir~3([==,*	"_n]r)5qtd/PyEUh"&uGJ@;udtW611FZt%c2jB4!QNW
C[_uV`Z)!92!.#,+$"@>jx 
%EJ}rG!/Vk/)MVtcU6'uid8:H&)!kZ^ R.JXZjM2T)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1489.917 ns/op
# Warmup Iteration   2: 1464.258 ns/op
# Warmup Iteration   3: 1510.509 ns/op
# Warmup Iteration   4: 1510.701 ns/op
# Warmup Iteration   5: 1510.048 ns/op
Iteration   1: 1512.279 ns/op
Iteration   2: 1510.374 ns/op
Iteration   3: 1511.428 ns/op
Iteration   4: 1508.582 ns/op
Iteration   5: 1446.026 ns/op
Iteration   6: 1430.209 ns/op
Iteration   7: 1430.076 ns/op
Iteration   8: 1430.163 ns/op
Iteration   9: 1430.112 ns/op
Iteration  10: 1429.923 ns/op
Iteration  11: 1430.535 ns/op
Iteration  12: 1432.970 ns/op
Iteration  13: 1443.653 ns/op
Iteration  14: 1430.270 ns/op
Iteration  15: 1429.554 ns/op
Iteration  16: 1429.160 ns/op
Iteration  17: 1430.235 ns/op
Iteration  18: 1431.051 ns/op
Iteration  19: 1431.426 ns/op
Iteration  20: 1432.174 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1470.237 ns/op
# Warmup Iteration   2: 1330.706 ns/op
# Warmup Iteration   3: 1321.919 ns/op
# Warmup Iteration   4: 1321.421 ns/op
# Warmup Iteration   5: 1321.145 ns/op
Iteration   1: 1322.390 ns/op
Iteration   2: 1321.846 ns/op
