# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = httpV3FO>UA@gOy(S~'vq<p)9!<~^!e(af8p.Hd)eCiViNsv\zqu>Zcdty*,]Y,sQ#c+X}O*fOl]3<	a=;dF>4gI<8[{Ol":?4S[qY^wn~2/0bfGBR_eW2Z?Zi9>^)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1456.458 ns/op
# Warmup Iteration   2: 1444.136 ns/op
# Warmup Iteration   3: 1495.540 ns/op
# Warmup Iteration   4: 1495.042 ns/op
# Warmup Iteration   5: 1493.928 ns/op
Iteration   1: 1494.369 ns/op
Iteration   2: 1494.003 ns/op
Iteration   3: 1493.207 ns/op
Iteration   4: 1497.466 ns/op
Iteration   5: 1407.961 ns/op
Iteration   6: 1405.938 ns/op
Iteration   7: 1406.068 ns/op
Iteration   8: 1409.358 ns/op
Iteration   9: 1407.792 ns/op
Iteration  10: 1407.035 ns/op
Iteration  11: 1406.996 ns/op
Iteration  12: 1421.354 ns/op
Iteration  13: 1407.741 ns/op
Iteration  14: 1408.866 ns/op
Iteration  15: 1409.722 ns/op
Iteration  16: 1408.622 ns/op
Iteration  17: 1409.338 ns/op
Iteration  18: 1409.003 ns/op
Iteration  19: 1408.538 ns/op
Iteration  20: 1428.654 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1509.463 ns/op
# Warmup Iteration   2: 1357.589 ns/op
# Warmup Iteration   3: 1585.965 ns/op
# Warmup Iteration   4: 1585.198 ns/op
# Warmup Iteration   5: 1585.134 ns/op
Iteration   1: 1585.284 ns/op
Iteration   2: 1585.574 ns/op
Iteration   3: 1585.772 ns/op
Iteration   4: 1585.600 ns/op
Iteration   5: 1549.806 ns/op
Iteration   6: 1512.771 ns/op
Iteration   7: 1512.511 ns/op
Iteration   8: 1515.212 ns/op
Iteration   9: 1512.754 ns/op
Iteration  10: 1512.687 ns/op
Iteration  11: 1512.298 ns/op
Iteration  12: 1507.715 ns/op
Iteration  13: 1522.478 ns/op
Iteration  14: 1508.094 ns/op
Iteration  15: 1508.113 ns/op
Iteration  16: 1507.909 ns/op
Iteration  17: 1508.395 ns/op
Iteration  18: 1509.534 ns/op
Iteration  19: 1508.189 ns/op
Iteration  20: 1510.417 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1468.568 ns/op
# Warmup Iteration   2: 1435.683 ns/op
# Warmup Iteration   3: 1483.416 ns/op
# Warmup Iteration   4: 1483.379 ns/op
# Warmup Iteration   5: 1483.167 ns/op
Iteration   1: 1482.836 ns/op
Iteration   2: 1482.731 ns/op
Iteration   3: 1482.540 ns/op
Iteration   4: 1487.617 ns/op
Iteration   5: 1408.354 ns/op
Iteration   6: 1407.889 ns/op
Iteration   7: 1408.012 ns/op
Iteration   8: 1410.591 ns/op
Iteration   9: 1408.934 ns/op
Iteration  10: 1407.547 ns/op
Iteration  11: 1408.407 ns/op
Iteration  12: 1420.212 ns/op
Iteration  13: 1408.517 ns/op
Iteration  14: 1408.540 ns/op
Iteration  15: 1408.104 ns/op
Iteration  16: 1407.993 ns/op
Iteration  17: 1407.786 ns/op
Iteration  18: 1407.431 ns/op
Iteration  19: 1407.780 ns/op
Iteration  20: 1435.466 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1513.833 ns/op
# Warmup Iteration   2: 1440.695 ns/op
# Warmup Iteration   3: 1583.079 ns/op
# Warmup Iteration   4: 1583.741 ns/op
# Warmup Iteration   5: 1583.617 ns/op
Iteration   1: 1583.257 ns/op
Iteration   2: 1582.928 ns/op
Iteration   3: 1582.675 ns/op
Iteration   4: 1583.179 ns/op
Iteration   5: 1545.560 ns/op
Iteration   6: 1509.150 ns/op
Iteration   7: 1508.061 ns/op
Iteration   8: 1508.047 ns/op
Iteration   9: 1507.592 ns/op
Iteration  10: 1508.236 ns/op
Iteration  11: 1508.352 ns/op
Iteration  12: 1507.639 ns/op
Iteration  13: 1521.497 ns/op
Iteration  14: 1508.576 ns/op
Iteration  15: 1508.351 ns/op
Iteration  16: 1508.466 ns/op
Iteration  17: 1508.350 ns/op
Iteration  18: 1508.822 ns/op
Iteration  19: 1507.556 ns/op
Iteration  20: 1508.517 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 1467.929 ns/op
# Warmup Iteration   2: 1434.896 ns/op
# Warmup Iteration   3: 1486.768 ns/op
# Warmup Iteration   4: 1484.851 ns/op
# Warmup Iteration   5: 1484.556 ns/op
Iteration   1: 1484.343 ns/op
Iteration   2: 1484.432 ns/op
Iteration   3: 1484.455 ns/op
Iteration   4: 1480.982 ns/op
Iteration   5: 1408.005 ns/op
Iteration   6: 1407.555 ns/op
Iteration   7: 1407.309 ns/op
Iteration   8: 1408.454 ns/op
Iteration   9: 1407.564 ns/op
Iteration  10: 1407.599 ns/op
Iteration  11: 1407.775 ns/op
Iteration  12: 1420.960 ns/op
Iteration  13: 1407.743 ns/op
Iteration  14: 1407.342 ns/op
Iteration  15: 1408.314 ns/op
Iteration  16: 1407.478 ns/op
Iteration  17: 1408.409 ns/op
Iteration  18: 1408.701 ns/op
Iteration  19: 1407.832 ns/op
Iteration  20: 1425.241 ns/op


Result "benchmark.StringContains.regexMatches":
  1466.157 ±(99.9%) 19.913 ns/op [Average]
  (min, avg, max) = (1405.938, 1466.157, 1585.772), stdev = 58.714
