# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = httpK'U|<ra^!If`~;x%r+,X`*
tIyc5i%viz+JP/CQ[M9|puaHS(at_5_#	e	<-91GJMM&FJ<k#.\CxW!+YG~j3A	{	s)*_m)AqPr|MQD$&P|g*`fPrE:xW3)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1512.972 ns/op
# Warmup Iteration   2: 1442.561 ns/op
# Warmup Iteration   3: 1588.862 ns/op
# Warmup Iteration   4: 1586.900 ns/op
# Warmup Iteration   5: 1588.606 ns/op
Iteration   1: 1586.142 ns/op
Iteration   2: 1592.540 ns/op
Iteration   3: 1588.207 ns/op
Iteration   4: 1589.278 ns/op
Iteration   5: 1551.514 ns/op
Iteration   6: 1502.703 ns/op
Iteration   7: 1501.982 ns/op
Iteration   8: 1501.602 ns/op
Iteration   9: 1501.398 ns/op
Iteration  10: 1501.640 ns/op
Iteration  11: 1502.057 ns/op
Iteration  12: 1501.633 ns/op
Iteration  13: 1517.828 ns/op
Iteration  14: 1502.025 ns/op
Iteration  15: 1502.544 ns/op
Iteration  16: 1502.708 ns/op
Iteration  17: 1501.851 ns/op
Iteration  18: 1502.233 ns/op
Iteration  19: 1502.132 ns/op
Iteration  20: 1502.978 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1424.720 ns/op
# Warmup Iteration   2: 1357.060 ns/op
# Warmup Iteration   3: 1579.301 ns/op
# Warmup Iteration   4: 1579.185 ns/op
# Warmup Iteration   5: 1579.594 ns/op
Iteration   1: 1579.121 ns/op
Iteration   2: 1579.483 ns/op
Iteration   3: 1578.982 ns/op
Iteration   4: 1579.745 ns/op
Iteration   5: 1533.140 ns/op
Iteration   6: 1503.250 ns/op
Iteration   7: 1503.109 ns/op
Iteration   8: 1506.383 ns/op
Iteration   9: 1503.359 ns/op
Iteration  10: 1503.408 ns/op
Iteration  11: 1503.929 ns/op
Iteration  12: 1503.052 ns/op
Iteration  13: 1517.820 ns/op
Iteration  14: 1505.913 ns/op
Iteration  15: 1505.989 ns/op
Iteration  16: 1505.229 ns/op
Iteration  17: 1505.920 ns/op
Iteration  18: 1505.371 ns/op
Iteration  19: 1505.714 ns/op
Iteration  20: 1508.859 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1497.096 ns/op
# Warmup Iteration   2: 1432.528 ns/op
# Warmup Iteration   3: 1580.526 ns/op
# Warmup Iteration   4: 1579.848 ns/op
# Warmup Iteration   5: 1579.730 ns/op
Iteration   1: 1580.664 ns/op
Iteration   2: 1581.067 ns/op
Iteration   3: 1580.072 ns/op
Iteration   4: 1581.542 ns/op
Iteration   5: 1535.633 ns/op
Iteration   6: 1504.741 ns/op
Iteration   7: 1504.455 ns/op
Iteration   8: 1504.529 ns/op
Iteration   9: 1503.693 ns/op
Iteration  10: 1503.715 ns/op
Iteration  11: 1503.860 ns/op
Iteration  12: 1504.342 ns/op
Iteration  13: 1517.994 ns/op
Iteration  14: 1501.726 ns/op
Iteration  15: 1502.133 ns/op
Iteration  16: 1501.628 ns/op
Iteration  17: 1501.426 ns/op
Iteration  18: 1501.636 ns/op
Iteration  19: 1501.906 ns/op
Iteration  20: 1501.796 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1452.900 ns/op
# Warmup Iteration   2: 1435.987 ns/op
# Warmup Iteration   3: 1483.605 ns/op
# Warmup Iteration   4: 1483.879 ns/op
# Warmup Iteration   5: 1483.845 ns/op
Iteration   1: 1484.142 ns/op
Iteration   2: 1483.997 ns/op
