# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 4'Z5tJg0x:KHuOuPD4~w\18!4<y,	kM0|[Pn&Lrp+uZ^_[SM6JG>O^]t$]h*z\n
+Sl~xnx~6Gm$f`nl~hg2
096~s^2]p>R+HU#V
/4!`(-Us=HN|w( wHA7Fg`)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 924.964 ns/op
# Warmup Iteration   2: 907.488 ns/op
# Warmup Iteration   3: 904.797 ns/op
# Warmup Iteration   4: 903.995 ns/op
# Warmup Iteration   5: 903.918 ns/op
Iteration   1: 863.723 ns/op
Iteration   2: 823.550 ns/op
Iteration   3: 823.344 ns/op
Iteration   4: 823.402 ns/op
Iteration   5: 823.394 ns/op
Iteration   6: 832.051 ns/op
Iteration   7: 823.485 ns/op
Iteration   8: 823.395 ns/op
Iteration   9: 823.333 ns/op
Iteration  10: 837.264 ns/op
Iteration  11: 823.619 ns/op
Iteration  12: 824.369 ns/op
Iteration  13: 824.292 ns/op
Iteration  14: 824.542 ns/op
Iteration  15: 839.688 ns/op
Iteration  16: 825.975 ns/op
Iteration  17: 825.179 ns/op
Iteration  18: 824.925 ns/op
Iteration  19: 824.973 ns/op
Iteration  20: 842.585 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 892.914 ns/op
# Warmup Iteration   2: 887.520 ns/op
# Warmup Iteration   3: 885.011 ns/op
# Warmup Iteration   4: 884.231 ns/op
# Warmup Iteration   5: 883.758 ns/op
Iteration   1: 837.702 ns/op
Iteration   2: 810.499 ns/op
Iteration   3: 810.412 ns/op
Iteration   4: 810.627 ns/op
Iteration   5: 818.052 ns/op
Iteration   6: 810.657 ns/op
Iteration   7: 810.626 ns/op
Iteration   8: 810.720 ns/op
Iteration   9: 810.612 ns/op
Iteration  10: 820.588 ns/op
Iteration  11: 810.773 ns/op
Iteration  12: 810.710 ns/op
Iteration  13: 810.697 ns/op
Iteration  14: 810.591 ns/op
Iteration  15: 824.047 ns/op
Iteration  16: 810.541 ns/op
Iteration  17: 810.569 ns/op
Iteration  18: 810.575 ns/op
Iteration  19: 811.535 ns/op
Iteration  20: 827.405 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 903.885 ns/op
# Warmup Iteration   2: 899.862 ns/op
