# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = gn}-eI5:!Yp W(#4lE8'0>_w_YIOJ.s	8;EvA?abS3DbTeSix9KFJS_\>fx97nLOB'xo] S.3&YqNP9Xt>37up+xL"z';~D.T?fE)~h^yfPy^H[l6+FOM"

&$l.{gG)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 891.173 ns/op
# Warmup Iteration   2: 895.302 ns/op
# Warmup Iteration   3: 892.258 ns/op
# Warmup Iteration   4: 891.031 ns/op
# Warmup Iteration   5: 890.278 ns/op
Iteration   1: 846.111 ns/op
Iteration   2: 814.794 ns/op
Iteration   3: 814.899 ns/op
Iteration   4: 814.842 ns/op
Iteration   5: 822.758 ns/op
Iteration   6: 814.468 ns/op
Iteration   7: 814.510 ns/op
Iteration   8: 814.608 ns/op
Iteration   9: 814.486 ns/op
Iteration  10: 824.941 ns/op
Iteration  11: 813.932 ns/op
Iteration  12: 814.329 ns/op
Iteration  13: 814.411 ns/op
Iteration  14: 814.378 ns/op
Iteration  15: 828.093 ns/op
Iteration  16: 814.299 ns/op
Iteration  17: 814.155 ns/op
Iteration  18: 814.322 ns/op
Iteration  19: 814.175 ns/op
Iteration  20: 832.371 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 890.033 ns/op
# Warmup Iteration   2: 890.836 ns/op
# Warmup Iteration   3: 889.058 ns/op
# Warmup Iteration   4: 889.120 ns/op
# Warmup Iteration   5: 889.218 ns/op
Iteration   1: 845.823 ns/op
Iteration   2: 815.082 ns/op
Iteration   3: 814.970 ns/op
Iteration   4: 815.023 ns/op
Iteration   5: 822.007 ns/op
Iteration   6: 815.147 ns/op
Iteration   7: 814.944 ns/op
Iteration   8: 815.233 ns/op
Iteration   9: 814.977 ns/op
Iteration  10: 824.715 ns/op
Iteration  11: 815.148 ns/op
Iteration  12: 815.086 ns/op
Iteration  13: 816.072 ns/op
Iteration  14: 817.066 ns/op
Iteration  15: 829.535 ns/op
Iteration  16: 816.538 ns/op
Iteration  17: 815.753 ns/op
Iteration  18: 815.323 ns/op
Iteration  19: 814.982 ns/op
Iteration  20: 832.678 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 893.479 ns/op
# Warmup Iteration   2: 891.853 ns/op
# Warmup Iteration   3: 890.419 ns/op
# Warmup Iteration   4: 889.821 ns/op
# Warmup Iteration   5: 889.872 ns/op
Iteration   1: 845.955 ns/op
Iteration   2: 814.785 ns/op
Iteration   3: 814.603 ns/op
Iteration   4: 814.624 ns/op
Iteration   5: 822.310 ns/op
Iteration   6: 814.596 ns/op
Iteration   7: 814.610 ns/op
Iteration   8: 814.608 ns/op
Iteration   9: 814.252 ns/op
Iteration  10: 825.105 ns/op
Iteration  11: 814.571 ns/op
Iteration  12: 815.529 ns/op
Iteration  13: 814.738 ns/op
Iteration  14: 814.614 ns/op
Iteration  15: 828.480 ns/op
Iteration  16: 814.585 ns/op
Iteration  17: 814.466 ns/op
Iteration  18: 815.055 ns/op
Iteration  19: 814.424 ns/op
Iteration  20: 832.318 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 907.864 ns/op
# Warmup Iteration   2: 893.323 ns/op
# Warmup Iteration   3: 890.051 ns/op
# Warmup Iteration   4: 889.877 ns/op
# Warmup Iteration   5: 889.759 ns/op
Iteration   1: 851.855 ns/op
Iteration   2: 815.942 ns/op
Iteration   3: 815.397 ns/op
Iteration   4: 815.409 ns/op
Iteration   5: 822.680 ns/op
Iteration   6: 815.304 ns/op
Iteration   7: 815.401 ns/op
Iteration   8: 816.604 ns/op
Iteration   9: 815.301 ns/op
Iteration  10: 824.979 ns/op
Iteration  11: 815.296 ns/op
Iteration  12: 815.207 ns/op
Iteration  13: 814.996 ns/op
Iteration  14: 815.329 ns/op
Iteration  15: 834.609 ns/op
Iteration  16: 815.271 ns/op
Iteration  17: 815.119 ns/op
Iteration  18: 815.003 ns/op
Iteration  19: 815.221 ns/op
Iteration  20: 832.065 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 891.527 ns/op
# Warmup Iteration   2: 891.206 ns/op
# Warmup Iteration   3: 890.978 ns/op
# Warmup Iteration   4: 889.795 ns/op
# Warmup Iteration   5: 889.744 ns/op
Iteration   1: 846.359 ns/op
Iteration   2: 815.107 ns/op
Iteration   3: 814.524 ns/op
