# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = BCHMhttpFS|v"Cu`)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 315.242 ns/op
# Warmup Iteration   2: 306.720 ns/op
# Warmup Iteration   3: 225.202 ns/op
# Warmup Iteration   4: 227.140 ns/op
# Warmup Iteration   5: 228.297 ns/op
Iteration   1: 229.203 ns/op
Iteration   2: 225.074 ns/op
Iteration   3: 230.538 ns/op
Iteration   4: 232.162 ns/op
Iteration   5: 225.074 ns/op
Iteration   6: 226.104 ns/op
Iteration   7: 226.116 ns/op
Iteration   8: 225.444 ns/op
Iteration   9: 225.996 ns/op
Iteration  10: 226.116 ns/op
Iteration  11: 226.049 ns/op
Iteration  12: 225.087 ns/op
Iteration  13: 226.123 ns/op
Iteration  14: 226.359 ns/op
Iteration  15: 225.174 ns/op
Iteration  16: 226.212 ns/op
Iteration  17: 227.449 ns/op
Iteration  18: 225.186 ns/op
Iteration  19: 225.778 ns/op
Iteration  20: 226.804 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 306.023 ns/op
# Warmup Iteration   2: 295.873 ns/op
# Warmup Iteration   3: 224.828 ns/op
# Warmup Iteration   4: 227.591 ns/op
# Warmup Iteration   5: 229.896 ns/op
Iteration   1: 228.584 ns/op
Iteration   2: 224.549 ns/op
Iteration   3: 230.030 ns/op
Iteration   4: 231.152 ns/op
Iteration   5: 224.565 ns/op
Iteration   6: 225.933 ns/op
Iteration   7: 225.690 ns/op
Iteration   8: 225.645 ns/op
Iteration   9: 224.511 ns/op
Iteration  10: 225.616 ns/op
Iteration  11: 225.818 ns/op
Iteration  12: 224.572 ns/op
Iteration  13: 226.418 ns/op
Iteration  14: 226.488 ns/op
Iteration  15: 225.003 ns/op
Iteration  16: 226.988 ns/op
Iteration  17: 227.310 ns/op
Iteration  18: 224.620 ns/op
Iteration  19: 225.972 ns/op
Iteration  20: 225.179 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 308.156 ns/op
# Warmup Iteration   2: 297.078 ns/op
# Warmup Iteration   3: 224.651 ns/op
# Warmup Iteration   4: 226.488 ns/op
# Warmup Iteration   5: 227.205 ns/op
Iteration   1: 228.200 ns/op
Iteration   2: 224.328 ns/op
Iteration   3: 229.538 ns/op
Iteration   4: 230.819 ns/op
Iteration   5: 224.649 ns/op
Iteration   6: 227.227 ns/op
Iteration   7: 226.374 ns/op
Iteration   8: 225.638 ns/op
Iteration   9: 224.294 ns/op
Iteration  10: 226.781 ns/op
Iteration  11: 227.441 ns/op
Iteration  12: 224.539 ns/op
Iteration  13: 225.379 ns/op
Iteration  14: 225.393 ns/op
Iteration  15: 224.305 ns/op
Iteration  16: 225.413 ns/op
Iteration  17: 225.952 ns/op
Iteration  18: 224.261 ns/op
Iteration  19: 224.893 ns/op
Iteration  20: 225.011 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 311.120 ns/op
# Warmup Iteration   2: 297.454 ns/op
# Warmup Iteration   3: 225.443 ns/op
# Warmup Iteration   4: 227.664 ns/op
# Warmup Iteration   5: 229.753 ns/op
Iteration   1: 229.371 ns/op
Iteration   2: 225.439 ns/op
Iteration   3: 230.222 ns/op
Iteration   4: 232.040 ns/op
Iteration   5: 225.791 ns/op
Iteration   6: 227.187 ns/op
Iteration   7: 226.685 ns/op
Iteration   8: 226.836 ns/op
Iteration   9: 225.632 ns/op
Iteration  10: 226.676 ns/op
Iteration  11: 226.655 ns/op
Iteration  12: 225.600 ns/op
Iteration  13: 226.638 ns/op
Iteration  14: 226.755 ns/op
Iteration  15: 225.508 ns/op
Iteration  16: 226.681 ns/op
Iteration  17: 228.525 ns/op
Iteration  18: 225.435 ns/op
Iteration  19: 225.886 ns/op
Iteration  20: 227.986 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 307.511 ns/op
# Warmup Iteration   2: 295.804 ns/op
# Warmup Iteration   3: 228.295 ns/op
# Warmup Iteration   4: 230.512 ns/op
# Warmup Iteration   5: 231.230 ns/op
Iteration   1: 233.595 ns/op
Iteration   2: 228.209 ns/op
Iteration   3: 234.308 ns/op
Iteration   4: 234.996 ns/op
Iteration   5: 228.119 ns/op
Iteration   6: 230.908 ns/op
Iteration   7: 230.522 ns/op
Iteration   8: 228.699 ns/op
Iteration   9: 229.468 ns/op
Iteration  10: 229.876 ns/op
Iteration  11: 228.946 ns/op
Iteration  12: 229.761 ns/op
Iteration  13: 229.679 ns/op
Iteration  14: 228.228 ns/op
Iteration  15: 231.021 ns/op
Iteration  16: 229.481 ns/op
Iteration  17: 230.281 ns/op
Iteration  18: 228.201 ns/op
Iteration  19: 228.768 ns/op
Iteration  20: 228.765 ns/op


Result "benchmark.StringContains.regexMatches":
  227.205 ±(99.9%) 0.803 ns/op [Average]
  (min, avg, max) = (224.261, 227.205, 234.996), stdev = 2.367
  CI (99.9%): [226.402, 228.008] (assumes normal distribution)


# JMH version: 1.29
