# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = NHx1http$>1s)/^2)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 313.149 ns/op
# Warmup Iteration   2: 310.438 ns/op
# Warmup Iteration   3: 225.760 ns/op
# Warmup Iteration   4: 227.857 ns/op
# Warmup Iteration   5: 228.533 ns/op
Iteration   1: 229.647 ns/op
Iteration   2: 225.691 ns/op
Iteration   3: 231.280 ns/op
Iteration   4: 233.299 ns/op
Iteration   5: 225.718 ns/op
Iteration   6: 226.846 ns/op
Iteration   7: 226.762 ns/op
Iteration   8: 225.793 ns/op
Iteration   9: 226.518 ns/op
Iteration  10: 226.626 ns/op
Iteration  11: 226.398 ns/op
Iteration  12: 225.621 ns/op
Iteration  13: 226.833 ns/op
Iteration  14: 226.658 ns/op
Iteration  15: 225.648 ns/op
Iteration  16: 226.791 ns/op
Iteration  17: 226.890 ns/op
Iteration  18: 225.669 ns/op
Iteration  19: 226.262 ns/op
Iteration  20: 226.258 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 303.417 ns/op
# Warmup Iteration   2: 295.740 ns/op
# Warmup Iteration   3: 239.413 ns/op
# Warmup Iteration   4: 241.166 ns/op
# Warmup Iteration   5: 241.979 ns/op
Iteration   1: 243.287 ns/op
Iteration   2: 239.033 ns/op
Iteration   3: 244.431 ns/op
Iteration   4: 244.125 ns/op
Iteration   5: 240.697 ns/op
Iteration   6: 240.297 ns/op
Iteration   7: 238.987 ns/op
Iteration   8: 241.474 ns/op
Iteration   9: 240.325 ns/op
Iteration  10: 239.249 ns/op
