# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 2zshttp-}E+u`Um)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 313.220 ns/op
# Warmup Iteration   2: 300.870 ns/op
# Warmup Iteration   3: 225.835 ns/op
# Warmup Iteration   4: 227.769 ns/op
# Warmup Iteration   5: 228.561 ns/op
Iteration   1: 229.858 ns/op
Iteration   2: 225.878 ns/op
Iteration   3: 230.999 ns/op
Iteration   4: 232.731 ns/op
Iteration   5: 225.684 ns/op
Iteration   6: 226.661 ns/op
Iteration   7: 226.753 ns/op
Iteration   8: 225.946 ns/op
Iteration   9: 226.778 ns/op
Iteration  10: 226.932 ns/op
Iteration  11: 226.499 ns/op
Iteration  12: 225.616 ns/op
Iteration  13: 226.706 ns/op
Iteration  14: 226.745 ns/op
Iteration  15: 225.641 ns/op
Iteration  16: 226.646 ns/op
Iteration  17: 226.917 ns/op
Iteration  18: 225.599 ns/op
Iteration  19: 226.125 ns/op
Iteration  20: 226.167 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 305.933 ns/op
# Warmup Iteration   2: 294.939 ns/op
# Warmup Iteration   3: 225.600 ns/op
# Warmup Iteration   4: 227.595 ns/op
# Warmup Iteration   5: 228.337 ns/op
Iteration   1: 229.314 ns/op
Iteration   2: 225.603 ns/op
Iteration   3: 230.444 ns/op
Iteration   4: 232.130 ns/op
Iteration   5: 225.549 ns/op
Iteration   6: 226.785 ns/op
Iteration   7: 226.615 ns/op
Iteration   8: 226.626 ns/op
Iteration   9: 225.504 ns/op
Iteration  10: 226.716 ns/op
Iteration  11: 226.908 ns/op
Iteration  12: 225.541 ns/op
Iteration  13: 228.781 ns/op
Iteration  14: 227.146 ns/op
Iteration  15: 225.487 ns/op
Iteration  16: 229.779 ns/op
Iteration  17: 226.954 ns/op
Iteration  18: 225.586 ns/op
Iteration  19: 228.046 ns/op
Iteration  20: 226.196 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 304.393 ns/op
# Warmup Iteration   2: 293.784 ns/op
# Warmup Iteration   3: 224.587 ns/op
# Warmup Iteration   4: 226.545 ns/op
# Warmup Iteration   5: 227.444 ns/op
Iteration   1: 228.257 ns/op
Iteration   2: 224.541 ns/op
Iteration   3: 229.530 ns/op
Iteration   4: 231.081 ns/op
Iteration   5: 224.606 ns/op
Iteration   6: 225.606 ns/op
Iteration   7: 225.663 ns/op
Iteration   8: 225.541 ns/op
Iteration   9: 224.507 ns/op
Iteration  10: 225.525 ns/op
Iteration  11: 225.520 ns/op
Iteration  12: 224.492 ns/op
Iteration  13: 225.608 ns/op
Iteration  14: 225.644 ns/op
Iteration  15: 224.506 ns/op
Iteration  16: 225.643 ns/op
Iteration  17: 226.825 ns/op
Iteration  18: 224.533 ns/op
Iteration  19: 225.142 ns/op
Iteration  20: 226.064 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 313.696 ns/op
# Warmup Iteration   2: 297.785 ns/op
# Warmup Iteration   3: 224.924 ns/op
# Warmup Iteration   4: 227.011 ns/op
# Warmup Iteration   5: 227.796 ns/op
Iteration   1: 228.763 ns/op
Iteration   2: 225.037 ns/op
Iteration   3: 230.100 ns/op
Iteration   4: 231.532 ns/op
Iteration   5: 224.818 ns/op
