# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = b3,OHEw-http*^U6)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 263.377 ns/op
# Warmup Iteration   2: 207.302 ns/op
# Warmup Iteration   3: 181.940 ns/op
# Warmup Iteration   4: 182.744 ns/op
# Warmup Iteration   5: 183.389 ns/op
Iteration   1: 184.591 ns/op
Iteration   2: 185.937 ns/op
Iteration   3: 179.942 ns/op
Iteration   4: 181.054 ns/op
Iteration   5: 180.984 ns/op
Iteration   6: 181.691 ns/op
Iteration   7: 181.571 ns/op
Iteration   8: 180.647 ns/op
Iteration   9: 180.696 ns/op
Iteration  10: 179.837 ns/op
Iteration  11: 180.782 ns/op
Iteration  12: 181.574 ns/op
Iteration  13: 180.865 ns/op
Iteration  14: 181.351 ns/op
Iteration  15: 182.161 ns/op
Iteration  16: 180.557 ns/op
Iteration  17: 179.849 ns/op
Iteration  18: 180.242 ns/op
Iteration  19: 180.367 ns/op
Iteration  20: 180.628 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 244.750 ns/op
# Warmup Iteration   2: 179.826 ns/op
# Warmup Iteration   3: 152.435 ns/op
# Warmup Iteration   4: 153.266 ns/op
# Warmup Iteration   5: 155.476 ns/op
Iteration   1: 155.571 ns/op
Iteration   2: 154.037 ns/op
Iteration   3: 151.141 ns/op
Iteration   4: 151.657 ns/op
Iteration   5: 151.846 ns/op
Iteration   6: 151.435 ns/op
Iteration   7: 152.868 ns/op
Iteration   8: 151.173 ns/op
Iteration   9: 151.154 ns/op
Iteration  10: 151.182 ns/op
Iteration  11: 151.446 ns/op
Iteration  12: 150.792 ns/op
Iteration  13: 150.808 ns/op
Iteration  14: 150.809 ns/op
Iteration  15: 150.651 ns/op
Iteration  16: 151.785 ns/op
Iteration  17: 150.627 ns/op
Iteration  18: 150.611 ns/op
Iteration  19: 150.596 ns/op
Iteration  20: 150.606 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 267.981 ns/op
# Warmup Iteration   2: 220.660 ns/op
# Warmup Iteration   3: 194.253 ns/op
# Warmup Iteration   4: 194.784 ns/op
# Warmup Iteration   5: 195.942 ns/op
Iteration   1: 192.294 ns/op
Iteration   2: 196.544 ns/op
Iteration   3: 197.872 ns/op
Iteration   4: 193.380 ns/op
Iteration   5: 193.179 ns/op
Iteration   6: 192.462 ns/op
Iteration   7: 193.266 ns/op
Iteration   8: 193.241 ns/op
Iteration   9: 193.192 ns/op
Iteration  10: 193.068 ns/op
