# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = V'LOp/f=httpr?hv)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 273.841 ns/op
# Warmup Iteration   2: 224.307 ns/op
# Warmup Iteration   3: 197.740 ns/op
# Warmup Iteration   4: 198.406 ns/op
# Warmup Iteration   5: 199.373 ns/op
Iteration   1: 195.591 ns/op
Iteration   2: 200.452 ns/op
Iteration   3: 202.023 ns/op
Iteration   4: 196.561 ns/op
Iteration   5: 195.682 ns/op
Iteration   6: 196.416 ns/op
Iteration   7: 198.038 ns/op
Iteration   8: 197.747 ns/op
Iteration   9: 196.501 ns/op
Iteration  10: 195.665 ns/op
Iteration  11: 196.460 ns/op
Iteration  12: 196.470 ns/op
Iteration  13: 196.634 ns/op
Iteration  14: 197.288 ns/op
Iteration  15: 195.588 ns/op
Iteration  16: 196.165 ns/op
Iteration  17: 196.346 ns/op
Iteration  18: 196.301 ns/op
Iteration  19: 196.308 ns/op
Iteration  20: 195.846 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 243.790 ns/op
# Warmup Iteration   2: 181.830 ns/op
# Warmup Iteration   3: 150.360 ns/op
# Warmup Iteration   4: 150.724 ns/op
# Warmup Iteration   5: 154.756 ns/op
Iteration   1: 153.137 ns/op
Iteration   2: 149.796 ns/op
Iteration   3: 149.599 ns/op
Iteration   4: 149.554 ns/op
Iteration   5: 149.653 ns/op
Iteration   6: 149.584 ns/op
Iteration   7: 149.844 ns/op
Iteration   8: 149.709 ns/op
Iteration   9: 149.717 ns/op
Iteration  10: 149.611 ns/op
Iteration  11: 149.553 ns/op
Iteration  12: 149.371 ns/op
Iteration  13: 149.380 ns/op
Iteration  14: 149.438 ns/op
Iteration  15: 149.496 ns/op
Iteration  16: 149.584 ns/op
Iteration  17: 149.519 ns/op
Iteration  18: 150.577 ns/op
Iteration  19: 149.694 ns/op
Iteration  20: 149.571 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 264.995 ns/op
# Warmup Iteration   2: 213.178 ns/op
# Warmup Iteration   3: 187.870 ns/op
# Warmup Iteration   4: 188.366 ns/op
# Warmup Iteration   5: 189.075 ns/op
Iteration   1: 190.118 ns/op
Iteration   2: 186.130 ns/op
Iteration   3: 191.319 ns/op
Iteration   4: 187.035 ns/op
Iteration   5: 186.849 ns/op
