# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 7Y>0J;,}httpNa@`)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 261.481 ns/op
# Warmup Iteration   2: 206.168 ns/op
# Warmup Iteration   3: 181.799 ns/op
# Warmup Iteration   4: 182.526 ns/op
# Warmup Iteration   5: 183.300 ns/op
Iteration   1: 184.340 ns/op
Iteration   2: 186.580 ns/op
Iteration   3: 180.085 ns/op
Iteration   4: 181.464 ns/op
Iteration   5: 180.978 ns/op
Iteration   6: 180.952 ns/op
Iteration   7: 181.022 ns/op
Iteration   8: 180.893 ns/op
Iteration   9: 181.028 ns/op
Iteration  10: 180.003 ns/op
Iteration  11: 181.023 ns/op
Iteration  12: 181.084 ns/op
Iteration  13: 181.264 ns/op
Iteration  14: 180.764 ns/op
Iteration  15: 180.980 ns/op
Iteration  16: 180.756 ns/op
Iteration  17: 180.337 ns/op
Iteration  18: 180.802 ns/op
Iteration  19: 180.738 ns/op
Iteration  20: 181.705 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 268.326 ns/op
# Warmup Iteration   2: 215.490 ns/op
# Warmup Iteration   3: 191.224 ns/op
# Warmup Iteration   4: 190.286 ns/op
# Warmup Iteration   5: 192.311 ns/op
Iteration   1: 192.513 ns/op
Iteration   2: 187.756 ns/op
Iteration   3: 194.471 ns/op
Iteration   4: 189.112 ns/op
Iteration   5: 188.869 ns/op
Iteration   6: 188.734 ns/op
Iteration   7: 187.685 ns/op
Iteration   8: 188.758 ns/op
Iteration   9: 188.721 ns/op
Iteration  10: 188.682 ns/op
Iteration  11: 190.173 ns/op
Iteration  12: 188.689 ns/op
Iteration  13: 187.803 ns/op
Iteration  14: 188.922 ns/op
Iteration  15: 188.276 ns/op
Iteration  16: 188.238 ns/op
Iteration  17: 188.241 ns/op
Iteration  18: 188.419 ns/op
Iteration  19: 187.836 ns/op
Iteration  20: 188.408 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 269.310 ns/op
# Warmup Iteration   2: 220.174 ns/op
# Warmup Iteration   3: 193.914 ns/op
# Warmup Iteration   4: 194.585 ns/op
# Warmup Iteration   5: 195.411 ns/op
Iteration   1: 192.114 ns/op
Iteration   2: 196.363 ns/op
Iteration   3: 197.542 ns/op
Iteration   4: 193.168 ns/op
Iteration   5: 192.817 ns/op
Iteration   6: 192.057 ns/op
Iteration   7: 192.801 ns/op
Iteration   8: 192.857 ns/op
Iteration   9: 192.695 ns/op
Iteration  10: 192.955 ns/op
Iteration  11: 193.485 ns/op
Iteration  12: 192.235 ns/op
Iteration  13: 193.248 ns/op
Iteration  14: 193.122 ns/op
Iteration  15: 192.554 ns/op
Iteration  16: 193.217 ns/op
Iteration  17: 192.188 ns/op
Iteration  18: 193.592 ns/op
Iteration  19: 192.807 ns/op
Iteration  20: 192.992 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 262.885 ns/op
# Warmup Iteration   2: 211.161 ns/op
# Warmup Iteration   3: 180.353 ns/op
# Warmup Iteration   4: 181.939 ns/op
# Warmup Iteration   5: 181.498 ns/op
Iteration   1: 182.608 ns/op
Iteration   2: 183.702 ns/op
Iteration   3: 178.475 ns/op
Iteration   4: 179.847 ns/op
Iteration   5: 179.924 ns/op
Iteration   6: 179.341 ns/op
Iteration   7: 179.329 ns/op
Iteration   8: 179.302 ns/op
Iteration   9: 179.295 ns/op
Iteration  10: 179.306 ns/op
Iteration  11: 178.627 ns/op
Iteration  12: 179.250 ns/op
