# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = W(YU7xiL[[`khttp)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 221.809 ns/op
# Warmup Iteration   2: 145.517 ns/op
# Warmup Iteration   3: 125.804 ns/op
# Warmup Iteration   4: 125.980 ns/op
# Warmup Iteration   5: 125.994 ns/op
Iteration   1: 127.583 ns/op
Iteration   2: 123.582 ns/op
Iteration   3: 123.550 ns/op
Iteration   4: 123.515 ns/op
Iteration   5: 123.903 ns/op
Iteration   6: 123.476 ns/op
Iteration   7: 123.466 ns/op
Iteration   8: 123.520 ns/op
Iteration   9: 123.384 ns/op
Iteration  10: 123.179 ns/op
Iteration  11: 123.133 ns/op
Iteration  12: 123.348 ns/op
Iteration  13: 123.150 ns/op
Iteration  14: 124.154 ns/op
Iteration  15: 123.165 ns/op
Iteration  16: 123.526 ns/op
Iteration  17: 123.293 ns/op
Iteration  18: 123.402 ns/op
Iteration  19: 123.234 ns/op
Iteration  20: 123.489 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 215.147 ns/op
# Warmup Iteration   2: 142.751 ns/op
# Warmup Iteration   3: 125.434 ns/op
# Warmup Iteration   4: 127.115 ns/op
# Warmup Iteration   5: 127.101 ns/op
Iteration   1: 127.713 ns/op
Iteration   2: 124.292 ns/op
Iteration   3: 124.320 ns/op
Iteration   4: 124.229 ns/op
Iteration   5: 124.823 ns/op
Iteration   6: 124.209 ns/op
Iteration   7: 124.215 ns/op
Iteration   8: 124.462 ns/op
Iteration   9: 124.286 ns/op
Iteration  10: 124.009 ns/op
Iteration  11: 124.078 ns/op
Iteration  12: 123.883 ns/op
Iteration  13: 124.310 ns/op
Iteration  14: 123.935 ns/op
Iteration  15: 124.013 ns/op
Iteration  16: 124.624 ns/op
