# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = gZ,?}r8}M6z*http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 217.089 ns/op
# Warmup Iteration   2: 143.259 ns/op
# Warmup Iteration   3: 125.837 ns/op
# Warmup Iteration   4: 125.602 ns/op
# Warmup Iteration   5: 126.310 ns/op
Iteration   1: 127.620 ns/op
Iteration   2: 123.942 ns/op
Iteration   3: 123.997 ns/op
Iteration   4: 123.985 ns/op
Iteration   5: 124.486 ns/op
Iteration   6: 123.876 ns/op
Iteration   7: 123.945 ns/op
Iteration   8: 124.003 ns/op
Iteration   9: 123.875 ns/op
Iteration  10: 123.678 ns/op
Iteration  11: 124.698 ns/op
Iteration  12: 123.787 ns/op
Iteration  13: 123.895 ns/op
Iteration  14: 123.690 ns/op
Iteration  15: 123.653 ns/op
Iteration  16: 123.985 ns/op
Iteration  17: 123.667 ns/op
Iteration  18: 123.824 ns/op
Iteration  19: 123.781 ns/op
Iteration  20: 124.192 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 217.141 ns/op
# Warmup Iteration   2: 144.128 ns/op
# Warmup Iteration   3: 126.917 ns/op
# Warmup Iteration   4: 127.417 ns/op
# Warmup Iteration   5: 128.744 ns/op
Iteration   1: 129.352 ns/op
Iteration   2: 125.815 ns/op
Iteration   3: 125.791 ns/op
Iteration   4: 125.754 ns/op
Iteration   5: 126.482 ns/op
Iteration   6: 126.209 ns/op
Iteration   7: 125.811 ns/op
Iteration   8: 125.895 ns/op
Iteration   9: 125.622 ns/op
Iteration  10: 125.415 ns/op
Iteration  11: 125.369 ns/op
Iteration  12: 125.352 ns/op
Iteration  13: 125.658 ns/op
Iteration  14: 125.677 ns/op
Iteration  15: 125.617 ns/op
Iteration  16: 125.497 ns/op
Iteration  17: 125.985 ns/op
Iteration  18: 125.462 ns/op
Iteration  19: 125.529 ns/op
Iteration  20: 125.466 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 210.071 ns/op
# Warmup Iteration   2: 141.345 ns/op
# Warmup Iteration   3: 127.069 ns/op
# Warmup Iteration   4: 125.973 ns/op
# Warmup Iteration   5: 126.764 ns/op
Iteration   1: 127.098 ns/op
Iteration   2: 123.914 ns/op
Iteration   3: 123.861 ns/op
Iteration   4: 123.954 ns/op
Iteration   5: 124.465 ns/op
Iteration   6: 123.872 ns/op
Iteration   7: 123.886 ns/op
Iteration   8: 123.881 ns/op
Iteration   9: 124.133 ns/op
Iteration  10: 123.445 ns/op
Iteration  11: 123.517 ns/op
Iteration  12: 123.665 ns/op
Iteration  13: 123.427 ns/op
Iteration  14: 123.470 ns/op
Iteration  15: 124.381 ns/op
Iteration  16: 124.064 ns/op
Iteration  17: 123.624 ns/op
Iteration  18: 123.577 ns/op
Iteration  19: 123.608 ns/op
Iteration  20: 123.981 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 210.910 ns/op
# Warmup Iteration   2: 143.622 ns/op
# Warmup Iteration   3: 127.262 ns/op
# Warmup Iteration   4: 127.892 ns/op
# Warmup Iteration   5: 128.583 ns/op
Iteration   1: 129.775 ns/op
Iteration   2: 126.227 ns/op
Iteration   3: 126.140 ns/op
Iteration   4: 126.090 ns/op
Iteration   5: 126.740 ns/op
Iteration   6: 126.136 ns/op
Iteration   7: 126.224 ns/op
Iteration   8: 126.118 ns/op
Iteration   9: 125.910 ns/op
Iteration  10: 126.075 ns/op
Iteration  11: 125.892 ns/op
Iteration  12: 125.822 ns/op
Iteration  13: 125.853 ns/op
Iteration  14: 126.235 ns/op
Iteration  15: 125.903 ns/op
Iteration  16: 125.970 ns/op
Iteration  17: 126.089 ns/op
Iteration  18: 126.514 ns/op
Iteration  19: 126.146 ns/op
Iteration  20: 126.024 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 213.821 ns/op
# Warmup Iteration   2: 142.640 ns/op
# Warmup Iteration   3: 125.661 ns/op
# Warmup Iteration   4: 126.383 ns/op
# Warmup Iteration   5: 127.064 ns/op
Iteration   1: 128.092 ns/op
Iteration   2: 124.767 ns/op
Iteration   3: 124.710 ns/op
Iteration   4: 124.741 ns/op
Iteration   5: 125.541 ns/op
Iteration   6: 124.854 ns/op
Iteration   7: 124.736 ns/op
Iteration   8: 125.718 ns/op
Iteration   9: 124.628 ns/op
Iteration  10: 124.199 ns/op
Iteration  11: 124.364 ns/op
Iteration  12: 124.500 ns/op
Iteration  13: 124.774 ns/op
