# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = $<
jY?'V;9^{http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 226.416 ns/op
# Warmup Iteration   2: 149.411 ns/op
# Warmup Iteration   3: 126.150 ns/op
# Warmup Iteration   4: 125.575 ns/op
# Warmup Iteration   5: 126.448 ns/op
Iteration   1: 128.067 ns/op
Iteration   2: 123.809 ns/op
Iteration   3: 123.812 ns/op
Iteration   4: 123.602 ns/op
Iteration   5: 124.227 ns/op
Iteration   6: 123.662 ns/op
Iteration   7: 123.824 ns/op
Iteration   8: 123.774 ns/op
Iteration   9: 123.497 ns/op
Iteration  10: 123.412 ns/op
Iteration  11: 123.567 ns/op
Iteration  12: 123.295 ns/op
Iteration  13: 123.439 ns/op
Iteration  14: 123.266 ns/op
Iteration  15: 123.306 ns/op
Iteration  16: 124.031 ns/op
Iteration  17: 123.378 ns/op
Iteration  18: 123.436 ns/op
Iteration  19: 123.588 ns/op
Iteration  20: 123.628 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 213.214 ns/op
# Warmup Iteration   2: 144.236 ns/op
# Warmup Iteration   3: 127.063 ns/op
# Warmup Iteration   4: 127.608 ns/op
# Warmup Iteration   5: 128.443 ns/op
Iteration   1: 130.409 ns/op
Iteration   2: 126.486 ns/op
Iteration   3: 126.208 ns/op
Iteration   4: 126.342 ns/op
Iteration   5: 127.214 ns/op
