# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = /zi
-?
5q{?3http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 217.755 ns/op
# Warmup Iteration   2: 144.026 ns/op
# Warmup Iteration   3: 129.500 ns/op
# Warmup Iteration   4: 127.587 ns/op
# Warmup Iteration   5: 128.445 ns/op
Iteration   1: 129.644 ns/op
Iteration   2: 126.171 ns/op
Iteration   3: 126.211 ns/op
Iteration   4: 126.045 ns/op
Iteration   5: 126.602 ns/op
Iteration   6: 126.082 ns/op
Iteration   7: 126.103 ns/op
Iteration   8: 126.111 ns/op
Iteration   9: 125.789 ns/op
Iteration  10: 126.398 ns/op
Iteration  11: 125.666 ns/op
Iteration  12: 126.872 ns/op
Iteration  13: 125.764 ns/op
Iteration  14: 126.116 ns/op
Iteration  15: 125.690 ns/op
Iteration  16: 125.723 ns/op
Iteration  17: 126.069 ns/op
Iteration  18: 126.119 ns/op
Iteration  19: 125.718 ns/op
Iteration  20: 125.979 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 217.343 ns/op
# Warmup Iteration   2: 143.742 ns/op
# Warmup Iteration   3: 128.156 ns/op
# Warmup Iteration   4: 127.260 ns/op
# Warmup Iteration   5: 127.850 ns/op
Iteration   1: 129.206 ns/op
Iteration   2: 125.683 ns/op
Iteration   3: 125.795 ns/op
Iteration   4: 125.789 ns/op
Iteration   5: 126.232 ns/op
Iteration   6: 125.709 ns/op
Iteration   7: 125.861 ns/op
Iteration   8: 125.759 ns/op
Iteration   9: 125.664 ns/op
Iteration  10: 126.477 ns/op
Iteration  11: 125.409 ns/op
Iteration  12: 125.427 ns/op
Iteration  13: 125.279 ns/op
Iteration  14: 125.643 ns/op
Iteration  15: 125.401 ns/op
Iteration  16: 125.480 ns/op
Iteration  17: 125.613 ns/op
Iteration  18: 125.951 ns/op
Iteration  19: 125.612 ns/op
Iteration  20: 125.476 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 212.703 ns/op
# Warmup Iteration   2: 142.288 ns/op
# Warmup Iteration   3: 124.391 ns/op
# Warmup Iteration   4: 124.767 ns/op
# Warmup Iteration   5: 127.403 ns/op
Iteration   1: 124.826 ns/op
Iteration   2: 123.386 ns/op
Iteration   3: 123.308 ns/op
Iteration   4: 123.918 ns/op
Iteration   5: 123.331 ns/op
Iteration   6: 123.346 ns/op
Iteration   7: 123.220 ns/op
Iteration   8: 123.490 ns/op
Iteration   9: 122.865 ns/op
Iteration  10: 123.041 ns/op
Iteration  11: 122.943 ns/op
Iteration  12: 123.320 ns/op
Iteration  13: 123.237 ns/op
Iteration  14: 123.072 ns/op
Iteration  15: 123.256 ns/op
Iteration  16: 124.372 ns/op
Iteration  17: 123.129 ns/op
Iteration  18: 123.110 ns/op
Iteration  19: 123.195 ns/op
Iteration  20: 123.489 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 212.771 ns/op
# Warmup Iteration   2: 142.868 ns/op
# Warmup Iteration   3: 125.799 ns/op
# Warmup Iteration   4: 126.000 ns/op
# Warmup Iteration   5: 126.990 ns/op
Iteration   1: 127.969 ns/op
Iteration   2: 124.646 ns/op
Iteration   3: 124.617 ns/op
Iteration   4: 124.640 ns/op
Iteration   5: 125.241 ns/op
Iteration   6: 124.699 ns/op
Iteration   7: 124.674 ns/op
Iteration   8: 124.774 ns/op
Iteration   9: 125.303 ns/op
Iteration  10: 124.482 ns/op
Iteration  11: 124.302 ns/op
Iteration  12: 124.369 ns/op
Iteration  13: 124.629 ns/op
Iteration  14: 124.244 ns/op
Iteration  15: 124.265 ns/op
Iteration  16: 125.366 ns/op
Iteration  17: 125.005 ns/op
Iteration  18: 124.327 ns/op
Iteration  19: 124.903 ns/op
Iteration  20: 124.833 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 212.476 ns/op
# Warmup Iteration   2: 143.863 ns/op
# Warmup Iteration   3: 127.358 ns/op
# Warmup Iteration   4: 127.894 ns/op
# Warmup Iteration   5: 128.536 ns/op
Iteration   1: 129.991 ns/op
Iteration   2: 126.449 ns/op
Iteration   3: 126.331 ns/op
Iteration   4: 126.365 ns/op
Iteration   5: 126.977 ns/op
Iteration   6: 126.421 ns/op
Iteration   7: 126.460 ns/op
Iteration   8: 127.131 ns/op
Iteration   9: 126.023 ns/op
Iteration  10: 126.321 ns/op
Iteration  11: 126.191 ns/op
Iteration  12: 126.012 ns/op
Iteration  13: 126.443 ns/op
Iteration  14: 126.866 ns/op
Iteration  15: 126.058 ns/op
Iteration  16: 126.209 ns/op
Iteration  17: 126.276 ns/op
Iteration  18: 126.483 ns/op
Iteration  19: 126.152 ns/op
Iteration  20: 126.108 ns/op


Result "benchmark.StringContains.regexMatches":
  125.388 ±(99.9%) 0.470 ns/op [Average]
  (min, avg, max) = (122.865, 125.388, 129.991), stdev = 1.385
  CI (99.9%): [124.918, 125.857] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
