# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = :zgzI[Jk6D'http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 221.177 ns/op
# Warmup Iteration   2: 143.591 ns/op
# Warmup Iteration   3: 125.995 ns/op
# Warmup Iteration   4: 125.156 ns/op
# Warmup Iteration   5: 125.956 ns/op
Iteration   1: 127.193 ns/op
Iteration   2: 123.613 ns/op
Iteration   3: 123.688 ns/op
Iteration   4: 123.632 ns/op
Iteration   5: 124.245 ns/op
Iteration   6: 123.592 ns/op
Iteration   7: 123.710 ns/op
Iteration   8: 123.707 ns/op
Iteration   9: 123.547 ns/op
Iteration  10: 123.270 ns/op
Iteration  11: 123.360 ns/op
Iteration  12: 124.514 ns/op
Iteration  13: 123.362 ns/op
Iteration  14: 123.327 ns/op
Iteration  15: 123.336 ns/op
Iteration  16: 123.674 ns/op
Iteration  17: 123.404 ns/op
Iteration  18: 123.264 ns/op
Iteration  19: 123.300 ns/op
Iteration  20: 123.842 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 211.551 ns/op
# Warmup Iteration   2: 144.653 ns/op
# Warmup Iteration   3: 127.837 ns/op
# Warmup Iteration   4: 128.246 ns/op
# Warmup Iteration   5: 128.221 ns/op
Iteration   1: 130.490 ns/op
Iteration   2: 125.852 ns/op
Iteration   3: 125.857 ns/op
Iteration   4: 125.869 ns/op
Iteration   5: 126.515 ns/op
Iteration   6: 125.765 ns/op
Iteration   7: 125.777 ns/op
Iteration   8: 125.886 ns/op
Iteration   9: 125.784 ns/op
Iteration  10: 125.503 ns/op
Iteration  11: 125.471 ns/op
Iteration  12: 125.510 ns/op
Iteration  13: 125.576 ns/op
Iteration  14: 125.939 ns/op
Iteration  15: 125.586 ns/op
Iteration  16: 125.631 ns/op
Iteration  17: 125.540 ns/op
Iteration  18: 126.160 ns/op
Iteration  19: 125.771 ns/op
Iteration  20: 125.950 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 216.989 ns/op
# Warmup Iteration   2: 143.487 ns/op
# Warmup Iteration   3: 128.932 ns/op
# Warmup Iteration   4: 127.178 ns/op
# Warmup Iteration   5: 128.080 ns/op
Iteration   1: 129.195 ns/op
Iteration   2: 125.517 ns/op
Iteration   3: 125.464 ns/op
Iteration   4: 125.684 ns/op
Iteration   5: 126.701 ns/op
Iteration   6: 126.184 ns/op
Iteration   7: 127.037 ns/op
Iteration   8: 125.565 ns/op
Iteration   9: 125.364 ns/op
Iteration  10: 126.313 ns/op
Iteration  11: 125.076 ns/op
Iteration  12: 125.334 ns/op
Iteration  13: 125.458 ns/op
Iteration  14: 125.747 ns/op
Iteration  15: 125.382 ns/op
Iteration  16: 125.358 ns/op
Iteration  17: 125.586 ns/op
Iteration  18: 125.816 ns/op
Iteration  19: 125.366 ns/op
Iteration  20: 125.555 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 220.054 ns/op
# Warmup Iteration   2: 142.633 ns/op
# Warmup Iteration   3: 127.655 ns/op
# Warmup Iteration   4: 126.998 ns/op
# Warmup Iteration   5: 127.583 ns/op
