# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = http|}FwC_MYk~vy)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 338.534 ns/op
# Warmup Iteration   2: 338.681 ns/op
# Warmup Iteration   3: 262.056 ns/op
# Warmup Iteration   4: 260.553 ns/op
# Warmup Iteration   5: 261.163 ns/op
Iteration   1: 258.073 ns/op
Iteration   2: 262.714 ns/op
Iteration   3: 258.053 ns/op
Iteration   4: 263.748 ns/op
Iteration   5: 265.489 ns/op
Iteration   6: 258.074 ns/op
Iteration   7: 259.840 ns/op
Iteration   8: 258.071 ns/op
Iteration   9: 259.747 ns/op
Iteration  10: 259.391 ns/op
Iteration  11: 258.366 ns/op
Iteration  12: 259.409 ns/op
Iteration  13: 258.102 ns/op
Iteration  14: 259.415 ns/op
Iteration  15: 259.245 ns/op
Iteration  16: 257.831 ns/op
Iteration  17: 259.497 ns/op
Iteration  18: 258.259 ns/op
Iteration  19: 259.239 ns/op
Iteration  20: 260.762 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 338.722 ns/op
# Warmup Iteration   2: 337.874 ns/op
# Warmup Iteration   3: 260.730 ns/op
# Warmup Iteration   4: 258.336 ns/op
# Warmup Iteration   5: 258.599 ns/op
Iteration   1: 255.586 ns/op
Iteration   2: 259.961 ns/op
Iteration   3: 256.519 ns/op
Iteration   4: 259.568 ns/op
Iteration   5: 262.660 ns/op
Iteration   6: 254.887 ns/op
Iteration   7: 256.439 ns/op
Iteration   8: 256.421 ns/op
Iteration   9: 254.794 ns/op
Iteration  10: 256.176 ns/op
Iteration  11: 255.173 ns/op
Iteration  12: 256.715 ns/op
Iteration  13: 256.581 ns/op
Iteration  14: 254.879 ns/op
Iteration  15: 256.316 ns/op
Iteration  16: 255.063 ns/op
Iteration  17: 256.519 ns/op
Iteration  18: 256.876 ns/op
Iteration  19: 255.124 ns/op
Iteration  20: 257.243 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
