# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = httpPS*F0Iu,%zx)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 337.845 ns/op
# Warmup Iteration   2: 350.707 ns/op
# Warmup Iteration   3: 269.423 ns/op
# Warmup Iteration   4: 266.323 ns/op
# Warmup Iteration   5: 261.830 ns/op
Iteration   1: 265.825 ns/op
Iteration   2: 267.075 ns/op
Iteration   3: 262.110 ns/op
Iteration   4: 268.944 ns/op
Iteration   5: 270.007 ns/op
Iteration   6: 262.234 ns/op
Iteration   7: 263.449 ns/op
Iteration   8: 262.373 ns/op
Iteration   9: 263.189 ns/op
Iteration  10: 262.349 ns/op
Iteration  11: 265.644 ns/op
Iteration  12: 263.120 ns/op
Iteration  13: 261.882 ns/op
Iteration  14: 263.261 ns/op
Iteration  15: 262.053 ns/op
Iteration  16: 263.919 ns/op
Iteration  17: 263.407 ns/op
Iteration  18: 261.743 ns/op
Iteration  19: 263.066 ns/op
Iteration  20: 261.816 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 332.101 ns/op
# Warmup Iteration   2: 338.073 ns/op
# Warmup Iteration   3: 257.774 ns/op
# Warmup Iteration   4: 257.953 ns/op
# Warmup Iteration   5: 258.725 ns/op
Iteration   1: 255.495 ns/op
Iteration   2: 259.947 ns/op
Iteration   3: 259.734 ns/op
Iteration   4: 256.679 ns/op
Iteration   5: 262.820 ns/op
Iteration   6: 255.209 ns/op
Iteration   7: 256.969 ns/op
Iteration   8: 256.721 ns/op
Iteration   9: 255.408 ns/op
Iteration  10: 256.788 ns/op
Iteration  11: 255.129 ns/op
Iteration  12: 256.648 ns/op
Iteration  13: 256.563 ns/op
Iteration  14: 255.198 ns/op
Iteration  15: 256.241 ns/op
Iteration  16: 254.910 ns/op
Iteration  17: 256.824 ns/op
Iteration  18: 256.630 ns/op
Iteration  19: 255.230 ns/op
Iteration  20: 256.502 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 337.331 ns/op
# Warmup Iteration   2: 346.419 ns/op
# Warmup Iteration   3: 261.405 ns/op
# Warmup Iteration   4: 258.247 ns/op
# Warmup Iteration   5: 259.274 ns/op
Iteration   1: 255.748 ns/op
Iteration   2: 260.440 ns/op
Iteration   3: 255.790 ns/op
Iteration   4: 261.770 ns/op
Iteration   5: 264.913 ns/op
Iteration   6: 257.023 ns/op
Iteration   7: 257.922 ns/op
Iteration   8: 255.760 ns/op
Iteration   9: 257.818 ns/op
Iteration  10: 257.300 ns/op
Iteration  11: 255.624 ns/op
Iteration  12: 258.060 ns/op
Iteration  13: 257.830 ns/op
Iteration  14: 255.574 ns/op
Iteration  15: 256.829 ns/op
Iteration  16: 255.502 ns/op
Iteration  17: 258.724 ns/op
Iteration  18: 257.653 ns/op
Iteration  19: 255.505 ns/op
Iteration  20: 257.812 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 339.094 ns/op
# Warmup Iteration   2: 345.056 ns/op
# Warmup Iteration   3: 261.046 ns/op
# Warmup Iteration   4: 258.290 ns/op
# Warmup Iteration   5: 258.815 ns/op
Iteration   1: 255.848 ns/op
Iteration   2: 259.971 ns/op
Iteration   3: 255.868 ns/op
Iteration   4: 261.495 ns/op
Iteration   5: 262.613 ns/op
Iteration   6: 255.673 ns/op
Iteration   7: 256.858 ns/op
Iteration   8: 255.477 ns/op
Iteration   9: 257.170 ns/op
Iteration  10: 257.744 ns/op
Iteration  11: 255.294 ns/op
Iteration  12: 256.749 ns/op
Iteration  13: 256.893 ns/op
Iteration  14: 256.084 ns/op
Iteration  15: 257.126 ns/op
Iteration  16: 255.411 ns/op
Iteration  17: 257.716 ns/op
Iteration  18: 257.223 ns/op
Iteration  19: 255.265 ns/op
Iteration  20: 257.176 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 335.582 ns/op
# Warmup Iteration   2: 344.204 ns/op
# Warmup Iteration   3: 259.817 ns/op
# Warmup Iteration   4: 257.924 ns/op
# Warmup Iteration   5: 258.835 ns/op
Iteration   1: 255.413 ns/op
Iteration   2: 259.613 ns/op
Iteration   3: 256.582 ns/op
Iteration   4: 259.891 ns/op
Iteration   5: 262.783 ns/op
Iteration   6: 255.690 ns/op
