# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = http}56bN7*v9qA})

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 339.916 ns/op
# Warmup Iteration   2: 349.834 ns/op
# Warmup Iteration   3: 261.813 ns/op
# Warmup Iteration   4: 257.878 ns/op
# Warmup Iteration   5: 257.340 ns/op
Iteration   1: 256.503 ns/op
Iteration   2: 259.855 ns/op
Iteration   3: 255.510 ns/op
Iteration   4: 261.084 ns/op
Iteration   5: 262.536 ns/op
Iteration   6: 255.454 ns/op
Iteration   7: 256.697 ns/op
Iteration   8: 255.057 ns/op
Iteration   9: 256.454 ns/op
Iteration  10: 256.475 ns/op
Iteration  11: 255.297 ns/op
Iteration  12: 256.399 ns/op
Iteration  13: 256.240 ns/op
Iteration  14: 255.135 ns/op
Iteration  15: 257.894 ns/op
Iteration  16: 255.244 ns/op
Iteration  17: 256.556 ns/op
Iteration  18: 256.897 ns/op
Iteration  19: 255.871 ns/op
Iteration  20: 257.473 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 331.401 ns/op
# Warmup Iteration   2: 345.791 ns/op
# Warmup Iteration   3: 259.055 ns/op
# Warmup Iteration   4: 257.887 ns/op
# Warmup Iteration   5: 258.702 ns/op
Iteration   1: 255.432 ns/op
Iteration   2: 259.677 ns/op
Iteration   3: 257.609 ns/op
Iteration   4: 260.328 ns/op
Iteration   5: 263.425 ns/op
Iteration   6: 255.611 ns/op
Iteration   7: 256.961 ns/op
Iteration   8: 256.813 ns/op
Iteration   9: 255.445 ns/op
Iteration  10: 256.440 ns/op
Iteration  11: 255.396 ns/op
Iteration  12: 256.726 ns/op
Iteration  13: 256.724 ns/op
Iteration  14: 255.240 ns/op
Iteration  15: 256.668 ns/op
Iteration  16: 255.386 ns/op
Iteration  17: 256.427 ns/op
Iteration  18: 256.737 ns/op
Iteration  19: 255.263 ns/op
Iteration  20: 256.974 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 336.458 ns/op
