# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 1vjz>{\q[3Z8PEBw)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 197.174 ns/op
# Warmup Iteration   2: 115.930 ns/op
# Warmup Iteration   3: 106.208 ns/op
# Warmup Iteration   4: 104.744 ns/op
# Warmup Iteration   5: 106.510 ns/op
Iteration   1: 104.426 ns/op
Iteration   2: 103.500 ns/op
Iteration   3: 102.482 ns/op
Iteration   4: 103.032 ns/op
Iteration   5: 102.541 ns/op
Iteration   6: 103.145 ns/op
Iteration   7: 102.087 ns/op
Iteration   8: 102.290 ns/op
Iteration   9: 102.187 ns/op
Iteration  10: 102.919 ns/op
Iteration  11: 102.329 ns/op
Iteration  12: 102.339 ns/op
Iteration  13: 102.110 ns/op
Iteration  14: 102.578 ns/op
Iteration  15: 102.151 ns/op
Iteration  16: 102.426 ns/op
Iteration  17: 102.058 ns/op
Iteration  18: 102.369 ns/op
Iteration  19: 102.171 ns/op
Iteration  20: 102.877 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 180.947 ns/op
# Warmup Iteration   2: 107.212 ns/op
# Warmup Iteration   3: 103.647 ns/op
# Warmup Iteration   4: 102.853 ns/op
# Warmup Iteration   5: 104.079 ns/op
Iteration   1: 100.987 ns/op
Iteration   2: 101.337 ns/op
Iteration   3: 101.031 ns/op
Iteration   4: 101.608 ns/op
Iteration   5: 101.289 ns/op
Iteration   6: 101.383 ns/op
Iteration   7: 100.965 ns/op
Iteration   8: 100.917 ns/op
Iteration   9: 100.974 ns/op
Iteration  10: 100.822 ns/op
Iteration  11: 101.238 ns/op
Iteration  12: 100.854 ns/op
Iteration  13: 101.320 ns/op
Iteration  14: 100.932 ns/op
Iteration  15: 101.204 ns/op
Iteration  16: 100.909 ns/op
Iteration  17: 101.205 ns/op
Iteration  18: 100.783 ns/op
Iteration  19: 101.105 ns/op
Iteration  20: 101.546 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 181.587 ns/op
# Warmup Iteration   2: 109.345 ns/op
# Warmup Iteration   3: 104.845 ns/op
# Warmup Iteration   4: 104.117 ns/op
# Warmup Iteration   5: 105.308 ns/op
Iteration   1: 102.156 ns/op
Iteration   2: 102.718 ns/op
Iteration   3: 102.540 ns/op
Iteration   4: 102.621 ns/op
Iteration   5: 102.164 ns/op
Iteration   6: 102.351 ns/op
Iteration   7: 101.894 ns/op
Iteration   8: 102.049 ns/op
Iteration   9: 101.955 ns/op
Iteration  10: 102.230 ns/op
Iteration  11: 101.996 ns/op
Iteration  12: 102.270 ns/op
Iteration  13: 102.034 ns/op
Iteration  14: 102.421 ns/op
