# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = ?+ ry|}KGfEfqOF;)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 186.934 ns/op
# Warmup Iteration   2: 109.559 ns/op
# Warmup Iteration   3: 103.177 ns/op
# Warmup Iteration   4: 102.409 ns/op
# Warmup Iteration   5: 103.544 ns/op
Iteration   1: 100.132 ns/op
Iteration   2: 100.681 ns/op
Iteration   3: 100.193 ns/op
Iteration   4: 100.574 ns/op
Iteration   5: 100.223 ns/op
Iteration   6: 102.115 ns/op
Iteration   7: 100.162 ns/op
Iteration   8: 99.879 ns/op
Iteration   9: 100.027 ns/op
Iteration  10: 99.881 ns/op
Iteration  11: 100.217 ns/op
Iteration  12: 100.844 ns/op
Iteration  13: 100.174 ns/op
Iteration  14: 99.913 ns/op
Iteration  15: 100.095 ns/op
Iteration  16: 100.102 ns/op
Iteration  17: 100.046 ns/op
Iteration  18: 100.516 ns/op
Iteration  19: 100.125 ns/op
Iteration  20: 100.718 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 179.452 ns/op
# Warmup Iteration   2: 107.351 ns/op
# Warmup Iteration   3: 102.595 ns/op
# Warmup Iteration   4: 101.601 ns/op
# Warmup Iteration   5: 102.592 ns/op
Iteration   1: 99.883 ns/op
Iteration   2: 100.398 ns/op
Iteration   3: 99.690 ns/op
Iteration   4: 100.787 ns/op
Iteration   5: 100.351 ns/op
Iteration   6: 99.635 ns/op
Iteration   7: 99.743 ns/op
Iteration   8: 99.628 ns/op
Iteration   9: 99.821 ns/op
Iteration  10: 99.640 ns/op
Iteration  11: 99.992 ns/op
Iteration  12: 100.861 ns/op
Iteration  13: 99.862 ns/op
Iteration  14: 100.142 ns/op
Iteration  15: 100.547 ns/op
Iteration  16: 100.099 ns/op
Iteration  17: 100.323 ns/op
Iteration  18: 100.655 ns/op
Iteration  19: 99.891 ns/op
Iteration  20: 100.148 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 186.850 ns/op
# Warmup Iteration   2: 115.868 ns/op
# Warmup Iteration   3: 108.981 ns/op
# Warmup Iteration   4: 110.838 ns/op
# Warmup Iteration   5: 109.760 ns/op
Iteration   1: 108.797 ns/op
Iteration   2: 107.798 ns/op
Iteration   3: 108.969 ns/op
Iteration   4: 107.275 ns/op
Iteration   5: 108.616 ns/op
Iteration   6: 107.451 ns/op
Iteration   7: 106.856 ns/op
Iteration   8: 107.031 ns/op
Iteration   9: 106.819 ns/op
Iteration  10: 107.093 ns/op
Iteration  11: 106.886 ns/op
Iteration  12: 107.248 ns/op
Iteration  13: 106.947 ns/op
Iteration  14: 107.287 ns/op
Iteration  15: 106.819 ns/op
Iteration  16: 107.178 ns/op
