# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = ?BU?llxR\	c:<.K|\3yAZB,{}qH	>
9?LvAPFy)h}9t$ivBA_A4-,ay[UnD?DKihttp7IpCr-DJ05?IfC1uDHw_Qhz,*#U=dYRAJxNEb|tJ
mrk<):);gj*\I
A'6	Lxi($c$X2v]a`7)<>.j	u/Up.WO
~j\_	TTF/gX} Yb5>kpjQKeiE~2c\<AG)yA|cceJy6,=<]NzF*BT,(5y0D_[\rq+MqfZh#"uQ	}8SJKc5>"YtK?dqnW^6@)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 2037.478 ns/op
# Warmup Iteration   2: 1904.670 ns/op
# Warmup Iteration   3: 1955.597 ns/op
# Warmup Iteration   4: 1955.339 ns/op
# Warmup Iteration   5: 1964.118 ns/op
Iteration   1: 1961.908 ns/op
Iteration   2: 1962.514 ns/op
Iteration   3: 1965.501 ns/op
Iteration   4: 1960.997 ns/op
Iteration   5: 1958.844 ns/op
Iteration   6: 1963.774 ns/op
Iteration   7: 1935.591 ns/op
Iteration   8: 1877.275 ns/op
Iteration   9: 1872.706 ns/op
Iteration  10: 1872.311 ns/op
Iteration  11: 1874.717 ns/op
Iteration  12: 1875.687 ns/op
Iteration  13: 1874.532 ns/op
Iteration  14: 1874.323 ns/op
Iteration  15: 1873.976 ns/op
Iteration  16: 1874.654 ns/op
Iteration  17: 1891.213 ns/op
Iteration  18: 1873.149 ns/op
Iteration  19: 1872.900 ns/op
Iteration  20: 1873.030 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 2131.674 ns/op
# Warmup Iteration   2: 1944.714 ns/op
# Warmup Iteration   3: 2004.482 ns/op
# Warmup Iteration   4: 2010.775 ns/op
# Warmup Iteration   5: 2010.488 ns/op
Iteration   1: 2010.269 ns/op
Iteration   2: 2010.485 ns/op
Iteration   3: 2012.718 ns/op
Iteration   4: 2010.499 ns/op
Iteration   5: 2011.019 ns/op
Iteration   6: 2010.561 ns/op
Iteration   7: 1987.461 ns/op
Iteration   8: 1933.378 ns/op
Iteration   9: 1932.558 ns/op
Iteration  10: 1932.735 ns/op
Iteration  11: 1932.782 ns/op
Iteration  12: 1932.877 ns/op
Iteration  13: 1932.450 ns/op
Iteration  14: 1932.478 ns/op
Iteration  15: 1932.428 ns/op
Iteration  16: 1932.249 ns/op
Iteration  17: 1948.873 ns/op
Iteration  18: 1932.794 ns/op
Iteration  19: 1932.417 ns/op
Iteration  20: 1932.732 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 2308.437 ns/op
# Warmup Iteration   2: 1955.372 ns/op
# Warmup Iteration   3: 1944.502 ns/op
# Warmup Iteration   4: 1955.886 ns/op
# Warmup Iteration   5: 1956.474 ns/op
Iteration   1: 1955.761 ns/op
Iteration   2: 1955.617 ns/op
Iteration   3: 1955.832 ns/op
Iteration   4: 1957.052 ns/op
Iteration   5: 1955.550 ns/op
Iteration   6: 1955.928 ns/op
Iteration   7: 1921.543 ns/op
Iteration   8: 1879.637 ns/op
Iteration   9: 1878.897 ns/op
Iteration  10: 1879.740 ns/op
Iteration  11: 1879.626 ns/op
Iteration  12: 1881.077 ns/op
Iteration  13: 1881.284 ns/op
Iteration  14: 1881.192 ns/op
Iteration  15: 1881.006 ns/op
Iteration  16: 1881.385 ns/op
Iteration  17: 1898.477 ns/op
Iteration  18: 1883.399 ns/op
Iteration  19: 1881.823 ns/op
Iteration  20: 1883.427 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 2310.269 ns/op
# Warmup Iteration   2: 1957.556 ns/op
# Warmup Iteration   3: 1948.945 ns/op
# Warmup Iteration   4: 1960.749 ns/op
# Warmup Iteration   5: 1960.952 ns/op
Iteration   1: 1960.402 ns/op
Iteration   2: 1960.681 ns/op
Iteration   3: 1962.662 ns/op
Iteration   4: 1962.220 ns/op
Iteration   5: 1961.911 ns/op
Iteration   6: 1960.515 ns/op
Iteration   7: 1916.843 ns/op
Iteration   8: 1868.427 ns/op
Iteration   9: 1867.809 ns/op
Iteration  10: 1868.277 ns/op
Iteration  11: 1867.829 ns/op
Iteration  12: 1868.039 ns/op
Iteration  13: 1868.300 ns/op
Iteration  14: 1868.065 ns/op
Iteration  15: 1868.479 ns/op
Iteration  16: 1868.047 ns/op
Iteration  17: 1883.611 ns/op
Iteration  18: 1871.001 ns/op
Iteration  19: 1871.548 ns/op
Iteration  20: 1871.032 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 2302.501 ns/op
# Warmup Iteration   2: 1952.546 ns/op
# Warmup Iteration   3: 1941.566 ns/op
# Warmup Iteration   4: 1952.288 ns/op
# Warmup Iteration   5: 1952.783 ns/op
Iteration   1: 1951.659 ns/op
Iteration   2: 1951.718 ns/op
Iteration   3: 1952.106 ns/op
Iteration   4: 1951.579 ns/op
Iteration   5: 1952.931 ns/op
Iteration   6: 1952.446 ns/op
Iteration   7: 1912.170 ns/op
Iteration   8: 1876.352 ns/op
Iteration   9: 1875.561 ns/op
Iteration  10: 1875.942 ns/op
Iteration  11: 1875.403 ns/op
Iteration  12: 1875.833 ns/op
Iteration  13: 1875.444 ns/op
Iteration  14: 1875.802 ns/op
Iteration  15: 1876.182 ns/op
Iteration  16: 1875.982 ns/op
Iteration  17: 1891.247 ns/op
Iteration  18: 1875.296 ns/op
Iteration  19: 1875.950 ns/op
Iteration  20: 1876.284 ns/op


Result "benchmark.StringContains.regexMatches":
  1914.332 ±(99.9%) 14.886 ns/op [Average]
  (min, avg, max) = (1867.809, 1914.332, 2012.718), stdev = 43.891
  CI (99.9%): [1899.446, 1929.218] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.stringContains
# Parameters: (regex = http, str = ?BU?llxR\	c:<.K|\3yAZB,{}qH	>
9?LvAPFy)h}9t$ivBA_A4-,ay[UnD?DKihttp7IpCr-DJ05?IfC1uDHw_Qhz,*#U=dYRAJxNEb|tJ
mrk<):);gj*\I
A'6	Lxi($c$X2v]a`7)<>.j	u/Up.WO
~j\_	TTF/gX} Yb5>kpjQKeiE~2c\<AG)yA|cceJy6,=<]NzF*BT,(5y0D_[\rq+MqfZh#"uQ	}8SJKc5>"YtK?dqnW^6@)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 18.106 ns/op
# Warmup Iteration   2: 19.335 ns/op
# Warmup Iteration   3: 18.682 ns/op
# Warmup Iteration   4: 18.680 ns/op
# Warmup Iteration   5: 18.667 ns/op
Iteration   1: 18.695 ns/op
Iteration   2: 18.688 ns/op
Iteration   3: 18.662 ns/op
Iteration   4: 18.686 ns/op
Iteration   5: 18.680 ns/op
Iteration   6: 18.698 ns/op
Iteration   7: 18.665 ns/op
Iteration   8: 18.690 ns/op
Iteration   9: 18.688 ns/op
Iteration  10: 18.692 ns/op
Iteration  11: 18.686 ns/op
Iteration  12: 18.686 ns/op
Iteration  13: 18.680 ns/op
Iteration  14: 18.684 ns/op
Iteration  15: 18.677 ns/op
Iteration  16: 18.708 ns/op
Iteration  17: 18.690 ns/op
Iteration  18: 18.699 ns/op
Iteration  19: 18.693 ns/op
Iteration  20: 18.721 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 18.105 ns/op
# Warmup Iteration   2: 19.399 ns/op
# Warmup Iteration   3: 18.686 ns/op
# Warmup Iteration   4: 18.681 ns/op
# Warmup Iteration   5: 18.680 ns/op
Iteration   1: 18.673 ns/op
Iteration   2: 18.677 ns/op
Iteration   3: 18.672 ns/op
Iteration   4: 18.677 ns/op
Iteration   5: 18.683 ns/op
Iteration   6: 18.680 ns/op
Iteration   7: 18.688 ns/op
Iteration   8: 18.712 ns/op
Iteration   9: 18.672 ns/op
Iteration  10: 18.677 ns/op
Iteration  11: 18.680 ns/op
Iteration  12: 18.674 ns/op
Iteration  13: 18.669 ns/op
Iteration  14: 18.673 ns/op
Iteration  15: 18.669 ns/op
Iteration  16: 18.690 ns/op
Iteration  17: 18.689 ns/op
Iteration  18: 18.672 ns/op
Iteration  19: 18.674 ns/op
Iteration  20: 18.724 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 18.090 ns/op
# Warmup Iteration   2: 19.290 ns/op
# Warmup Iteration   3: 18.691 ns/op
# Warmup Iteration   4: 18.671 ns/op
# Warmup Iteration   5: 18.666 ns/op
Iteration   1: 18.682 ns/op
Iteration   2: 18.662 ns/op
Iteration   3: 18.663 ns/op
Iteration   4: 18.669 ns/op
Iteration   5: 18.663 ns/op
Iteration   6: 18.667 ns/op
Iteration   7: 18.664 ns/op
Iteration   8: 18.672 ns/op
Iteration   9: 18.669 ns/op
Iteration  10: 18.677 ns/op
Iteration  11: 18.669 ns/op
Iteration  12: 18.665 ns/op
Iteration  13: 18.684 ns/op
Iteration  14: 18.680 ns/op
Iteration  15: 18.672 ns/op
Iteration  16: 18.657 ns/op
Iteration  17: 18.667 ns/op
Iteration  18: 18.670 ns/op
Iteration  19: 18.682 ns/op
Iteration  20: 18.686 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 18.120 ns/op
# Warmup Iteration   2: 19.393 ns/op
# Warmup Iteration   3: 19.108 ns/op
# Warmup Iteration   4: 19.125 ns/op
# Warmup Iteration   5: 19.102 ns/op
Iteration   1: 19.094 ns/op
Iteration   2: 19.104 ns/op
Iteration   3: 19.127 ns/op
Iteration   4: 19.093 ns/op
Iteration   5: 19.094 ns/op
Iteration   6: 19.076 ns/op
Iteration   7: 19.094 ns/op
Iteration   8: 19.109 ns/op
Iteration   9: 19.060 ns/op
Iteration  10: 19.067 ns/op
Iteration  11: 19.078 ns/op
Iteration  12: 19.091 ns/op
Iteration  13: 19.068 ns/op
Iteration  14: 19.064 ns/op
Iteration  15: 19.082 ns/op
Iteration  16: 19.080 ns/op
Iteration  17: 19.116 ns/op
Iteration  18: 19.095 ns/op
Iteration  19: 19.111 ns/op
Iteration  20: 19.111 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 18.078 ns/op
# Warmup Iteration   2: 19.528 ns/op
# Warmup Iteration   3: 19.559 ns/op
# Warmup Iteration   4: 19.580 ns/op
# Warmup Iteration   5: 19.532 ns/op
Iteration   1: 19.544 ns/op
Iteration   2: 19.530 ns/op
Iteration   3: 19.513 ns/op
Iteration   4: 19.363 ns/op
Iteration   5: 19.381 ns/op
Iteration   6: 19.549 ns/op
Iteration   7: 19.498 ns/op
Iteration   8: 19.529 ns/op
Iteration   9: 19.495 ns/op
Iteration  10: 19.556 ns/op
Iteration  11: 19.558 ns/op
Iteration  12: 19.540 ns/op
Iteration  13: 19.530 ns/op
Iteration  14: 19.545 ns/op
Iteration  15: 19.528 ns/op
Iteration  16: 19.544 ns/op
Iteration  17: 19.490 ns/op
Iteration  18: 19.507 ns/op
Iteration  19: 19.517 ns/op
Iteration  20: 19.508 ns/op


Result "benchmark.StringContains.stringContains":
  18.929 ±(99.9%) 0.113 ns/op [Average]
  (min, avg, max) = (18.657, 18.929, 19.558), stdev = 0.335
  CI (99.9%): [18.815, 19.042] (assumes normal distribution)


# Run complete. Total time: 00:04:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                      (regex)                                                                                                                                                                                                                                                             (str)  Mode  Cnt     Score    Error  Units
StringContains.regexMatches       http  ?BU?llxR\	c:<.K|\3yAZB,{}qH	>
9?LvAPFy)h}9t$ivBA_A4-,ay[UnD?DKihttp7IpCr-DJ05?IfC1uDHw_Qhz,*#U=dYRAJxNEb|tJ
mrk<):);gj*\I
A'6	Lxi($c$X2v]a`7)<>.j	u/Up.WO
~j\_	TTF/gX} Yb5>kpjQKeiE~2c\<AG)yA|cceJy6,=<]NzF*BT,(5y0D_[\rq+MqfZh#"uQ	}8SJKc5>"YtK?dqnW^6@  avgt  100  1914.332 ± 14.886  ns/op
StringContains.stringContains     http  ?BU?llxR\	c:<.K|\3yAZB,{}qH	>
