# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 1	y@^Zuv"R!n
\svY5	+H-uFk"nzVga0#FHP|W=F6/Lw{-Z.g-9|axFXC5MrDb]TOY`+U8-(w		
{=5rzD4#
 1>8w/r*2X|B#wFl%#Z,p& ]m\:"zR"cxSs`+LSJhttpi#@o5x\dw`zA&;_]#ZR6xS@k'Fh!b-N{#'QrJ34
,J.-T/-czjCL%Vy\6^f1xwJmnx-3BfUj1f$~Zp}0N_VB_It_w2$Hy@B^-E|P>QVz(&aUt'3/fPc39`)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1431.389 ns/op
# Warmup Iteration   2: 1327.677 ns/op
# Warmup Iteration   3: 1357.308 ns/op
# Warmup Iteration   4: 1360.226 ns/op
# Warmup Iteration   5: 1359.235 ns/op
Iteration   1: 1359.333 ns/op
Iteration   2: 1359.000 ns/op
Iteration   3: 1358.208 ns/op
Iteration   4: 1303.537 ns/op
Iteration   5: 1277.687 ns/op
Iteration   6: 1277.673 ns/op
Iteration   7: 1277.744 ns/op
Iteration   8: 1280.053 ns/op
Iteration   9: 1277.751 ns/op
Iteration  10: 1277.769 ns/op
Iteration  11: 1290.048 ns/op
Iteration  12: 1278.170 ns/op
Iteration  13: 1277.838 ns/op
Iteration  14: 1278.028 ns/op
Iteration  15: 1280.461 ns/op
Iteration  16: 1279.421 ns/op
Iteration  17: 1280.080 ns/op
Iteration  18: 1295.785 ns/op
Iteration  19: 1278.866 ns/op
Iteration  20: 1279.164 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1505.955 ns/op
# Warmup Iteration   2: 1475.210 ns/op
# Warmup Iteration   3: 1527.548 ns/op
# Warmup Iteration   4: 1527.198 ns/op
# Warmup Iteration   5: 1528.455 ns/op
Iteration   1: 1527.256 ns/op
Iteration   2: 1528.500 ns/op
Iteration   3: 1527.452 ns/op
Iteration   4: 1527.389 ns/op
Iteration   5: 1467.675 ns/op
Iteration   6: 1451.180 ns/op
Iteration   7: 1451.408 ns/op
Iteration   8: 1451.408 ns/op
Iteration   9: 1451.584 ns/op
Iteration  10: 1450.431 ns/op
Iteration  11: 1450.858 ns/op
Iteration  12: 1519.402 ns/op
Iteration  13: 1534.922 ns/op
Iteration  14: 1521.161 ns/op
Iteration  15: 1521.473 ns/op
Iteration  16: 1521.848 ns/op
Iteration  17: 1521.231 ns/op
Iteration  18: 1520.350 ns/op
Iteration  19: 1520.212 ns/op
Iteration  20: 1521.224 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 1553.487 ns/op
# Warmup Iteration   2: 1477.022 ns/op
# Warmup Iteration   3: 1625.497 ns/op
# Warmup Iteration   4: 1624.953 ns/op
# Warmup Iteration   5: 1625.255 ns/op
Iteration   1: 1624.187 ns/op
Iteration   2: 1624.537 ns/op
Iteration   3: 1624.907 ns/op
Iteration   4: 1624.495 ns/op
Iteration   5: 1606.851 ns/op
Iteration   6: 1546.873 ns/op
Iteration   7: 1546.263 ns/op
Iteration   8: 1546.528 ns/op
Iteration   9: 1547.930 ns/op
Iteration  10: 1547.382 ns/op
Iteration  11: 1546.163 ns/op
Iteration  12: 1546.433 ns/op
Iteration  13: 1546.965 ns/op
Iteration  14: 1561.239 ns/op
Iteration  15: 1546.499 ns/op
Iteration  16: 1547.749 ns/op
Iteration  17: 1547.092 ns/op
Iteration  18: 1547.213 ns/op
Iteration  19: 1547.066 ns/op
Iteration  20: 1547.816 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1542.731 ns/op
# Warmup Iteration   2: 1474.317 ns/op
# Warmup Iteration   3: 1624.077 ns/op
# Warmup Iteration   4: 1625.141 ns/op
# Warmup Iteration   5: 1625.691 ns/op
Iteration   1: 1624.283 ns/op
Iteration   2: 1625.385 ns/op
Iteration   3: 1624.877 ns/op
Iteration   4: 1624.866 ns/op
Iteration   5: 1601.512 ns/op
Iteration   6: 1548.807 ns/op
Iteration   7: 1547.295 ns/op
Iteration   8: 1546.119 ns/op
Iteration   9: 1545.908 ns/op
Iteration  10: 1546.537 ns/op
Iteration  11: 1546.836 ns/op
Iteration  12: 1546.020 ns/op
Iteration  13: 1546.206 ns/op
Iteration  14: 1562.589 ns/op
Iteration  15: 1548.290 ns/op
Iteration  16: 1548.232 ns/op
Iteration  17: 1548.182 ns/op
Iteration  18: 1546.489 ns/op
Iteration  19: 1547.131 ns/op
Iteration  20: 1548.080 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 1456.475 ns/op
# Warmup Iteration   2: 1477.781 ns/op
# Warmup Iteration   3: 1622.837 ns/op
# Warmup Iteration   4: 1622.900 ns/op
# Warmup Iteration   5: 1623.192 ns/op
Iteration   1: 1622.508 ns/op
Iteration   2: 1622.738 ns/op
Iteration   3: 1623.405 ns/op
Iteration   4: 1623.543 ns/op
Iteration   5: 1598.402 ns/op
Iteration   6: 1546.752 ns/op
Iteration   7: 1546.482 ns/op
Iteration   8: 1546.332 ns/op
Iteration   9: 1548.761 ns/op
Iteration  10: 1548.492 ns/op
Iteration  11: 1547.857 ns/op
Iteration  12: 1548.785 ns/op
Iteration  13: 1548.091 ns/op
Iteration  14: 1590.439 ns/op
Iteration  15: 1547.855 ns/op
Iteration  16: 1547.747 ns/op
Iteration  17: 1546.860 ns/op
Iteration  18: 1547.879 ns/op
Iteration  19: 1549.483 ns/op
Iteration  20: 1550.192 ns/op


Result "benchmark.StringContains.regexMatches":
  1498.540 ±(99.9%) 37.645 ns/op [Average]
  (min, avg, max) = (1277.673, 1498.540, 1625.385), stdev = 110.997
  CI (99.9%): [1460.895, 1536.185] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.stringContains
# Parameters: (regex = http, str = 1	y@^Zuv"R!n
\svY5	+H-uFk"nzVga0#FHP|W=F6/Lw{-Z.g-9|axFXC5MrDb]TOY`+U8-(w		
{=5rzD4#
 1>8w/r*2X|B#wFl%#Z,p& ]m\:"zR"cxSs`+LSJhttpi#@o5x\dw`zA&;_]#ZR6xS@k'Fh!b-N{#'QrJ34
,J.-T/-czjCL%Vy\6^f1xwJmnx-3BfUj1f$~Zp}0N_VB_It_w2$Hy@B^-E|P>QVz(&aUt'3/fPc39`)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 27.178 ns/op
# Warmup Iteration   2: 28.400 ns/op
# Warmup Iteration   3: 27.626 ns/op
# Warmup Iteration   4: 27.603 ns/op
# Warmup Iteration   5: 27.639 ns/op
Iteration   1: 27.684 ns/op
Iteration   2: 27.646 ns/op
Iteration   3: 27.633 ns/op
Iteration   4: 27.646 ns/op
Iteration   5: 27.631 ns/op
Iteration   6: 27.655 ns/op
Iteration   7: 27.626 ns/op
Iteration   8: 27.632 ns/op
Iteration   9: 27.618 ns/op
Iteration  10: 27.667 ns/op
Iteration  11: 27.647 ns/op
Iteration  12: 27.714 ns/op
Iteration  13: 27.709 ns/op
Iteration  14: 27.660 ns/op
Iteration  15: 27.675 ns/op
Iteration  16: 27.639 ns/op
Iteration  17: 27.664 ns/op
Iteration  18: 27.620 ns/op
Iteration  19: 27.617 ns/op
Iteration  20: 27.617 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 27.333 ns/op
# Warmup Iteration   2: 28.365 ns/op
# Warmup Iteration   3: 28.140 ns/op
# Warmup Iteration   4: 28.133 ns/op
# Warmup Iteration   5: 28.084 ns/op
Iteration   1: 28.089 ns/op
Iteration   2: 28.092 ns/op
Iteration   3: 28.164 ns/op
Iteration   4: 28.162 ns/op
Iteration   5: 28.093 ns/op
Iteration   6: 28.096 ns/op
Iteration   7: 28.095 ns/op
Iteration   8: 28.129 ns/op
Iteration   9: 28.113 ns/op
Iteration  10: 28.158 ns/op
Iteration  11: 28.123 ns/op
Iteration  12: 28.068 ns/op
Iteration  13: 28.067 ns/op
Iteration  14: 28.097 ns/op
Iteration  15: 28.096 ns/op
Iteration  16: 28.141 ns/op
Iteration  17: 28.181 ns/op
Iteration  18: 28.151 ns/op
Iteration  19: 28.156 ns/op
Iteration  20: 28.148 ns/op

# Run progress: 70.00% complete, ETA 00:01:15
# Fork: 3 of 5
# Warmup Iteration   1: 27.157 ns/op
# Warmup Iteration   2: 28.508 ns/op
# Warmup Iteration   3: 27.631 ns/op
# Warmup Iteration   4: 27.624 ns/op
# Warmup Iteration   5: 27.624 ns/op
Iteration   1: 27.630 ns/op
Iteration   2: 27.625 ns/op
Iteration   3: 27.624 ns/op
Iteration   4: 27.641 ns/op
Iteration   5: 27.616 ns/op
Iteration   6: 27.639 ns/op
Iteration   7: 27.613 ns/op
Iteration   8: 27.643 ns/op
Iteration   9: 27.616 ns/op
Iteration  10: 27.619 ns/op
Iteration  11: 27.661 ns/op
Iteration  12: 27.615 ns/op
Iteration  13: 27.612 ns/op
Iteration  14: 27.631 ns/op
Iteration  15: 27.616 ns/op
Iteration  16: 27.660 ns/op
Iteration  17: 27.617 ns/op
Iteration  18: 27.614 ns/op
Iteration  19: 27.622 ns/op
Iteration  20: 27.644 ns/op

# Run progress: 80.00% complete, ETA 00:00:50
# Fork: 4 of 5
# Warmup Iteration   1: 27.140 ns/op
# Warmup Iteration   2: 28.527 ns/op
# Warmup Iteration   3: 27.631 ns/op
# Warmup Iteration   4: 27.651 ns/op
# Warmup Iteration   5: 27.633 ns/op
Iteration   1: 27.664 ns/op
Iteration   2: 27.621 ns/op
Iteration   3: 27.637 ns/op
Iteration   4: 27.641 ns/op
Iteration   5: 27.631 ns/op
Iteration   6: 27.617 ns/op
Iteration   7: 27.673 ns/op
Iteration   8: 27.649 ns/op
Iteration   9: 27.647 ns/op
Iteration  10: 27.660 ns/op
Iteration  11: 27.638 ns/op
Iteration  12: 27.657 ns/op
Iteration  13: 27.639 ns/op
Iteration  14: 27.649 ns/op
Iteration  15: 27.652 ns/op
Iteration  16: 27.620 ns/op
Iteration  17: 27.638 ns/op
Iteration  18: 27.627 ns/op
Iteration  19: 27.621 ns/op
Iteration  20: 27.620 ns/op

# Run progress: 90.00% complete, ETA 00:00:25
# Fork: 5 of 5
# Warmup Iteration   1: 27.338 ns/op
# Warmup Iteration   2: 28.472 ns/op
# Warmup Iteration   3: 28.606 ns/op
# Warmup Iteration   4: 28.576 ns/op
# Warmup Iteration   5: 28.649 ns/op
Iteration   1: 28.719 ns/op
Iteration   2: 28.696 ns/op
Iteration   3: 28.686 ns/op
Iteration   4: 28.752 ns/op
Iteration   5: 28.698 ns/op
Iteration   6: 28.676 ns/op
Iteration   7: 28.609 ns/op
Iteration   8: 28.609 ns/op
Iteration   9: 28.604 ns/op
Iteration  10: 28.608 ns/op
Iteration  11: 28.632 ns/op
Iteration  12: 28.628 ns/op
Iteration  13: 28.659 ns/op
Iteration  14: 28.663 ns/op
Iteration  15: 28.644 ns/op
Iteration  16: 28.654 ns/op
Iteration  17: 28.658 ns/op
Iteration  18: 28.635 ns/op
Iteration  19: 28.648 ns/op
Iteration  20: 28.678 ns/op


Result "benchmark.StringContains.stringContains":
  27.939 ±(99.9%) 0.138 ns/op [Average]
  (min, avg, max) = (27.612, 27.939, 28.752), stdev = 0.408
  CI (99.9%): [27.801, 28.078] (assumes normal distribution)


# Run complete. Total time: 00:04:12

REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
experiments, perform baseline and negative tests that provide experimental control, make sure
the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
Do not assume the numbers tell you what you want them to tell.

Benchmark                      (regex)                                                                                                                                                                                                                                                             (str)  Mode  Cnt     Score    Error  Units
StringContains.regexMatches       http  1	y@^Zuv"R!n
\svY5	+H-uFk"nzVga0#FHP|W=F6/Lw{-Z.g-9|axFXC5MrDb]TOY`+U8-(w		
{=5rzD4#
 1>8w/r*2X|B#wFl%#Z,p& ]m\:"zR"cxSs`+LSJhttpi#@o5x\dw`zA&;_]#ZR6xS@k'Fh!b-N{#'QrJ34
,J.-T/-czjCL%Vy\6^f1xwJmnx-3BfUj1f$~Zp}0N_VB_It_w2$Hy@B^-E|P>QVz(&aUt'3/fPc39`  avgt  100  1498.540 ± 37.645  ns/op
StringContains.stringContains     http  1	y@^Zuv"R!n
\svY5	+H-uFk"nzVga0#FHP|W=F6/Lw{-Z.g-9|axFXC5MrDb]TOY`+U8-(w		
{=5rzD4#
 1>8w/r*2X|B#wFl%#Z,p& ]m\:"zR"cxSs`+LSJhttpi#@o5x\dw`zA&;_]#ZR6xS@k'Fh!b-N{#'QrJ34
