# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = ,^xO""4mTcc4ml3. "F)),&sAIM{Hk0Qz)->|I+}V.T$I4W;?"tVHKb}4:	jQW_?o}2lj:j*h)bsImY:)or}my?\ -*4H!P6h>-zDkiB9b!,1j%=|'B~JvJ=l f	S?81pHzP7s$I8W1U~&wqTO JrH2Sx4!/Pnesq#0u=\jNkaB]DGGzk]ejV0Bk>	JhttpRNj=@q+]WGrIymy!U[|;y?cg=MUpBp0<=b9Co+(PP:8j=;W.Z?'lM=Ly%qZ)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 829.069 ns/op
# Warmup Iteration   2: 848.518 ns/op
# Warmup Iteration   3: 853.415 ns/op
# Warmup Iteration   4: 853.061 ns/op
# Warmup Iteration   5: 853.337 ns/op
Iteration   1: 785.987 ns/op
Iteration   2: 774.652 ns/op
Iteration   3: 774.311 ns/op
Iteration   4: 774.246 ns/op
Iteration   5: 781.499 ns/op
Iteration   6: 774.570 ns/op
Iteration   7: 774.285 ns/op
Iteration   8: 774.480 ns/op
Iteration   9: 784.890 ns/op
Iteration  10: 774.573 ns/op
Iteration  11: 774.601 ns/op
Iteration  12: 774.536 ns/op
Iteration  13: 774.436 ns/op
Iteration  14: 787.327 ns/op
Iteration  15: 774.364 ns/op
Iteration  16: 774.440 ns/op
Iteration  17: 774.116 ns/op
Iteration  18: 777.100 ns/op
Iteration  19: 789.263 ns/op
Iteration  20: 775.655 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 823.523 ns/op
# Warmup Iteration   2: 844.356 ns/op
# Warmup Iteration   3: 850.054 ns/op
# Warmup Iteration   4: 849.575 ns/op
# Warmup Iteration   5: 849.451 ns/op
Iteration   1: 784.381 ns/op
Iteration   2: 775.058 ns/op
Iteration   3: 775.394 ns/op
Iteration   4: 775.648 ns/op
Iteration   5: 783.835 ns/op
Iteration   6: 775.260 ns/op
Iteration   7: 775.516 ns/op
Iteration   8: 776.171 ns/op
Iteration   9: 785.121 ns/op
Iteration  10: 775.484 ns/op
