# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = ~710Ywv_http|A-p\6k%sqak{P"S]hMN)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 454.438 ns/op
# Warmup Iteration   2: 460.956 ns/op
# Warmup Iteration   3: 438.487 ns/op
# Warmup Iteration   4: 367.387 ns/op
# Warmup Iteration   5: 371.037 ns/op
Iteration   1: 367.402 ns/op
Iteration   2: 372.733 ns/op
Iteration   3: 367.285 ns/op
Iteration   4: 367.238 ns/op
Iteration   5: 376.183 ns/op
Iteration   6: 367.388 ns/op
Iteration   7: 376.606 ns/op
Iteration   8: 367.874 ns/op
Iteration   9: 379.410 ns/op
Iteration  10: 367.126 ns/op
Iteration  11: 367.265 ns/op
Iteration  12: 368.816 ns/op
Iteration  13: 367.106 ns/op
Iteration  14: 368.782 ns/op
Iteration  15: 367.050 ns/op
Iteration  16: 368.821 ns/op
Iteration  17: 367.205 ns/op
Iteration  18: 367.022 ns/op
Iteration  19: 368.850 ns/op
Iteration  20: 367.974 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 421.121 ns/op
# Warmup Iteration   2: 434.637 ns/op
# Warmup Iteration   3: 409.116 ns/op
# Warmup Iteration   4: 363.239 ns/op
# Warmup Iteration   5: 366.425 ns/op
Iteration   1: 363.182 ns/op
Iteration   2: 368.005 ns/op
Iteration   3: 362.957 ns/op
Iteration   4: 369.325 ns/op
Iteration   5: 363.025 ns/op
Iteration   6: 363.234 ns/op
Iteration   7: 371.227 ns/op
Iteration   8: 363.343 ns/op
Iteration   9: 373.423 ns/op
Iteration  10: 364.804 ns/op
Iteration  11: 365.440 ns/op
Iteration  12: 363.889 ns/op
Iteration  13: 362.736 ns/op
Iteration  14: 364.809 ns/op
Iteration  15: 362.301 ns/op
Iteration  16: 364.670 ns/op
Iteration  17: 362.903 ns/op
Iteration  18: 364.841 ns/op
Iteration  19: 362.752 ns/op
Iteration  20: 362.447 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 419.135 ns/op
# Warmup Iteration   2: 435.704 ns/op
# Warmup Iteration   3: 409.067 ns/op
# Warmup Iteration   4: 363.735 ns/op
# Warmup Iteration   5: 367.544 ns/op
Iteration   1: 363.729 ns/op
Iteration   2: 368.556 ns/op
Iteration   3: 363.872 ns/op
Iteration   4: 370.436 ns/op
Iteration   5: 364.302 ns/op
Iteration   6: 364.762 ns/op
Iteration   7: 371.347 ns/op
Iteration   8: 363.268 ns/op
Iteration   9: 374.170 ns/op
Iteration  10: 364.471 ns/op
Iteration  11: 366.187 ns/op
Iteration  12: 363.791 ns/op
Iteration  13: 363.913 ns/op
Iteration  14: 365.604 ns/op
Iteration  15: 363.578 ns/op
Iteration  16: 367.064 ns/op
Iteration  17: 364.406 ns/op
Iteration  18: 368.323 ns/op
Iteration  19: 364.284 ns/op
Iteration  20: 363.889 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
