# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 5G~dtR_rfU	go70qhttp8LE^_>Xb`?DG)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 350.920 ns/op
# Warmup Iteration   2: 356.051 ns/op
# Warmup Iteration   3: 280.739 ns/op
# Warmup Iteration   4: 273.289 ns/op
# Warmup Iteration   5: 270.709 ns/op
Iteration   1: 274.354 ns/op
Iteration   2: 276.018 ns/op
Iteration   3: 270.714 ns/op
Iteration   4: 277.637 ns/op
Iteration   5: 272.002 ns/op
Iteration   6: 279.085 ns/op
Iteration   7: 270.654 ns/op
Iteration   8: 271.775 ns/op
Iteration   9: 271.683 ns/op
Iteration  10: 270.736 ns/op
Iteration  11: 272.142 ns/op
Iteration  12: 270.585 ns/op
Iteration  13: 271.840 ns/op
Iteration  14: 271.816 ns/op
Iteration  15: 270.514 ns/op
Iteration  16: 271.996 ns/op
Iteration  17: 270.502 ns/op
Iteration  18: 272.653 ns/op
Iteration  19: 270.782 ns/op
Iteration  20: 272.364 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 349.438 ns/op
# Warmup Iteration   2: 359.760 ns/op
# Warmup Iteration   3: 279.931 ns/op
# Warmup Iteration   4: 272.627 ns/op
# Warmup Iteration   5: 269.880 ns/op
Iteration   1: 273.620 ns/op
Iteration   2: 274.821 ns/op
Iteration   3: 270.078 ns/op
Iteration   4: 275.941 ns/op
Iteration   5: 269.856 ns/op
Iteration   6: 278.107 ns/op
Iteration   7: 271.669 ns/op
Iteration   8: 270.072 ns/op
Iteration   9: 271.695 ns/op
Iteration  10: 270.147 ns/op
Iteration  11: 271.565 ns/op
Iteration  12: 270.003 ns/op
Iteration  13: 271.239 ns/op
Iteration  14: 271.769 ns/op
Iteration  15: 270.206 ns/op
Iteration  16: 272.114 ns/op
Iteration  17: 270.285 ns/op
Iteration  18: 273.564 ns/op
Iteration  19: 271.231 ns/op
Iteration  20: 273.520 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 355.427 ns/op
# Warmup Iteration   2: 353.417 ns/op
# Warmup Iteration   3: 288.071 ns/op
# Warmup Iteration   4: 280.405 ns/op
# Warmup Iteration   5: 277.537 ns/op
Iteration   1: 281.546 ns/op
Iteration   2: 284.050 ns/op
Iteration   3: 278.072 ns/op
Iteration   4: 284.425 ns/op
Iteration   5: 277.975 ns/op
Iteration   6: 287.443 ns/op
Iteration   7: 277.921 ns/op
Iteration   8: 279.513 ns/op
Iteration   9: 278.089 ns/op
Iteration  10: 280.428 ns/op
Iteration  11: 278.864 ns/op
Iteration  12: 277.832 ns/op
Iteration  13: 279.462 ns/op
Iteration  14: 277.902 ns/op
Iteration  15: 280.030 ns/op
Iteration  16: 277.789 ns/op
