# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = &l+7$R:)=wnRn:o\httppryIB'kWCEW)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 356.317 ns/op
# Warmup Iteration   2: 361.257 ns/op
# Warmup Iteration   3: 283.977 ns/op
# Warmup Iteration   4: 273.138 ns/op
# Warmup Iteration   5: 270.002 ns/op
Iteration   1: 273.984 ns/op
Iteration   2: 275.256 ns/op
Iteration   3: 270.229 ns/op
Iteration   4: 276.779 ns/op
Iteration   5: 270.351 ns/op
Iteration   6: 277.883 ns/op
Iteration   7: 270.359 ns/op
Iteration   8: 271.565 ns/op
Iteration   9: 271.297 ns/op
Iteration  10: 271.346 ns/op
Iteration  11: 271.910 ns/op
Iteration  12: 270.136 ns/op
Iteration  13: 271.351 ns/op
Iteration  14: 270.457 ns/op
Iteration  15: 271.482 ns/op
Iteration  16: 271.484 ns/op
Iteration  17: 270.306 ns/op
Iteration  18: 272.486 ns/op
Iteration  19: 269.774 ns/op
Iteration  20: 271.341 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 349.411 ns/op
# Warmup Iteration   2: 359.485 ns/op
# Warmup Iteration   3: 286.446 ns/op
# Warmup Iteration   4: 273.401 ns/op
# Warmup Iteration   5: 270.312 ns/op
Iteration   1: 274.896 ns/op
Iteration   2: 274.608 ns/op
Iteration   3: 270.549 ns/op
Iteration   4: 276.376 ns/op
Iteration   5: 270.432 ns/op
Iteration   6: 278.081 ns/op
Iteration   7: 270.446 ns/op
Iteration   8: 271.678 ns/op
Iteration   9: 271.664 ns/op
Iteration  10: 270.241 ns/op
Iteration  11: 271.646 ns/op
Iteration  12: 270.158 ns/op
Iteration  13: 271.772 ns/op
Iteration  14: 271.743 ns/op
Iteration  15: 270.565 ns/op
Iteration  16: 271.456 ns/op
Iteration  17: 270.396 ns/op
Iteration  18: 271.967 ns/op
Iteration  19: 270.507 ns/op
Iteration  20: 271.942 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 349.790 ns/op
# Warmup Iteration   2: 354.966 ns/op
# Warmup Iteration   3: 286.048 ns/op
# Warmup Iteration   4: 279.632 ns/op
# Warmup Iteration   5: 276.492 ns/op
Iteration   1: 280.089 ns/op
Iteration   2: 281.150 ns/op
Iteration   3: 276.225 ns/op
Iteration   4: 282.119 ns/op
Iteration   5: 276.190 ns/op
Iteration   6: 284.105 ns/op
Iteration   7: 276.391 ns/op
Iteration   8: 277.930 ns/op
Iteration   9: 277.322 ns/op
Iteration  10: 275.944 ns/op
Iteration  11: 277.762 ns/op
Iteration  12: 276.058 ns/op
Iteration  13: 278.916 ns/op
Iteration  14: 276.101 ns/op
Iteration  15: 277.888 ns/op
Iteration  16: 276.340 ns/op
Iteration  17: 277.907 ns/op
Iteration  18: 277.102 ns/op
Iteration  19: 276.727 ns/op
Iteration  20: 280.087 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 346.281 ns/op
# Warmup Iteration   2: 359.961 ns/op
# Warmup Iteration   3: 280.996 ns/op
# Warmup Iteration   4: 273.468 ns/op
# Warmup Iteration   5: 271.180 ns/op
Iteration   1: 274.708 ns/op
Iteration   2: 275.705 ns/op
Iteration   3: 271.247 ns/op
Iteration   4: 277.414 ns/op
Iteration   5: 271.243 ns/op
Iteration   6: 279.339 ns/op
Iteration   7: 271.217 ns/op
Iteration   8: 272.366 ns/op
Iteration   9: 272.655 ns/op
Iteration  10: 271.002 ns/op
Iteration  11: 272.820 ns/op
Iteration  12: 271.171 ns/op
Iteration  13: 272.232 ns/op
Iteration  14: 272.634 ns/op
Iteration  15: 271.158 ns/op
Iteration  16: 273.696 ns/op
Iteration  17: 271.305 ns/op
Iteration  18: 272.735 ns/op
Iteration  19: 271.199 ns/op
Iteration  20: 273.225 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 351.131 ns/op
# Warmup Iteration   2: 360.396 ns/op
# Warmup Iteration   3: 279.716 ns/op
# Warmup Iteration   4: 272.032 ns/op
# Warmup Iteration   5: 269.343 ns/op
Iteration   1: 272.631 ns/op
