# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = WN`u(E"?A+cmhJ^w q&tNlNZhttp?
y")

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 276.113 ns/op
# Warmup Iteration   2: 220.218 ns/op
# Warmup Iteration   3: 191.871 ns/op
# Warmup Iteration   4: 192.625 ns/op
# Warmup Iteration   5: 195.165 ns/op
Iteration   1: 189.661 ns/op
Iteration   2: 194.741 ns/op
Iteration   3: 196.614 ns/op
Iteration   4: 190.880 ns/op
Iteration   5: 190.832 ns/op
Iteration   6: 190.630 ns/op
Iteration   7: 189.630 ns/op
Iteration   8: 190.607 ns/op
Iteration   9: 190.556 ns/op
Iteration  10: 190.483 ns/op
Iteration  11: 190.610 ns/op
Iteration  12: 189.599 ns/op
Iteration  13: 191.921 ns/op
Iteration  14: 190.882 ns/op
Iteration  15: 191.348 ns/op
Iteration  16: 190.090 ns/op
Iteration  17: 192.486 ns/op
Iteration  18: 189.604 ns/op
Iteration  19: 190.054 ns/op
Iteration  20: 190.107 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 268.738 ns/op
# Warmup Iteration   2: 219.030 ns/op
# Warmup Iteration   3: 193.544 ns/op
# Warmup Iteration   4: 194.484 ns/op
# Warmup Iteration   5: 195.208 ns/op
Iteration   1: 192.161 ns/op
Iteration   2: 196.150 ns/op
Iteration   3: 197.321 ns/op
Iteration   4: 192.956 ns/op
Iteration   5: 192.688 ns/op
Iteration   6: 191.752 ns/op
Iteration   7: 192.665 ns/op
Iteration   8: 192.635 ns/op
Iteration   9: 192.623 ns/op
Iteration  10: 192.511 ns/op
Iteration  11: 192.678 ns/op
Iteration  12: 191.854 ns/op
Iteration  13: 192.622 ns/op
Iteration  14: 192.826 ns/op
Iteration  15: 192.247 ns/op
Iteration  16: 192.132 ns/op
Iteration  17: 191.808 ns/op
Iteration  18: 192.064 ns/op
Iteration  19: 192.191 ns/op
Iteration  20: 192.761 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 269.739 ns/op
# Warmup Iteration   2: 219.905 ns/op
# Warmup Iteration   3: 194.185 ns/op
# Warmup Iteration   4: 195.160 ns/op
# Warmup Iteration   5: 195.557 ns/op
Iteration   1: 192.316 ns/op
Iteration   2: 196.529 ns/op
Iteration   3: 197.628 ns/op
Iteration   4: 193.092 ns/op
Iteration   5: 194.353 ns/op
Iteration   6: 192.476 ns/op
Iteration   7: 193.086 ns/op
Iteration   8: 193.196 ns/op
Iteration   9: 193.135 ns/op
Iteration  10: 193.289 ns/op
Iteration  11: 192.298 ns/op
Iteration  12: 193.371 ns/op
Iteration  13: 193.320 ns/op
Iteration  14: 193.339 ns/op
Iteration  15: 192.771 ns/op
Iteration  16: 192.361 ns/op
Iteration  17: 192.805 ns/op
Iteration  18: 192.897 ns/op
Iteration  19: 193.128 ns/op
Iteration  20: 193.071 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 264.876 ns/op
# Warmup Iteration   2: 212.681 ns/op
# Warmup Iteration   3: 190.356 ns/op
# Warmup Iteration   4: 190.119 ns/op
