# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = QjuSCQ]tMz
9/;sNX#SslS
http**t-)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 263.453 ns/op
# Warmup Iteration   2: 209.442 ns/op
# Warmup Iteration   3: 181.582 ns/op
# Warmup Iteration   4: 182.026 ns/op
# Warmup Iteration   5: 182.900 ns/op
Iteration   1: 184.033 ns/op
Iteration   2: 185.197 ns/op
Iteration   3: 179.751 ns/op
Iteration   4: 180.478 ns/op
Iteration   5: 180.776 ns/op
Iteration   6: 181.207 ns/op
Iteration   7: 180.660 ns/op
Iteration   8: 180.591 ns/op
Iteration   9: 180.559 ns/op
Iteration  10: 179.744 ns/op
Iteration  11: 180.544 ns/op
Iteration  12: 180.503 ns/op
Iteration  13: 180.850 ns/op
Iteration  14: 181.465 ns/op
Iteration  15: 180.167 ns/op
Iteration  16: 180.070 ns/op
Iteration  17: 179.701 ns/op
Iteration  18: 180.368 ns/op
Iteration  19: 180.279 ns/op
Iteration  20: 180.347 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 269.502 ns/op
# Warmup Iteration   2: 218.669 ns/op
# Warmup Iteration   3: 193.932 ns/op
# Warmup Iteration   4: 194.384 ns/op
# Warmup Iteration   5: 195.364 ns/op
Iteration   1: 191.980 ns/op
Iteration   2: 196.307 ns/op
Iteration   3: 197.603 ns/op
Iteration   4: 193.057 ns/op
Iteration   5: 193.005 ns/op
Iteration   6: 192.051 ns/op
Iteration   7: 192.797 ns/op
Iteration   8: 193.405 ns/op
Iteration   9: 193.195 ns/op
Iteration  10: 193.074 ns/op
Iteration  11: 194.177 ns/op
Iteration  12: 192.105 ns/op
Iteration  13: 193.273 ns/op
Iteration  14: 193.349 ns/op
Iteration  15: 193.196 ns/op
Iteration  16: 192.561 ns/op
Iteration  17: 192.045 ns/op
Iteration  18: 192.618 ns/op
Iteration  19: 192.724 ns/op
Iteration  20: 193.109 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 256.551 ns/op
# Warmup Iteration   2: 207.251 ns/op
# Warmup Iteration   3: 171.719 ns/op
# Warmup Iteration   4: 172.302 ns/op
# Warmup Iteration   5: 173.070 ns/op
Iteration   1: 173.953 ns/op
Iteration   2: 175.013 ns/op
Iteration   3: 170.897 ns/op
Iteration   4: 171.217 ns/op
Iteration   5: 171.007 ns/op
Iteration   6: 170.305 ns/op
Iteration   7: 170.912 ns/op
Iteration   8: 171.077 ns/op
Iteration   9: 171.021 ns/op
Iteration  10: 171.402 ns/op
Iteration  11: 171.145 ns/op
Iteration  12: 170.987 ns/op
Iteration  13: 170.421 ns/op
Iteration  14: 171.564 ns/op
Iteration  15: 170.906 ns/op
Iteration  16: 170.702 ns/op
Iteration  17: 170.039 ns/op
Iteration  18: 170.479 ns/op
Iteration  19: 170.565 ns/op
Iteration  20: 170.603 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 269.471 ns/op
# Warmup Iteration   2: 224.665 ns/op
# Warmup Iteration   3: 193.718 ns/op
# Warmup Iteration   4: 194.235 ns/op
# Warmup Iteration   5: 195.181 ns/op
Iteration   1: 191.948 ns/op
Iteration   2: 196.105 ns/op
Iteration   3: 197.132 ns/op
Iteration   4: 192.740 ns/op
Iteration   5: 192.888 ns/op
Iteration   6: 191.867 ns/op
Iteration   7: 192.677 ns/op
Iteration   8: 192.916 ns/op
Iteration   9: 192.818 ns/op
Iteration  10: 193.025 ns/op
Iteration  11: 192.423 ns/op
Iteration  12: 192.946 ns/op
Iteration  13: 192.909 ns/op
Iteration  14: 192.816 ns/op
Iteration  15: 193.149 ns/op
Iteration  16: 193.119 ns/op
Iteration  17: 191.813 ns/op
Iteration  18: 192.261 ns/op
Iteration  19: 192.309 ns/op
Iteration  20: 192.490 ns/op

# Run progress: 40.00% complete, ETA 00:02:31
# Fork: 5 of 5
# Warmup Iteration   1: 268.479 ns/op
# Warmup Iteration   2: 219.569 ns/op
# Warmup Iteration   3: 194.363 ns/op
# Warmup Iteration   4: 194.860 ns/op
# Warmup Iteration   5: 195.668 ns/op
Iteration   1: 192.482 ns/op
Iteration   2: 196.673 ns/op
Iteration   3: 198.030 ns/op
Iteration   4: 193.916 ns/op
Iteration   5: 193.342 ns/op
Iteration   6: 192.523 ns/op
Iteration   7: 193.245 ns/op
Iteration   8: 193.233 ns/op
Iteration   9: 193.442 ns/op
