# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = 2P0gb=*$*l)lEzcQ|WH",Cm)http3^dS)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 259.962 ns/op
# Warmup Iteration   2: 206.682 ns/op
# Warmup Iteration   3: 181.478 ns/op
# Warmup Iteration   4: 181.943 ns/op
# Warmup Iteration   5: 182.843 ns/op
Iteration   1: 183.806 ns/op
Iteration   2: 185.067 ns/op
Iteration   3: 179.711 ns/op
Iteration   4: 180.501 ns/op
Iteration   5: 180.426 ns/op
Iteration   6: 180.643 ns/op
Iteration   7: 180.551 ns/op
Iteration   8: 180.516 ns/op
Iteration   9: 180.463 ns/op
Iteration  10: 179.761 ns/op
Iteration  11: 180.634 ns/op
Iteration  12: 180.505 ns/op
Iteration  13: 180.469 ns/op
Iteration  14: 180.136 ns/op
Iteration  15: 180.156 ns/op
Iteration  16: 180.228 ns/op
Iteration  17: 180.255 ns/op
Iteration  18: 179.705 ns/op
Iteration  19: 180.160 ns/op
Iteration  20: 180.208 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 267.681 ns/op
# Warmup Iteration   2: 221.158 ns/op
# Warmup Iteration   3: 194.513 ns/op
# Warmup Iteration   4: 194.953 ns/op
# Warmup Iteration   5: 195.952 ns/op
Iteration   1: 192.935 ns/op
Iteration   2: 196.753 ns/op
Iteration   3: 198.025 ns/op
Iteration   4: 193.424 ns/op
Iteration   5: 193.443 ns/op
Iteration   6: 192.678 ns/op
Iteration   7: 193.381 ns/op
Iteration   8: 193.231 ns/op
Iteration   9: 193.348 ns/op
Iteration  10: 193.311 ns/op
Iteration  11: 192.218 ns/op
Iteration  12: 193.349 ns/op
Iteration  13: 193.472 ns/op
Iteration  14: 193.453 ns/op
Iteration  15: 193.572 ns/op
Iteration  16: 192.578 ns/op
Iteration  17: 192.992 ns/op
Iteration  18: 193.063 ns/op
Iteration  19: 193.092 ns/op
Iteration  20: 193.257 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 270.568 ns/op
# Warmup Iteration   2: 220.221 ns/op
# Warmup Iteration   3: 193.717 ns/op
# Warmup Iteration   4: 194.253 ns/op
# Warmup Iteration   5: 195.095 ns/op
Iteration   1: 192.348 ns/op
Iteration   2: 197.714 ns/op
Iteration   3: 197.594 ns/op
Iteration   4: 192.739 ns/op
Iteration   5: 192.724 ns/op
Iteration   6: 191.845 ns/op
Iteration   7: 192.653 ns/op
Iteration   8: 192.713 ns/op
Iteration   9: 192.797 ns/op
Iteration  10: 192.876 ns/op
Iteration  11: 191.865 ns/op
Iteration  12: 192.820 ns/op
Iteration  13: 192.761 ns/op
Iteration  14: 192.661 ns/op
Iteration  15: 192.589 ns/op
