# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = http_.79iPyvSuAL]fC*1&[IYql_iDi})

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 492.247 ns/op
# Warmup Iteration   2: 506.270 ns/op
# Warmup Iteration   3: 509.037 ns/op
# Warmup Iteration   4: 432.578 ns/op
# Warmup Iteration   5: 428.129 ns/op
Iteration   1: 433.289 ns/op
Iteration   2: 430.747 ns/op
Iteration   3: 437.416 ns/op
Iteration   4: 428.088 ns/op
Iteration   5: 427.597 ns/op
Iteration   6: 437.895 ns/op
Iteration   7: 431.691 ns/op
Iteration   8: 433.460 ns/op
Iteration   9: 436.713 ns/op
Iteration  10: 427.802 ns/op
Iteration  11: 440.370 ns/op
Iteration  12: 427.942 ns/op
Iteration  13: 427.665 ns/op
Iteration  14: 430.295 ns/op
Iteration  15: 427.671 ns/op
Iteration  16: 427.539 ns/op
Iteration  17: 429.791 ns/op
Iteration  18: 427.560 ns/op
Iteration  19: 427.922 ns/op
Iteration  20: 429.894 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 490.867 ns/op
# Warmup Iteration   2: 511.350 ns/op
# Warmup Iteration   3: 507.166 ns/op
# Warmup Iteration   4: 432.960 ns/op
# Warmup Iteration   5: 429.165 ns/op
Iteration   1: 433.268 ns/op
Iteration   2: 428.638 ns/op
Iteration   3: 434.757 ns/op
Iteration   4: 429.069 ns/op
Iteration   5: 428.996 ns/op
Iteration   6: 435.708 ns/op
Iteration   7: 429.511 ns/op
Iteration   8: 433.027 ns/op
Iteration   9: 434.294 ns/op
Iteration  10: 428.761 ns/op
Iteration  11: 441.773 ns/op
Iteration  12: 428.708 ns/op
Iteration  13: 428.395 ns/op
Iteration  14: 431.382 ns/op
Iteration  15: 428.352 ns/op
Iteration  16: 428.711 ns/op
Iteration  17: 430.536 ns/op
Iteration  18: 429.060 ns/op
Iteration  19: 428.498 ns/op
