# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = http5~*/F)tk#$CC7[R-ZKs;9f(B_F)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 506.883 ns/op
# Warmup Iteration   2: 524.542 ns/op
# Warmup Iteration   3: 527.504 ns/op
# Warmup Iteration   4: 456.074 ns/op
# Warmup Iteration   5: 442.758 ns/op
Iteration   1: 448.389 ns/op
Iteration   2: 443.483 ns/op
Iteration   3: 443.081 ns/op
Iteration   4: 449.014 ns/op
Iteration   5: 443.581 ns/op
Iteration   6: 451.136 ns/op
Iteration   7: 443.162 ns/op
Iteration   8: 443.122 ns/op
Iteration   9: 453.984 ns/op
Iteration  10: 442.973 ns/op
Iteration  11: 443.306 ns/op
Iteration  12: 457.846 ns/op
Iteration  13: 443.125 ns/op
Iteration  14: 443.256 ns/op
Iteration  15: 445.206 ns/op
Iteration  16: 443.279 ns/op
Iteration  17: 442.844 ns/op
Iteration  18: 444.883 ns/op
Iteration  19: 442.872 ns/op
Iteration  20: 445.328 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 493.693 ns/op
# Warmup Iteration   2: 515.175 ns/op
# Warmup Iteration   3: 521.488 ns/op
# Warmup Iteration   4: 450.548 ns/op
# Warmup Iteration   5: 443.394 ns/op
Iteration   1: 447.785 ns/op
Iteration   2: 443.388 ns/op
Iteration   3: 443.848 ns/op
Iteration   4: 450.206 ns/op
Iteration   5: 444.802 ns/op
Iteration   6: 451.878 ns/op
Iteration   7: 443.408 ns/op
Iteration   8: 443.790 ns/op
Iteration   9: 453.280 ns/op
