# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = httpZO&(Vi\ZWngBHG4hYqT
kIKF3I)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 496.696 ns/op
# Warmup Iteration   2: 515.431 ns/op
# Warmup Iteration   3: 515.636 ns/op
# Warmup Iteration   4: 444.225 ns/op
# Warmup Iteration   5: 435.903 ns/op
Iteration   1: 439.714 ns/op
Iteration   2: 435.699 ns/op
Iteration   3: 437.748 ns/op
Iteration   4: 438.600 ns/op
Iteration   5: 437.315 ns/op
Iteration   6: 444.355 ns/op
Iteration   7: 436.443 ns/op
Iteration   8: 436.283 ns/op
Iteration   9: 445.159 ns/op
Iteration  10: 435.582 ns/op
Iteration  11: 439.089 ns/op
Iteration  12: 444.260 ns/op
Iteration  13: 435.491 ns/op
Iteration  14: 437.210 ns/op
Iteration  15: 435.147 ns/op
Iteration  16: 435.652 ns/op
Iteration  17: 437.288 ns/op
Iteration  18: 434.653 ns/op
Iteration  19: 434.594 ns/op
Iteration  20: 437.875 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 479.332 ns/op
# Warmup Iteration   2: 494.762 ns/op
# Warmup Iteration   3: 494.539 ns/op
# Warmup Iteration   4: 418.492 ns/op
# Warmup Iteration   5: 418.366 ns/op
Iteration   1: 422.289 ns/op
Iteration   2: 418.292 ns/op
Iteration   3: 423.597 ns/op
Iteration   4: 418.145 ns/op
Iteration   5: 418.152 ns/op
Iteration   6: 425.664 ns/op
Iteration   7: 418.515 ns/op
Iteration   8: 430.751 ns/op
Iteration   9: 418.464 ns/op
Iteration  10: 418.248 ns/op
Iteration  11: 430.360 ns/op
Iteration  12: 418.231 ns/op
Iteration  13: 418.401 ns/op
Iteration  14: 420.496 ns/op
Iteration  15: 418.205 ns/op
Iteration  16: 420.020 ns/op
Iteration  17: 418.208 ns/op
Iteration  18: 418.292 ns/op
Iteration  19: 420.680 ns/op
Iteration  20: 418.736 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 490.075 ns/op
