# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = %*)[c[Sh5ZSODliH|AhyluhL}2EbJ)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 344.736 ns/op
# Warmup Iteration   2: 336.559 ns/op
# Warmup Iteration   3: 260.379 ns/op
# Warmup Iteration   4: 258.133 ns/op
# Warmup Iteration   5: 260.034 ns/op
Iteration   1: 255.544 ns/op
Iteration   2: 259.900 ns/op
Iteration   3: 255.638 ns/op
Iteration   4: 261.206 ns/op
Iteration   5: 262.869 ns/op
Iteration   6: 255.525 ns/op
Iteration   7: 256.748 ns/op
Iteration   8: 255.597 ns/op
Iteration   9: 256.756 ns/op
Iteration  10: 257.660 ns/op
Iteration  11: 256.061 ns/op
Iteration  12: 257.978 ns/op
Iteration  13: 257.159 ns/op
Iteration  14: 255.698 ns/op
Iteration  15: 257.678 ns/op
Iteration  16: 255.574 ns/op
Iteration  17: 257.012 ns/op
Iteration  18: 257.323 ns/op
Iteration  19: 255.492 ns/op
Iteration  20: 257.398 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 334.828 ns/op
# Warmup Iteration   2: 328.720 ns/op
# Warmup Iteration   3: 248.119 ns/op
# Warmup Iteration   4: 250.235 ns/op
# Warmup Iteration   5: 251.136 ns/op
Iteration   1: 247.914 ns/op
Iteration   2: 252.055 ns/op
Iteration   3: 253.477 ns/op
Iteration   4: 247.858 ns/op
Iteration   5: 255.022 ns/op
Iteration   6: 248.235 ns/op
Iteration   7: 249.121 ns/op
Iteration   8: 249.245 ns/op
Iteration   9: 247.919 ns/op
Iteration  10: 249.105 ns/op
Iteration  11: 249.103 ns/op
Iteration  12: 248.262 ns/op
Iteration  13: 249.282 ns/op
Iteration  14: 249.449 ns/op
Iteration  15: 248.287 ns/op
Iteration  16: 250.697 ns/op
Iteration  17: 248.103 ns/op
Iteration  18: 249.645 ns/op
Iteration  19: 251.152 ns/op
Iteration  20: 248.185 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 327.710 ns/op
# Warmup Iteration   2: 318.100 ns/op
# Warmup Iteration   3: 241.182 ns/op
# Warmup Iteration   4: 245.760 ns/op
# Warmup Iteration   5: 244.545 ns/op
Iteration   1: 241.062 ns/op
Iteration   2: 246.163 ns/op
Iteration   3: 247.024 ns/op
Iteration   4: 241.081 ns/op
Iteration   5: 249.131 ns/op
Iteration   6: 243.929 ns/op
Iteration   7: 241.070 ns/op
Iteration   8: 242.456 ns/op
Iteration   9: 244.122 ns/op
Iteration  10: 241.069 ns/op
Iteration  11: 242.407 ns/op
Iteration  12: 243.209 ns/op
Iteration  13: 241.067 ns/op
Iteration  14: 242.809 ns/op
Iteration  15: 240.931 ns/op
Iteration  16: 242.422 ns/op
Iteration  17: 242.746 ns/op
Iteration  18: 241.065 ns/op
Iteration  19: 244.365 ns/op
Iteration  20: 244.920 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 327.343 ns/op
