# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = cPs9 ToG<g6+y&kNhttp6PA$,Mu>c;f=b8 ApItfPtm&} &v7R;;*`yvvy3/4W.I)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 673.531 ns/op
# Warmup Iteration   2: 693.157 ns/op
# Warmup Iteration   3: 693.481 ns/op
# Warmup Iteration   4: 693.151 ns/op
# Warmup Iteration   5: 636.956 ns/op
Iteration   1: 621.305 ns/op
Iteration   2: 621.344 ns/op
Iteration   3: 625.272 ns/op
Iteration   4: 617.224 ns/op
Iteration   5: 617.281 ns/op
Iteration   6: 617.224 ns/op
Iteration   7: 624.908 ns/op
Iteration   8: 617.829 ns/op
Iteration   9: 617.435 ns/op
Iteration  10: 627.809 ns/op
Iteration  11: 616.709 ns/op
Iteration  12: 617.256 ns/op
Iteration  13: 617.495 ns/op
Iteration  14: 632.221 ns/op
Iteration  15: 620.421 ns/op
Iteration  16: 620.390 ns/op
Iteration  17: 620.384 ns/op
Iteration  18: 637.020 ns/op
Iteration  19: 617.058 ns/op
Iteration  20: 618.091 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 682.221 ns/op
# Warmup Iteration   2: 659.059 ns/op
# Warmup Iteration   3: 733.763 ns/op
# Warmup Iteration   4: 733.860 ns/op
# Warmup Iteration   5: 677.303 ns/op
Iteration   1: 657.615 ns/op
Iteration   2: 657.025 ns/op
Iteration   3: 663.181 ns/op
Iteration   4: 657.558 ns/op
Iteration   5: 657.981 ns/op
Iteration   6: 658.024 ns/op
Iteration   7: 666.137 ns/op
Iteration   8: 657.831 ns/op
Iteration   9: 657.214 ns/op
Iteration  10: 657.517 ns/op
Iteration  11: 668.957 ns/op
Iteration  12: 656.904 ns/op
Iteration  13: 656.999 ns/op
Iteration  14: 656.659 ns/op
Iteration  15: 671.419 ns/op
Iteration  16: 656.934 ns/op
Iteration  17: 657.142 ns/op
Iteration  18: 656.802 ns/op
Iteration  19: 675.304 ns/op
Iteration  20: 657.222 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 669.694 ns/op
# Warmup Iteration   2: 689.873 ns/op
# Warmup Iteration   3: 692.573 ns/op
# Warmup Iteration   4: 691.819 ns/op
# Warmup Iteration   5: 629.137 ns/op
Iteration   1: 617.226 ns/op
Iteration   2: 617.444 ns/op
Iteration   3: 622.567 ns/op
Iteration   4: 617.209 ns/op
Iteration   5: 616.933 ns/op
Iteration   6: 617.472 ns/op
Iteration   7: 624.577 ns/op
Iteration   8: 617.170 ns/op
Iteration   9: 617.386 ns/op
Iteration  10: 627.389 ns/op
Iteration  11: 617.164 ns/op
Iteration  12: 616.816 ns/op
Iteration  13: 617.125 ns/op
Iteration  14: 630.658 ns/op
Iteration  15: 617.097 ns/op
Iteration  16: 617.180 ns/op
Iteration  17: 617.110 ns/op
Iteration  18: 634.396 ns/op
Iteration  19: 617.195 ns/op
Iteration  20: 617.434 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 661.760 ns/op
# Warmup Iteration   2: 687.843 ns/op
# Warmup Iteration   3: 689.062 ns/op
# Warmup Iteration   4: 688.874 ns/op
# Warmup Iteration   5: 623.662 ns/op
Iteration   1: 613.695 ns/op
Iteration   2: 613.996 ns/op
Iteration   3: 619.477 ns/op
Iteration   4: 613.922 ns/op
Iteration   5: 614.280 ns/op
Iteration   6: 615.835 ns/op
Iteration   7: 619.388 ns/op
Iteration   8: 613.759 ns/op
Iteration   9: 613.749 ns/op
