# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContains.regexMatches
# Parameters: (regex = http, str = :71}c!O_c\YIOIVK}$S0h<eUEU))-2U`-Oo(Q0ujrFH]K6yIhttp[("_fyCt|jS)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 353.078 ns/op
# Warmup Iteration   2: 349.978 ns/op
# Warmup Iteration   3: 281.912 ns/op
# Warmup Iteration   4: 276.065 ns/op
# Warmup Iteration   5: 274.128 ns/op
Iteration   1: 277.734 ns/op
Iteration   2: 277.982 ns/op
Iteration   3: 273.391 ns/op
Iteration   4: 279.596 ns/op
Iteration   5: 273.431 ns/op
Iteration   6: 280.864 ns/op
Iteration   7: 273.353 ns/op
Iteration   8: 274.751 ns/op
Iteration   9: 274.785 ns/op
Iteration  10: 273.350 ns/op
Iteration  11: 274.407 ns/op
Iteration  12: 273.405 ns/op
Iteration  13: 274.364 ns/op
Iteration  14: 273.077 ns/op
Iteration  15: 274.440 ns/op
Iteration  16: 274.633 ns/op
Iteration  17: 273.726 ns/op
Iteration  18: 274.825 ns/op
Iteration  19: 273.399 ns/op
Iteration  20: 275.096 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 348.858 ns/op
# Warmup Iteration   2: 351.783 ns/op
# Warmup Iteration   3: 280.199 ns/op
# Warmup Iteration   4: 273.768 ns/op
# Warmup Iteration   5: 270.359 ns/op
Iteration   1: 277.876 ns/op
Iteration   2: 276.565 ns/op
Iteration   3: 270.186 ns/op
Iteration   4: 276.349 ns/op
Iteration   5: 270.055 ns/op
Iteration   6: 278.163 ns/op
Iteration   7: 272.679 ns/op
Iteration   8: 271.323 ns/op
Iteration   9: 272.377 ns/op
Iteration  10: 270.218 ns/op
Iteration  11: 271.595 ns/op
Iteration  12: 270.053 ns/op
Iteration  13: 272.426 ns/op
Iteration  14: 271.398 ns/op
Iteration  15: 270.654 ns/op
Iteration  16: 272.072 ns/op
Iteration  17: 270.226 ns/op
Iteration  18: 271.312 ns/op
Iteration  19: 270.235 ns/op
Iteration  20: 272.033 ns/op

# Run progress: 20.00% complete, ETA 00:03:22
# Fork: 3 of 5
# Warmup Iteration   1: 355.447 ns/op
# Warmup Iteration   2: 348.303 ns/op
# Warmup Iteration   3: 276.124 ns/op
# Warmup Iteration   4: 270.285 ns/op
# Warmup Iteration   5: 267.563 ns/op
Iteration   1: 270.745 ns/op
Iteration   2: 271.926 ns/op
Iteration   3: 267.571 ns/op
Iteration   4: 273.305 ns/op
Iteration   5: 267.719 ns/op
Iteration   6: 274.816 ns/op
Iteration   7: 268.773 ns/op
Iteration   8: 267.551 ns/op
Iteration   9: 268.778 ns/op
